Time,Node_ID,Rel_ID,A_ID,B_ID,A_Gender,B_Gender,A_Age,B_Age,A_Is_Infected,B_Is_Infected,Did_Use_Condom,A_Num_Current_Rels,B_Num_Current_Rels,A_Is_Circumcised,B_Is_Circumcised,A_Has_CoInfection,B_Has_CoInfection,A_HIV_Infection_Stage,B_HIV_Infection_Stage,A_Is_On_ART,B_Is_On_ART
7,1,33,9048,658,MALE,FEMALE,47.1558,17.878,0,0,0,1,1,0,0,0,0,-1,-1,0,0
7,1,18,9751,2778,MALE,FEMALE,38.4715,43.9676,0,0,0,1,1,0,0,0,0,-1,-1,0,0
8,1,26,13,4947,MALE,FEMALE,28.6191,38.605,0,0,0,1,1,0,0,0,0,-1,-1,0,0
8,1,19,448,4675,MALE,FEMALE,34.2045,23.7072,0,0,0,1,1,0,0,0,0,-1,-1,0,0
8,1,20,591,4725,MALE,FEMALE,28.0292,52.2401,1,1,0,1,1,0,0,0,0,-1,-1,0,0
8,1,35,1564,1331,MALE,FEMALE,45.9292,43.13,0,0,0,1,1,0,0,0,0,-1,-1,0,0
8,1,36,1586,2790,MALE,FEMALE,36.5274,39.0813,0,0,0,1,1,0,0,0,0,-1,-1,0,0
8,1,23,2908,9967,MALE,FEMALE,51.5044,29.1052,0,0,0,1,1,0,0,0,0,-1,-1,0,0
8,1,4,3518,3513,MALE,FEMALE,54.2465,39.5514,0,0,0,1,1,0,0,0,0,-1,-1,0,0
8,1,5,3926,3849,MALE,FEMALE,19.628,34.3595,0,0,0,1,1,0,0,0,0,-1,-1,0,0
8,1,38,4393,4493,MALE,FEMALE,39.9361,23.2264,0,1,0,1,1,0,0,0,0,-1,-1,0,0
8,1,10,4508,5028,MALE,FEMALE,35.8301,34.6198,0,0,0,1,1,0,0,0,0,-1,-1,0,0
8,1,49,4632,3762,MALE,FEMALE,36.1951,52.9466,0,0,0,1,1,0,0,0,0,-1,-1,0,0
8,1,49,4632,3762,MALE,FEMALE,36.1951,52.9466,0,0,0,1,1,0,0,0,0,-1,-1,0,0
8,1,39,5107,6966,MALE,FEMALE,34.1737,40.9229,0,0,0,1,1,0,0,0,0,-1,-1,0,0
8,1,6,7030,4319,MALE,FEMALE,29.6601,33.1365,0,0,0,1,1,0,0,0,0,-1,-1,0,0
8,1,16,7039,8937,MALE,FEMALE,41.9016,33.3888,0,0,0,1,1,0,0,0,0,-1,-1,0,0
8,1,32,8838,422,MALE,FEMALE,46.1038,44.6709,0,0,0,1,1,0,0,0,0,-1,-1,0,0
9,1,21,1233,5175,MALE,FEMALE,29.5481,49.7808,0,0,0,1,1,0,0,0,0,-1,-1,0,0
9,1,23,2908,9967,MALE,FEMALE,51.5071,29.108,0,0,0,1,1,0,0,0,0,-1,-1,0,0
9,1,37,2993,3895,MALE,FEMALE,47.1653,51.2696,1,1,0,1,1,0,0,0,0,-1,-1,0,0
9,1,48,3798,2274,MALE,FEMALE,26.8175,18.3608,1,1,0,1,1,0,0,0,0,-1,-1,0,0
9,1,10,4508,5028,MALE,FEMALE,35.8329,34.6225,0,0,0,1,1,0,0,0,0,-1,-1,0,0
9,1,50,5303,3938,MALE,FEMALE,17.6708,54.6238,0,0,0,1,1,0,0,0,0,-1,-1,0,0
9,1,11,5499,5120,MALE,FEMALE,35.3577,39.9854,0,0,0,1,1,0,0,0,0,-1,-1,0,0
9,1,54,7584,7143,MALE,FEMALE,44.7197,41.3372,0,1,0,1,1,0,0,0,0,-1,-1,0,0
9,1,55,7913,8594,MALE,FEMALE,45.2569,49.024,0,0,0,1,1,0,0,0,0,-1,-1,0,0
9,1,55,7913,8594,MALE,FEMALE,45.2569,49.024,0,0,0,1,1,0,0,0,0,-1,-1,0,0
9,1,56,7917,809,MALE,FEMALE,26.1793,35.4565,0,0,0,1,1,0,0,0,0,-1,-1,0,0
9,1,42,7971,8246,MALE,FEMALE,40.6575,43.159,0,0,0,1,1,0,0,0,0,-1,-1,0,0
9,1,30,8426,7776,MALE,FEMALE,34.3771,45.7298,0,0,0,1,1,0,0,0,0,-1,-1,0,0
9,1,17,8718,9474,MALE,FEMALE,18.3038,39.3323,0,0,0,1,1,0,0,0,0,-1,-1,0,0
9,1,45,9149,234,MALE,FEMALE,23.6104,22.7142,0,0,0,1,1,0,0,0,0,-1,-1,0,0
9,1,18,9751,2778,MALE,FEMALE,38.477,43.9731,0,0,0,1,1,0,0,0,0,-1,-1,0,0
9,1,25,9993,2396,MALE,FEMALE,53.4607,28.2369,1,1,0,1,1,0,0,0,0,-1,-1,0,0
10,1,1,169,1193,MALE,FEMALE,29.479,44.3266,0,0,0,1,1,0,0,0,0,-1,-1,0,0
10,1,19,448,4675,MALE,FEMALE,34.21,23.7127,0,0,0,1,1,0,0,0,0,-1,-1,0,0
10,1,19,448,4675,MALE,FEMALE,34.21,23.7127,0,0,0,1,1,0,0,0,0,-1,-1,0,0
10,1,19,448,4675,MALE,FEMALE,34.21,23.7127,0,0,0,1,1,0,0,0,0,-1,-1,0,0
10,1,21,1233,5175,MALE,FEMALE,29.5508,49.7835,0,0,0,1,1,0,0,0,0,-1,-1,0,0
10,1,21,1233,5175,MALE,FEMALE,29.5508,49.7835,0,0,0,1,1,0,0,0,0,-1,-1,0,0
10,1,14,2103,5938,MALE,FEMALE,34.7874,28.5966,0,0,0,1,1,0,0,0,0,-1,-1,0,0
10,1,3,2559,2640,MALE,FEMALE,27.4549,28.8822,0,0,0,1,1,0,0,0,0,-1,-1,0,0
10,1,37,2993,3895,MALE,FEMALE,47.168,51.2723,1,1,0,1,1,0,0,0,0,-1,-1,0,0
10,1,4,3518,3513,MALE,FEMALE,54.2519,39.5569,0,0,0,1,1,0,0,0,0,-1,-1,0,0
10,1,39,5107,6966,MALE,FEMALE,34.1792,40.9284,0,0,0,1,1,0,0,0,0,-1,-1,0,0
10,1,12,5624,5456,MALE,FEMALE,52.9948,37.5023,0,0,0,1,1,0,0,0,0,-1,-1,0,0
10,1,12,5624,5456,MALE,FEMALE,52.9948,37.5023,0,0,0,1,1,0,0,0,0,-1,-1,0,0
