Time, NodeID, Gender, AgeYears, IndividualProp=Risk, NumIndividuals, NumInfected
12,2,F,80, High,246,0
12,2,F,80, Low,96,0
12,2,F,125, High,52,0
12,2,F,125, Low,35,0
12,1,M,40, High,409,28
12,1,M,40, Low,1617,47
12,1,M,80, High,79,3
12,1,M,80, Low,303,6
12,1,M,125, High,22,1
12,1,M,125, Low,52,2
12,1,F,40, High,408,29
12,1,F,40, Low,1651,44
12,1,F,80, High,82,3
12,1,F,80, Low,300,7
12,1,F,125, High,21,2
12,1,F,125, Low,56,1
13,2,M,40, High,1430,0
13,2,M,40, Low,635,0
13,2,M,80, High,260,0
13,2,M,80, Low,112,0
13,2,M,125, High,50,0
13,2,M,125, Low,21,0
13,2,F,40, High,1411,0
13,2,F,40, Low,652,0
13,2,F,80, High,246,0
13,2,F,80, Low,96,0
13,2,F,125, High,52,0
13,2,F,125, Low,35,0
13,1,M,40, High,409,30
13,1,M,40, Low,1617,49
13,1,M,80, High,79,8
13,1,M,80, Low,303,10
13,1,M,125, High,22,3
13,1,M,125, Low,52,1
13,1,F,40, High,408,34
13,1,F,40, Low,1651,54
13,1,F,80, High,82,5
13,1,F,80, Low,300,10
13,1,F,125, High,21,5
13,1,F,125, Low,56,0
14,2,M,40, High,1430,0
14,2,M,40, Low,635,0
14,2,M,80, High,260,0
14,2,M,80, Low,112,0
14,2,M,125, High,50,0
14,2,M,125, Low,21,0
14,2,F,40, High,1411,0
14,2,F,40, Low,652,0
14,2,F,80, High,246,0
14,2,F,80, Low,96,0
14,2,F,125, High,52,0
14,2,F,125, Low,35,0
14,1,M,40, High,409,49
14,1,M,40, Low,1617,55
14,1,M,80, High,79,8
14,1,M,80, Low,303,11
14,1,M,125, High,22,4
14,1,M,125, Low,52,2
14,1,F,40, High,408,45
14,1,F,40, Low,1651,60
14,1,F,80, High,82,9
14,1,F,80, Low,300,9
14,1,F,125, High,21,5
14,1,F,125, Low,56,0
15,2,M,40, High,1430,0
15,2,M,40, Low,635,0
15,2,M,80, High,260,0
15,2,M,80, Low,112,0
15,2,M,125, High,50,0
15,2,M,125, Low,21,0
15,2,F,40, High,1411,0
15,2,F,40, Low,652,0
15,2,F,80, High,246,0
15,2,F,80, Low,96,0
15,2,F,125, High,52,0
15,2,F,125, Low,35,0
15,1,M,40, High,409,65
15,1,M,40, Low,1617,58
15,1,M,80, High,79,21
15,1,M,80, Low,303,14
15,1,M,125, High,22,4
15,1,M,125, Low,52,1
15,1,F,40, High,408,65
15,1,F,40, Low,1651,70
15,1,F,80, High,82,15
15,1,F,80, Low,300,11
15,1,F,125, High,21,6
15,1,F,125, Low,56,0
16,2,M,40, High,1430,0
16,2,M,40, Low,635,0
16,2,M,80, High,260,0
16,2,M,80, Low,112,0
16,2,M,125, High,50,0
