Time,NodeID,Species,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor,AvailableHabitat,EggCrowdingCorrection
4,340461476,pyrethroid_resistant,999,5090,0,0,5090,6117,0,90727,373400,186700,891,0,881,0,0,0,520,89,95,20631.7,0.0536759
4,340461476,carbamate_resistant,999,5107,0,0,5107,6085,0,90809,371200,185600,875,0,889,0,0,0,557,86,76,20549.7,0.0521024
4,340461476,organochlorines_resistant,999,5127,0,0,5127,6009,0,90709,365800,182900,840,0,898,0,0,0,566,81,85,20649.7,0.0529488
5,340461476,pyrethroid_resistant,999,4470,0,0,4470,5555,0,102710,323600,161800,723,0,818,0,0,0,486,61,73,20357.2,0.0552536
5,340461476,carbamate_resistant,999,4456,0,0,4456,5479,0,102703,319600,159800,784,0,724,0,0,0,493,82,76,20364.2,0.0553601
5,340461476,organochlorines_resistant,999,4485,0,0,4485,5421,0,102834,338200,169100,826,0,794,0,0,0,469,84,89,20233.2,0.0564507
6,340461476,pyrethroid_resistant,999,3951,0,0,3951,4998,0,113243,264000,132000,660,0,592,0,0,0,414,61,44,20155.7,0.0629086
6,340461476,carbamate_resistant,999,3889,0,0,3889,4985,0,113020,266800,133400,641,0,629,0,0,0,452,56,59,20378.7,0.0637179
6,340461476,organochlorines_resistant,999,3933,0,0,3933,4884,0,113243,262200,131100,641,0,597,0,0,0,425,66,61,20155.7,0.0598262
7,340461476,pyrethroid_resistant,999,3457,0,0,3457,4503,0,122600,248400,124200,618,0,572,0,0,0,381,58,55,19914.9,0.0763472
7,340461476,carbamate_resistant,999,3389,0,0,3389,4509,0,122630,251200,125600,584,0,620,0,0,0,355,75,70,19884.9,0.0763818
7,340461476,organochlorines_resistant,999,3436,0,0,3436,4427,0,122780,245200,122600,575,0,588,0,0,0,403,42,52,19734.9,0.0768713
8,340461476,pyrethroid_resistant,999,2976,0,0,2976,4058,0,130819,221200,110600,509,0,540,0,0,0,366,60,55,19740,0.0801729
8,340461476,carbamate_resistant,999,2955,0,0,2955,4117,0,130403,216800,108400,519,0,517,0,0,0,315,61,58,20156,0.0791598
8,340461476,organochlorines_resistant,999,2984,0,0,2984,4016,0,130939,222800,111400,508,0,548,0,0,0,335,49,68,19620,0.0804851
9,340461476,pyrethroid_resistant,999,2628,0,0,2628,3663,0,137884,176800,88400,384,0,456,0,0,0,271,43,34,19772.9,0.0892404
9,340461476,carbamate_resistant,999,2574,0,0,2574,3718,0,138197,181600,90800,425,0,438,0,0,0,292,44,45,19459.9,0.0929704
9,340461476,organochlorines_resistant,999,2604,0,0,2604,3664,0,138154,172200,86100,447,0,388,0,0,0,308,44,28,19502.9,0.088061
10,340461476,pyrethroid_resistant,999,2302,0,0,2302,3316,0,144482,169800,84900,408,0,402,0,0,0,237,49,40,19438,0.111838
10,340461476,carbamate_resistant,999,2234,0,0,2234,3364,0,144607,158600,79300,376,0,380,0,0,0,268,31,41,19313,0.107158
10,340461476,organochlorines_resistant,999,2287,0,0,2287,3354,0,144792,168000,84000,403,0,395,0,0,0,241,41,35,19128,0.113257
11,340461476,pyrethroid_resistant,999,2029,0,0,2029,2993,0,149817,146400,73200,357,0,336,0,0,0,214,32,27,19629.4,0.114476
11,340461476,carbamate_resistant,999,1969,0,0,1969,3035,0,150279,142600,71300,349,0,322,0,0,0,212,24,29,19167.4,0.121772
11,340461476,organochlorines_resistant,999,1985,0,0,1985,3054,0,150006,147200,73600,350,0,358,0,0,0,228,29,45,19440.4,0.113857
12,340461476,pyrethroid_resistant,999,1773,0,0,1773,2718,15412,139783,117400,58700,305,0,246,0,0,0,207,24,25,34539.9,0.134081
12,340461476,carbamate_resistant,999,1758,0,0,1758,2723,15523,139414,119200,59600,259,0,308,0,0,0,160,19,32,34908.9,0.134414
12,340461476,organochlorines_resistant,999,1745,0,0,1745,2778,15654,139611,115400,57700,274,0,271,0,0,0,183,33,24,34711.9,0.132068
13,340461476,pyrethroid_resistant,999,1566,0,0,1566,2466,20365,154710,112600,56300,263,0,272,0,0,0,154,25,28,23915.8,0.294207
13,340461476,carbamate_resistant,999,1549,0,0,1549,2489,20532,154670,109600,54800,272,0,255,0,0,0,157,29,23,23955.8,0.29286
13,340461476,organochlorines_resistant,999,1540,0,0,1540,2543,20489,154764,114400,57200,249,0,288,0,0,0,158,24,23,23861.8,0.300796
14,340461476,pyrethroid_resistant,999,1368,0,0,1368,2233,25606,156608,103200,51600,240,0,252,0,0,0,154,19,25,25814.6,0.212396
14,340461476,carbamate_resistant,999,1356,0,0,1356,2253,25634,156814,101000,50500,228,0,248,0,0,0,144,22,27,25608.6,0.218575
14,340461476,organochlorines_resistant,999,1351,0,0,1351,2323,25647,156662,95800,47900,201,0,250,0,0,0,152,19,18,25760.6,0.208582
15,340461476,pyrethroid_resistant,999,1212,0,0,1212,1999,30133,160728,79000,39500,180,0,183,0,0,0,122,16,18,25044.8,0.250141
15,340461476,carbamate_resistant,999,1209,0,0,1209,2037,30292,160241,83200,41600,173,0,223,0,0,0,108,19,20,25531.8,0.25355
15,340461476,organochlorines_resistant,999,1196,0,0,1196,2122,30386,160641,79600,39800,197,0,181,0,0,0,116,20,19,25131.8,0.268899
16,340461476,pyrethroid_resistant,999,6174,0,0,6174,7029,23796,163589,76200,38100,176,0,188,0,5127,0,120,18,27,25140,0.317023
16,340461476,carbamate_resistant,999,6250,0,0,6250,7066,23876,163673,75600,37800,185,0,175,0,5196,0,121,22,12,25056,0.306872
16,340461476,organochlorines_resistant,999,6341,0,0,6341,7198,23891,163669,79000,39500,183,0,191,0,5295,0,113,16,21,25060,0.315726
17,340461476,pyrethroid_resistant,999,7231,0,0,7231,8498,24067,166534,68400,34200,2393,0,2370,0,2119,0,571,243,248,24803.4,0.329921
17,340461476,carbamate_resistant,999,7319,0,0,7319,8613,23908,166621,65800,32900,2412,0,2345,0,2155,0,619,233,234,24716.4,0.331428
17,340461476,organochlorines_resistant,999,7328,0,0,7328,8670,24021,166411,66000,33000,2422,0,2424,0,2091,0,616,262,226,24926.4,0.317215
18,340461476,pyrethroid_resistant,999,8763,0,0,8763,10018,23567,168902,53400,26700,1019,0,1044,0,2440,0,692,104,112,24737.1,0.362623
18,340461476,carbamate_resistant,999,8832,0,0,8832,10124,23746,168385,56200,28100,986,0,1124,0,2412,0,694,92,113,25254.1,0.37563
18,340461476,organochlorines_resistant,999,8846,0,0,8846,10162,23731,168763,52600,26300,1046,0,1007,0,2379,0,687,90,84,24876.1,0.377673
19,340461476,pyrethroid_resistant,999,10057,0,0,10057,11420,23221,171076,48600,24300,1141,0,1191,0,2349,0,843,105,107,24594.1,0.463242
19,340461476,carbamate_resistant,999,10143,0,0,10143,11527,23121,171059,53000,26500,1162,0,1177,0,2371,0,831,100,129,24611.1,0.449362
19,340461476,organochlorines_resistant,999,10125,0,0,10125,11545,23287,171042,52800,26400,1108,0,1171,0,2315,0,819,110,107,24628.1,0.47293
20,340461476,pyrethroid_resistant,999,10972,0,0,10972,12638,22911,172780,673800,336900,2657,0,2577,0,2367,0,934,270,248,24682.2,0.506051
20,340461476,carbamate_resistant,999,10879,0,0,10879,12634,23122,172729,668400,334200,2579,0,2589,0,2290,0,1027,273,254,24733.2,0.46436
20,340461476,organochlorines_resistant,999,11085,0,0,11085,12736,22913,172689,691000,345500,2616,0,2680,0,2396,0,912,261,263,24773.2,0.466441
21,340461476,pyrethroid_resistant,999,11773,0,0,11773,13783,22638,174507,283800,141900,1650,0,1719,0,2238,0,1085,186,166,24536.5,0.0366313
21,340461476,carbamate_resistant,999,11771,0,0,11771,13572,22841,174581,299200,149600,1715,0,1662,0,2234,0,1004,186,152,24462.5,0.0370035
21,340461476,organochlorines_resistant,999,11960,0,0,11960,13710,22840,174323,297800,148900,1725,0,1771,0,2258,0,1037,165,181,24720.5,0.0358512
22,340461476,pyrethroid_resistant,999,12479,0,0,12479,14644,22456,175973,341000,170500,1768,0,1760,0,2188,0,1122,178,182,24465.8,0.086457
22,340461476,carbamate_resistant,999,12617,0,0,12617,14624,22539,176045,331200,165600,1757,0,1723,0,2287,0,1088,162,191,24393.8,0.0817596
22,340461476,organochlorines_resistant,999,12733,0,0,12733,14748,22483,176475,331600,165800,1714,0,1804,0,2252,0,1092,197,190,23963.8,0.0830104
23,340461476,pyrethroid_resistant,999,13025,0,0,13025,15333,22420,177031,734200,367100,2661,0,2704,0,2221,0,1153,302,220,24639,0.0717472
23,340461476,carbamate_resistant,999,12986,0,0,12986,15440,22481,176992,729800,364900,2678,0,2770,0,2145,0,1245,279,252,24678,0.0736528
23,340461476,organochlorines_resistant,999,13056,0,0,13056,15578,22525,176928,752800,376400,2739,0,2803,0,2123,0,1236,297,267,24742,0.0722672
24,340461476,pyrethroid_resistant,999,13567,0,0,13567,16087,27498,173800,473000,236500,2105,0,2062,0,2147,0,1207,208,190,28956.4,0.033559
24,340461476,carbamate_resistant,999,13499,0,0,13499,16278,27469,173145,485200,242600,2092,0,2061,0,2212,0,1257,219,223,29611.4,0.0338147
24,340461476,organochlorines_resistant,999,13585,0,0,13585,16295,27544,173336,484000,242000,2043,0,2071,0,2246,0,1265,224,228,29420.4,0.0328666
25,340461476,pyrethroid_resistant,999,13978,0,0,13978,16791,28418,178227,502000,251000,2111,0,2104,0,2125,0,1285,205,224,25488,0.0612186
25,340461476,carbamate_resistant,999,13952,0,0,13952,16827,28571,178342,492800,246400,2075,0,2132,0,2191,0,1315,211,212,25373,0.0610292
25,340461476,organochlorines_resistant,999,14014,0,0,14014,16888,28629,178283,489800,244900,2153,0,2100,0,2170,0,1274,237,230,25432,0.0607859
26,340461476,pyrethroid_resistant,999,14303,0,154,14149,17237,30460,177987,760600,380300,2709,0,2750,0,2158,0,1292,271,270,26573.9,0.0507729
26,340461476,carbamate_resistant,999,14235,0,118,14117,17400,30057,178074,761600,380800,2701,0,2783,0,2187,0,1313,293,298,26486.9,0.0514874
26,340461476,organochlorines_resistant,999,14210,0,139,14071,17461,30231,178043,780400,390200,2828,0,2731,0,2108,0,1372,289,251,26517.9,0.0519232
27,340461476,pyrethroid_resistant,999,14655,0,254,14401,17802,31492,179065,601400,300700,2351,0,2376,0,2223,0,1391,220,260,26242.2,0.034938
27,340461476,carbamate_resistant,999,14553,0,222,14331,17749,31389,179558,582200,291100,2294,0,2351,0,2176,0,1370,242,246,25749.2,0.0347779
27,340461476,organochlorines_resistant,999,14605,0,230,14375,17989,31278,179136,578000,289000,2180,0,2400,0,2177,0,1333,215,234,26171.2,0.0339798
28,340461476,pyrethroid_resistant,999,16641,0,325,16316,19954,29311,179624,589000,294500,2329,0,2376,0,3899,0,1456,236,221,26341.8,0.0436352
28,340461476,carbamate_resistant,999,16543,0,337,16206,20040,29072,179855,597600,298800,2275,0,2418,0,3856,0,1400,220,246,26110.8,0.0442275
28,340461476,organochlorines_resistant,999,16709,0,324,16385,20167,28847,180017,595400,297700,2369,0,2361,0,3890,0,1344,235,207,25948.8,0.045279
29,340461476,pyrethroid_resistant,999,17018,0,466,16552,20700,29535,180705,746640,373320,3530,0,3389,0,2648,0,1586,363,322,25842,0.044723
29,340461476,carbamate_resistant,999,17014,0,467,16547,20893,29087,180686,762160,381080,3504,0,3477,0,2669,0,1501,363,334,25861,0.0436928
29,340461476,organochlorines_resistant,999,17099,0,482,16617,20931,28945,180497,775120,387560,3591,0,3484,0,2712,0,1579,393,350,26050,0.0435822
30,340461476,pyrethroid_resistant,999,17873,0,542,17331,21684,29077,181328,661880,330940,2754,0,2653,0,2990,0,1612,260,263,25731.7,0.034611
30,340461476,carbamate_resistant,999,17706,0,555,17151,21718,28974,180937,649360,324680,2714,0,2679,0,2824,0,1589,275,268,26122.7,0.0339311
30,340461476,organochlorines_resistant,999,17851,0,554,17297,21746,28761,181308,643680,321840,2694,0,2740,0,2849,0,1610,215,272,25751.7,0.0336076
31,340461476,pyrethroid_resistant,999,18521,0,598,17923,22469,29001,181568,671960,335980,2906,0,2891,0,2836,0,1614,296,278,25944.2,0.0388767
31,340461476,carbamate_resistant,999,18165,0,633,17532,22576,28771,181510,666520,333260,2783,0,2794,0,2775,0,1773,265,278,26002.2,0.0402284
31,340461476,organochlorines_resistant,999,18358,0,613,17745,22452,28548,181691,676400,338200,2874,0,2862,0,2773,0,1670,295,301,25821.2,0.040007
32,340461476,pyrethroid_resistant,999,18823,0,700,18123,23245,28647,182229,975600,487800,3554,0,3570,0,2812,0,1779,359,372,25682.5,0.0386097
32,340461476,carbamate_resistant,999,18478,0,686,17792,23251,28508,182132,968960,484480,3564,0,3438,0,2814,0,1773,364,364,25779.5,0.0390119
32,340461476,organochlorines_resistant,999,18735,0,699,18036,23037,28590,181923,983680,491840,3559,0,3566,0,2770,0,1715,367,311,25988.5,0.0381745
33,340461476,pyrethroid_resistant,999,19176,0,780,18396,23858,28492,182644,759600,379800,3072,0,3001,0,2692,0,1735,300,304,25619.8,0.0263248
33,340461476,carbamate_resistant,999,18879,0,729,18150,23764,28317,182570,750800,375400,2975,0,3009,0,2757,0,1744,299,313,25693.8,0.0266053
33,340461476,organochlorines_resistant,999,19167,0,753,18414,23663,28602,182117,774400,387200,3084,0,2995,0,2817,0,1762,319,304,26146.8,0.0264196
34,340461476,pyrethroid_resistant,999,19545,45,798,18702,24380,28329,182802,817960,408980,3095,0,3131,0,2805,0,1823,309,304,25772.6,0.0337279
34,340461476,carbamate_resistant,999,19359,42,756,18561,24245,28228,182229,780840,390420,3013,0,3100,0,2820,0,1795,276,269,26345.6,0.0342218
34,340461476,organochlorines_resistant,999,19436,51,744,18641,24216,28384,183325,793880,396940,3049,0,3191,0,2754,0,1831,296,358,25249.6,0.0337639
35,340461476,pyrethroid_resistant,999,19736,83,800,18853,24767,28336,182946,1003640,501820,3558,13,3667,11,2799,0,1839,401,368,25902.9,0.0315084
35,340461476,carbamate_resistant,999,19598,71,811,18716,24650,28185,183371,987680,493840,3564,8,3585,12,2802,0,1867,332,364,25477.9,0.0337401
35,340461476,organochlorines_resistant,999,19576,86,760,18730,24727,28578,183031,997680,498840,3587,5,3576,12,2682,0,1876,332,334,25817.9,0.0318053
36,340461476,pyrethroid_resistant,999,20140,120,807,19213,25142,29735,181737,851560,425780,3314,11,3200,8,2864,0,1839,311,310,27353.9,0.025809
36,340461476,carbamate_resistant,999,19932,103,793,19036,24965,29932,181524,836680,418340,3218,9,3219,4,2757,0,1803,310,310,27566.9,0.0257957
36,340461476,organochlorines_resistant,999,19914,107,758,19049,25118,30143,181310,851520,425760,3199,14,3227,9,2773,0,1786,314,335,27780.9,0.0258779
37,340461476,pyrethroid_resistant,999,20271,161,800,19310,25452,30012,183068,870400,435200,3266,7,3369,11,2724,0,1911,325,357,26236.5,0.0321222
37,340461476,carbamate_resistant,999,20070,142,785,19143,25290,29986,183755,865920,432960,3302,6,3223,12,2692,0,1945,289,320,25549.5,0.032948
37,340461476,organochlorines_resistant,999,20107,179,745,19183,25540,29972,183457,865680,432840,3329,10,3196,12,2808,0,1910,352,353,25847.5,0.0326251
38,340461476,pyrethroid_resistant,999,20321,176,859,19286,25798,30512,182925,1020680,510340,3619,18,3653,20,2703,0,1912,363,378,26567.9,0.030143
38,340461476,carbamate_resistant,999,20093,172,789,19132,25674,30622,183234,1007560,503780,3595,20,3513,17,2725,0,1944,366,392,26258.9,0.0295056
38,340461476,organochlorines_resistant,999,20231,185,737,19309,25774,30624,182995,1009920,504960,3563,20,3658,21,2751,0,1945,345,337,26497.9,0.029858
39,340461476,pyrethroid_resistant,999,20429,196,861,19372,26139,30858,183079,911000,455500,3396,12,3267,20,2726,0,1955,338,325,26580.2,0.0260296
39,340461476,carbamate_resistant,999,20397,200,779,19418,25948,30740,183414,900680,450340,3360,16,3325,13,2810,0,1853,331,322,26245.2,0.0260619
39,340461476,organochlorines_resistant,999,20280,192,765,19323,26139,30894,183267,893560,446780,3339,18,3254,14,2777,0,2042,350,336,26392.2,0.0262377
40,340461476,pyrethroid_resistant,999,20884,229,854,19801,26948,30280,183024,913000,456500,3332,15,3387,18,3187,0,2006,324,402,26781.9,0.029177
40,340461476,carbamate_resistant,999,20997,230,788,19979,26671,29978,183395,918560,459280,3414,15,3410,18,3199,0,1897,370,332,26410.9,0.0291393
40,340461476,organochlorines_resistant,999,20976,223,758,19995,26889,30160,183634,891800,445900,3350,10,3299,19,3299,0,1927,345,331,26171.9,0.029536
41,340461476,pyrethroid_resistant,999,20997,266,851,19880,27237,30283,183701,1004280,502140,3807,21,3745,29,2858,0,2005,378,362,26234.4,0.029334
41,340461476,carbamate_resistant,999,20942,246,808,19888,26968,30056,184101,988200,494100,3723,18,3779,23,2772,0,2037,366,424,25834.4,0.0287525
41,340461476,organochlorines_resistant,999,21079,225,798,20056,27123,30418,183295,1020000,510000,3848,24,3887,24,2770,0,1954,342,371,26640.4,0.0293473
42,340461476,pyrethroid_resistant,999,21228,275,873,20080,27566,30133,183828,936040,468020,3404,23,3505,32,2886,0,1988,336,331,26221.6,0.0261226
42,340461476,carbamate_resistant,999,21304,274,768,20262,27484,29735,183582,939200,469600,3344,18,3513,18,3047,0,1994,337,354,26467.6,0.0261429
42,340461476,organochlorines_resistant,999,21308,246,799,20263,27483,30087,183279,920240,460120,3393,21,3375,18,2991,0,2097,324,341,26770.6,0.026118
43,340461476,pyrethroid_resistant,999,21501,315,847,20339,27849,29998,183481,933040,466520,3487,26,3475,12,3007,0,2019,374,341,26669.4,0.0280134
43,340461476,carbamate_resistant,999,21402,286,795,20321,27713,30055,183999,961400,480700,3654,30,3547,28,2740,0,1971,362,309,26151.4,0.028181
43,340461476,organochlorines_resistant,999,21538,278,802,20458,27774,29908,184345,928360,464180,3439,30,3576,18,2964,0,2037,369,328,25805.4,0.0290909
44,340461476,pyrethroid_resistant,999,21733,320,868,20545,28155,29731,183863,1053040,526520,3861,30,3780,34,3016,0,2075,389,320,26376.4,0.0285834
44,340461476,carbamate_resistant,999,21581,289,782,20510,27983,29944,184209,1037200,518600,3616,22,3773,26,2939,0,2061,324,375,26030.4,0.0272014
44,340461476,organochlorines_resistant,999,21628,293,818,20517,28078,29854,184041,1090840,545420,3907,26,3859,26,2873,0,2026,378,379,26198.4,0.0277968
45,340461476,pyrethroid_resistant,999,21853,340,874,20639,28304,29668,184185,975360,487680,3649,29,3613,32,2867,0,2006,373,368,26132.9,0.0250479
45,340461476,carbamate_resistant,999,21568,306,761,20501,28119,29784,184101,981960,490980,3501,10,3674,24,2809,0,2077,370,375,26216.9,0.0250968
45,340461476,organochlorines_resistant,999,21690,297,819,20574,28326,29853,184157,939960,469980,3464,21,3470,16,2925,0,2148,357,358,26160.9,0.0240167
46,340461476,pyrethroid_resistant,999,22000,349,870,20781,28371,29504,184320,975920,487960,3589,26,3527,27,2906,0,2021,374,364,26067.1,0.0267931
46,340461476,carbamate_resistant,999,21658,314,799,20545,28488,30062,184098,1000240,500120,3555,30,3645,28,2918,0,2116,359,353,26289.1,0.0266985
46,340461476,organochlorines_resistant,999,21791,312,804,20675,28424,29626,183906,979160,489580,3589,28,3640,32,2865,0,2037,353,374,26481.1,0.0278319
47,340461476,pyrethroid_resistant,999,22034,318,884,20832,28600,29239,184533,1085040,542520,3876,35,3868,40,2938,0,2080,424,400,25915.2,0.0267103
47,340461476,carbamate_resistant,999,21860,317,798,20745,28695,29853,184594,1046000,523000,3752,28,3779,24,2916,0,1931,390,393,25854.2,0.0262828
47,340461476,organochlorines_resistant,999,21754,325,783,20646,28574,29627,184636,1087320,543660,3901,28,3798,35,2893,0,2109,410,411,25812.2,0.0270447
48,340461476,pyrethroid_resistant,999,22071,335,881,20855,28814,30021,183841,1022000,511000,3705,20,3705,29,2877,0,2116,394,330,26661.2,0.0238841
48,340461476,carbamate_resistant,999,21870,315,777,20778,28892,30503,184021,1008520,504260,3642,21,3701,25,2836,0,2088,382,356,26481.2,0.0247172
48,340461476,organochlorines_resistant,999,21800,334,803,20663,28932,30332,183459,974440,487220,3590,28,3566,25,2768,0,1973,372,377,27043.2,0.0237393
49,340461476,pyrethroid_resistant,999,22086,361,843,20882,28782,30214,183999,994000,497000,3596,31,3605,19,2823,0,2088,347,373,26550.7,0.0260872
49,340461476,carbamate_resistant,999,21817,315,803,20699,28956,30565,184266,998960,499480,3562,33,3655,35,2807,0,2124,380,356,26283.7,0.0262574
49,340461476,organochlorines_resistant,999,21927,334,794,20799,28971,30115,184630,1013160,506580,3568,24,3635,27,2927,0,2044,365,391,25919.7,0.0277525
50,340461476,pyrethroid_resistant,999,21979,361,822,20796,28910,30557,184055,1065720,532860,3839,35,3705,35,2821,0,2167,388,373,26536.7,0.026711
50,340461476,carbamate_resistant,999,22069,309,817,20943,29073,30315,184413,1053960,526980,3739,27,3735,34,3014,0,2053,367,342,26178.7,0.0263111
50,340461476,organochlorines_resistant,999,21868,324,787,20757,29062,30268,184283,1070840,535420,3799,28,3813,43,2837,0,2118,385,393,26308.7,0.0255831
51,340461476,pyrethroid_resistant,999,22016,366,824,20826,28966,30641,184358,1037520,518760,3653,32,3739,29,2838,0,2080,372,349,26270.8,0.0249003
51,340461476,carbamate_resistant,999,22004,310,810,20884,29191,30422,184624,1016640,508320,3706,25,3729,22,2831,0,2099,406,391,26004.8,0.0248384
51,340461476,organochlorines_resistant,999,21919,328,773,20818,29187,30394,183945,1004400,502200,3626,31,3577,21,2834,0,2073,378,332,26683.8,0.0245683
52,340461476,pyrethroid_resistant,999,22252,370,803,21079,29332,30443,183723,1015600,507800,3676,36,3616,30,3105,0,2115,390,364,26938.5,0.0253207
52,340461476,carbamate_resistant,999,22361,323,819,21219,29432,30153,184300,999120,499560,3648,28,3556,25,3167,0,2085,361,364,26361.5,0.0255791
52,340461476,organochlorines_resistant,999,22148,349,736,21063,29464,29982,184738,1021520,510760,3627,27,3667,24,3101,0,2090,388,394,25923.5,0.0265669
53,340461476,pyrethroid_resistant,999,22239,385,790,21064,29469,30279,184596,1045480,522740,3881,40,3829,38,2931,0,2164,391,389,26094.3,0.0265247
53,340461476,carbamate_resistant,999,22385,318,834,21233,29480,30040,184848,1060080,530040,3972,35,3845,20,2887,0,2103,392,368,25842.3,0.0263847
53,340461476,organochlorines_resistant,999,22042,335,766,20941,29603,30188,184464,1073920,536960,3865,35,3925,36,2769,0,2043,393,439,26226.3,0.0253773
54,340461476,pyrethroid_resistant,999,22297,383,792,21122,29719,29999,184357,1027560,513780,3681,25,3704,31,2967,0,2158,372,379,26358.8,0.0249592
54,340461476,carbamate_resistant,999,22340,341,820,21179,29537,30259,184015,1051440,525720,3800,21,3695,31,2862,0,2167,369,371,26700.8,0.0243777
54,340461476,organochlorines_resistant,999,22214,335,781,21098,29679,30456,184269,1011320,505660,3572,25,3623,32,2949,0,2113,335,329,26446.8,0.0244211
55,340461476,pyrethroid_resistant,999,22319,387,778,21154,29769,30051,184367,1018560,509280,3731,24,3681,43,2930,0,2166,352,390,26371.2,0.0256518
55,340461476,carbamate_resistant,999,22306,340,815,21151,29667,30464,184881,999440,499720,3621,34,3608,31,2891,0,2213,371,341,25857.2,0.0253945
55,340461476,organochlorines_resistant,999,22474,356,767,21351,29778,30314,184863,1024120,512060,3692,26,3746,36,3034,0,2083,337,354,25875.2,0.0261507
56,340461476,pyrethroid_resistant,999,22444,373,769,21302,29996,30050,184456,1072320,536160,3727,42,3891,33,3005,0,2152,354,374,26302,0.0258907
56,340461476,carbamate_resistant,999,22319,343,815,21161,29851,30273,184464,1083160,541580,3779,24,3890,22,2933,0,2141,369,410,26294,0.0258717
56,340461476,organochlorines_resistant,999,22511,362,772,21377,29861,30359,184172,1092920,546460,3977,28,3809,44,2936,0,2110,411,378,26586,0.0252658
57,340461476,pyrethroid_resistant,999,22474,372,762,21340,30049,30208,184475,1031520,515760,3829,29,3672,20,2905,0,2118,381,376,26300.5,0.0245281
57,340461476,carbamate_resistant,999,22287,351,792,21144,29941,30333,184519,1051880,525940,3770,27,3809,31,2836,0,2051,400,417,26256.5,0.0242753
57,340461476,organochlorines_resistant,999,22555,368,770,21417,29950,30202,184576,1028760,514380,3785,34,3642,30,2946,0,2138,405,359,26199.5,0.0243257
58,340461476,pyrethroid_resistant,999,22436,372,748,21316,30082,30269,184303,1030680,515340,3689,32,3756,34,2874,0,2158,372,382,26487.9,0.0254968
58,340461476,carbamate_resistant,999,22486,361,795,21330,30150,30318,184453,1019200,509600,3607,37,3734,39,3003,0,2075,374,355,26337.9,0.0249615
58,340461476,organochlorines_resistant,999,22600,373,753,21474,30215,30150,184841,1051240,525620,3705,33,3812,27,2998,0,2195,366,392,25949.9,0.0254671
59,340461476,pyrethroid_resistant,999,22577,374,710,21493,30125,30025,184875,1080040,540020,3762,26,3868,35,2966,0,2051,351,423,25929.5,0.0256995
59,340461476,carbamate_resistant,999,22578,368,787,21423,30198,30269,183896,1084560,542280,3987,25,3801,44,2989,0,2105,399,393,26908.5,0.0258418
59,340461476,organochlorines_resistant,999,22574,371,762,21441,30134,30183,184367,1085120,542560,3861,35,3915,35,2871,0,2145,374,378,26437.5,0.0246851
60,340461476,pyrethroid_resistant,999,22600,354,715,21531,30314,29975,184233,1060920,530460,3810,32,3835,31,2991,0,2216,399,353,26583.5,0.0240079
60,340461476,carbamate_resistant,999,22575,390,753,21432,30276,30557,184307,1052720,526360,3833,25,3777,19,2903,0,2131,386,389,26509.5,0.0248106
