Time, NodeID, Species, Population, VectorPopulation, STATE_INFECTIOUS-Count, STATE_INFECTED-Count, STATE_ADULT-Count, STATE_MALE-Count, STATE_IMMATURE-Count, STATE_LARVA-Count, STATE_EGG-Count, NewEggsCount, IndoorBitesCount, OutdoorBitesCount, NewAdults, DiedBeforeFeeding, DiedDuringFeedingIndoor, DiedDuringFeedingOutdoor, MigrationFromCountLocal, MigrationFromCountRegional, AvailableHabitat, EggCrowdingCorrection
43,340461476,gambiae,1005,8014,17,226,7771,5442,2396,119371,433942,216971,1,0,564,411,163,17,0,0,6175,0.0298591
44,340461476,gambiae,1005,8009,22,227,7760,5417,2475,118947,425124,212562,1,0,551,403,135,18,0,0,6447,0.02846
45,340461476,gambiae,1005,8017,29,223,7765,5463,2466,119084,427938,213969,1,0,581,407,151,15,0,0,6411,0.03033
46,340461476,gambiae,1005,8051,35,218,7798,5495,4063,117648,441784,220892,1,0,561,388,118,21,0,0,7146,0.0299623
47,340461476,gambiae,1005,8069,42,215,7812,5473,3705,119709,421330,210665,1,0,592,413,143,18,0,0,6022,0.0323507
48,340461476,gambiae,1005,8804,39,214,8551,6099,2437,118850,433018,216509,1,0,1295,405,144,11,0,0,6541,0.0285857
49,340461476,gambiae,1005,8653,45,209,8399,5971,2690,119218,417550,208775,1,0,465,434,164,18,0,0,6373,0.0302112
50,340461476,gambiae,1005,8747,54,209,8484,5966,2581,119340,424812,212406,1,0,681,408,156,23,0,0,6333,0.0305257
51,340461476,gambiae,1006,8744,55,225,8464,5941,2587,119157,446262,223131,1,0,617,444,157,19,0,0,6442,0.0298155
52,340461476,gambiae,1005,8751,61,213,8477,5913,2663,119311,465534,232767,1,0,618,432,157,22,0,0,6273,0.0288709
53,340461476,gambiae,1006,8743,62,209,8472,5886,2678,118962,475048,237524,1,0,613,422,184,15,0,0,6464,0.0269497
54,340461476,gambiae,1006,8769,61,199,8509,5874,2695,118999,467902,233951,1,0,646,457,147,16,0,0,6431,0.0272141
55,340461476,gambiae,1006,8745,59,202,8484,5903,2760,119125,459080,229540,1,0,635,453,187,19,0,0,6306,0.0274887
56,340461476,gambiae,1004,8799,60,212,8527,5934,2740,118934,470848,235424,1,0,670,445,158,13,0,0,6302,0.0274723
57,340461476,gambiae,1004,8800,65,219,8516,5887,2691,119080,459752,229876,1,0,661,469,170,21,0,0,6386,0.0267687
58,340461476,gambiae,1003,8827,66,220,8541,5878,2651,119324,460164,230082,1,0,654,439,167,21,0,0,6244,0.0277802
59,340461476,gambiae,1003,8908,71,208,8629,5837,2673,118938,459410,229705,1,0,686,439,138,28,0,0,6373,0.0271382
60,340461476,gambiae,1003,8827,70,193,8564,5810,2794,119043,466254,233127,1,0,600,473,187,21,0,0,6345,0.0277443
61,340461476,gambiae,1003,8841,68,203,8570,5894,2727,119255,455350,227675,1,0,630,432,169,15,0,0,6263,0.0272169
62,340461476,gambiae,1002,8947,74,194,8679,5870,2662,118976,477158,238579,1,0,669,406,137,20,0,0,6469,0.0275085
63,340461476,gambiae,1001,8913,74,196,8643,5906,2617,119019,481386,240693,1,0,596,461,148,21,0,0,6390,0.0271147
64,340461476,gambiae,1002,8977,74,200,8703,5933,2589,119046,478532,239266,1,0,641,410,149,18,0,0,6502,0.0265483
65,340461476,gambiae,1002,8982,72,202,8708,5926,2636,119375,468944,234472,1,0,602,417,159,21,0,0,6346,0.0271748
66,340461476,gambiae,1002,8946,71,197,8678,5928,2682,119329,480580,240290,1,0,601,438,183,16,0,0,6448,0.0270651
67,340461476,gambiae,1002,9021,78,189,8754,6000,2759,119522,489674,244837,1,0,637,416,134,12,0,0,6264,0.0268342
68,340461476,gambiae,1002,8998,81,187,8730,6033,2752,119227,477848,238924,1,0,613,422,187,27,0,0,6536,0.0255844
69,340461476,gambiae,1003,9070,84,190,8796,6056,2882,119514,478834,239417,1,0,663,404,168,19,0,0,6369,0.027356
70,340461476,gambiae,1003,9084,83,186,8815,6014,2802,119711,467780,233890,1,0,631,441,161,15,0,0,6360,0.0266021
71,340461476,gambiae,1003,9114,83,187,8844,6130,2676,119602,487562,243781,1,0,683,464,172,17,0,0,6369,0.0271923
72,340461476,gambiae,1003,9088,83,193,8812,6119,2739,119468,472794,236397,1,0,614,438,182,20,0,0,6474,0.0261259
73,340461476,gambiae,1003,9112,83,192,8837,6128,2707,119851,472220,236110,1,0,638,427,174,13,0,0,6238,0.0273861
74,340461476,gambiae,1003,9137,84,207,8846,6110,2699,119488,491314,245657,1,0,651,446,162,18,0,0,6461,0.0264199
75,340461476,gambiae,1003,9170,81,215,8874,6066,2708,119599,479812,239906,1,0,636,424,159,20,0,0,6273,0.0263009
76,340461476,gambiae,1003,9219,79,220,8920,6073,2688,119325,490402,245201,1,0,657,444,145,19,0,0,6398,0.0261477
77,340461476,gambiae,1003,9222,84,229,8909,6090,2784,119334,485722,242861,1,0,607,400,181,23,0,0,6458,0.0260929
78,340461476,gambiae,1004,9261,78,239,8944,6066,2771,119586,474176,237088,1,0,665,438,173,15,0,0,6157,0.0265913
79,340461476,gambiae,1004,9267,81,250,8936,6088,2738,119147,495890,247945,1,0,653,460,162,25,0,0,6356,0.0259693
80,340461476,gambiae,1004,9307,85,256,8966,6063,2787,119313,520200,260100,1,0,657,421,176,20,0,0,6253,0.0256347
81,340461476,gambiae,1004,9299,81,270,8948,6076,2735,119094,497464,248732,1,0,647,459,174,22,0,0,6586,0.0240408
82,340461476,gambiae,1004,9308,83,272,8953,6059,2649,119478,501182,250591,1,0,662,456,179,18,0,0,6236,0.0264783
83,340461476,gambiae,1004,9264,84,277,8903,6027,2750,118904,491500,245750,1,0,623,453,193,21,0,0,6508,0.0248852
84,340461476,gambiae,1002,9268,90,285,8893,5979,2754,119099,487368,243684,1,0,633,437,170,22,0,0,6555,0.0264822
85,340461476,gambiae,1002,9249,87,285,8877,6059,2708,119403,488210,244105,1,0,640,457,183,19,0,0,6247,0.0268996
86,340461476,gambiae,1002,9171,80,302,8789,6032,2756,119194,504636,252318,1,0,598,465,184,27,0,0,6334,0.0255914
87,340461476,gambiae,1001,9174,81,324,8769,6031,2765,119201,494512,247256,1,0,653,459,179,12,0,0,6411,0.0251032
88,340461476,gambiae,1001,9162,80,344,8738,6051,2711,119638,482214,241107,1,0,630,429,190,23,0,0,6332,0.0259286
89,340461476,gambiae,1001,9144,79,373,8692,6066,2743,119313,489128,244564,1,0,653,483,172,16,0,0,6407,0.0262622
90,340461476,gambiae,1001,9091,78,389,8624,6034,2745,119604,486910,243455,1,0,636,483,188,18,0,0,6242,0.0261976
91,340461476,gambiae,1001,9157,80,394,8683,6027,2724,119219,466378,233189,1,0,694,433,176,19,0,0,6325,0.0256392
92,340461476,gambiae,1001,9074,81,416,8577,6017,2793,119228,490640,245320,1,0,617,480,199,21,0,0,6275,0.0271239
93,340461476,gambiae,1001,9142,79,428,8635,6024,2779,119020,485362,242681,1,0,682,427,175,12,0,0,6334,0.0255788
94,340461476,gambiae,1001,9171,79,443,8649,6021,2762,118785,484694,242347,1,0,661,432,179,21,0,0,6410,0.0261001
95,340461476,gambiae,1003,9152,82,460,8610,6037,2766,118894,482562,241281,1,0,650,471,177,21,0,0,6519,0.0264497
96,340461476,gambiae,1003,9170,79,490,8601,6022,2749,119264,478710,239355,1,0,647,435,173,21,0,0,6345,0.0270183
97,340461476,gambiae,1003,9153,82,484,8587,6100,2733,118923,487026,243513,1,0,634,460,170,21,0,0,6534,0.0265087
98,340461476,gambiae,1003,9091,79,497,8515,6093,2699,119358,479520,239760,1,0,629,496,178,17,0,0,6295,0.0268322
99,340461476,gambiae,1003,9089,82,496,8511,6080,2660,119305,490044,245022,1,0,656,474,167,17,0,0,6472,0.0262554
100,340461476,gambiae,1002,9091,89,508,8494,6078,2760,119542,479540,239770,1,0,631,438,166,25,0,0,6485,0.026414
101,340461476,gambiae,1002,9078,91,516,8471,6090,2707,119765,480104,240052,1,0,620,438,171,24,0,0,6411,0.0270468
102,340461476,gambiae,1002,9139,95,534,8510,6094,2642,119585,485160,242580,1,0,688,429,171,27,0,0,6559,0.0267067
103,340461476,gambiae,1002,9140,103,558,8479,6015,2717,119845,479018,239509,1,0,633,446,166,20,0,0,6403,0.0270385
104,340461476,gambiae,1002,9103,105,561,8437,6011,2744,119768,489336,244668,1,0,602,458,160,21,0,0,6468,0.0267339
105,340461476,gambiae,1002,9091,117,562,8412,6004,2730,119878,494802,247401,1,0,652,465,182,17,0,0,6355,0.0264358
106,340461476,gambiae,1002,9108,125,566,8417,6028,2706,119542,489662,244831,1,0,645,460,157,11,0,0,6448,0.025687
107,340461476,gambiae,1002,9082,126,569,8387,5982,2797,119473,490732,245366,1,0,629,444,191,20,0,0,6477,0.0263365
108,340461476,gambiae,1002,9074,140,592,8342,6049,2699,119977,485466,242733,1,0,625,442,173,18,0,0,6073,0.0263973
109,340461476,gambiae,1002,9072,143,607,8322,6083,2667,119419,467348,233674,1,0,693,496,175,24,0,0,6418,0.0250193
110,340461476,gambiae,1003,9062,146,630,8286,6056,2746,119783,468902,234451,1,0,595,418,171,16,0,0,6288,0.0274656
111,340461476,gambiae,1004,9053,151,661,8241,6032,2800,119524,481030,240515,1,0,646,453,186,16,0,0,6421,0.0268201
112,340461476,gambiae,1005,9077,159,676,8242,6092,2821,119531,473596,236798,1,0,625,409,167,25,0,0,6284,0.0266969
113,340461476,gambiae,1005,9058,160,699,8199,6131,2833,119143,475178,237589,1,0,643,455,180,27,0,0,6584,0.0265374
114,340461476,gambiae,1005,9070,170,707,8193,6157,2771,119673,481552,240776,1,0,639,436,179,12,0,0,6469,0.0277117
115,340461476,gambiae,1004,9149,172,733,8244,6119,2664,119846,478840,239420,1,0,693,439,156,19,0,0,6338,0.0268673
116,340461476,gambiae,1003,9158,168,763,8227,6059,2698,119759,478386,239193,1,0,678,471,168,30,0,0,6339,0.0264723
117,340461476,gambiae,1004,9157,176,768,8213,5990,2736,119553,472046,236023,1,0,632,437,174,22,0,0,6390,0.0265016
118,340461476,gambiae,1004,9179,188,782,8209,6015,2790,119282,472834,236417,1,0,636,426,163,25,0,0,6496,0.0270736
119,340461476,gambiae,1004,9156,204,763,8189,5987,2820,119598,479356,239678,1,0,625,447,186,15,0,0,6310,0.0274769
120,340461476,gambiae,1004,9191,204,778,8209,5992,2766,119403,468674,234337,1,0,687,438,186,28,0,0,6444,0.026327
121,340461476,gambiae,1004,9161,204,788,8169,5998,2716,119439,480004,240002,1,0,626,457,172,27,0,0,6436,0.0274989
122,340461476,gambiae,1003,9181,213,792,8176,5990,2689,119537,488240,244120,1,0,672,441,192,19,0,0,6323,0.0268164
123,340461476,gambiae,1003,9193,205,798,8190,5922,2779,119356,481228,240614,1,0,629,420,175,22,0,0,6481,0.0259012
124,340461476,gambiae,1003,9169,209,787,8173,5909,2735,119435,481832,240916,1,0,654,471,187,20,0,0,6456,0.0269353
125,340461476,gambiae,1002,9191,215,809,8167,5956,2739,119275,480648,240324,1,0,679,476,160,21,0,0,6480,0.0267977
126,340461476,gambiae,1003,9163,216,808,8139,5957,2808,119676,477836,238918,1,0,621,453,187,9,0,0,6279,0.0269636
127,340461476,gambiae,1003,9180,217,828,8135,6011,2767,119241,467800,233900,1,0,664,461,166,20,0,0,6615,0.026281
128,340461476,gambiae,1003,9207,221,861,8125,6041,2708,119843,487040,243520,1,0,649,434,167,21,0,0,6222,0.0282813
129,340461476,gambiae,1002,9213,217,875,8121,6037,2730,119525,475134,237567,1,0,666,442,201,17,0,0,6308,0.0255503
130,340461476,gambiae,1002,9200,221,889,8090,6013,2766,119057,483002,241501,1,0,644,472,170,15,0,0,6537,0.0265525
131,340461476,gambiae,1002,9240,234,912,8094,5997,2703,119435,482980,241490,1,0,652,440,154,18,0,0,6526,0.0270682
132,340461476,gambiae,1002,9238,238,896,8104,6017,2638,119459,468278,234139,1,0,636,435,178,25,0,0,6597,0.0270239
133,340461476,gambiae,1002,9196,246,914,8036,5979,2699,119796,482640,241320,1,0,611,450,181,22,0,0,6385,0.0281756
134,340461476,gambiae,1003,9227,252,916,8059,5956,2773,119911,481432,240716,1,0,666,436,177,22,0,0,6392,0.0264586
135,340461476,gambiae,1003,9200,257,929,8014,5961,2758,119814,499098,249549,1,0,636,468,182,13,0,0,6349,0.0265541
136,340461476,gambiae,1003,9283,268,948,8067,5977,2775,119371,489970,244985,1,0,683,412,173,15,0,0,6558,0.0254419
137,340461476,gambiae,1003,9299,280,944,8075,5953,2788,119614,476532,238266,1,0,638,446,155,21,0,0,6390,0.026769
138,340461476,gambiae,1004,9338,278,969,8091,5989,2719,119550,476570,238285,1,0,676,429,185,23,0,0,6504,0.0268188
139,340461476,gambiae,1005,9318,285,979,8054,5984,2725,119832,488006,244003,1,0,619,463,159,17,0,0,6401,0.027295
140,340461476,gambiae,1005,9315,281,1029,8005,5987,2714,119960,480904,240452,1,0,661,460,185,19,0,0,6196,0.0262333
141,340461476,gambiae,1005,9301,285,1062,7954,5999,2795,119503,490974,245487,1,0,646,472,179,9,0,0,6446,0.0257681
142,340461476,gambiae,1007,9259,291,1089,7879,6030,2779,119467,486090,243045,1,0,599,441,175,25,0,0,6461,0.026258
143,340461476,gambiae,1007,9318,297,1103,7918,6039,2688,119273,484710,242355,1,0,707,462,169,17,0,0,6573,0.0265836
144,340461476,gambiae,1006,9294,312,1100,7882,6025,2746,119679,491854,245927,1,0,619,440,186,17,0,0,6364,0.0271214
145,340461476,gambiae,1006,9323,316,1125,7882,6057,2727,119759,489356,244678,1,0,634,396,186,23,0,0,6244,0.0258776
146,340461476,gambiae,1006,9315,319,1156,7840,6100,2714,119513,496104,248052,1,0,639,445,183,19,0,0,6250,0.0255193
147,340461476,gambiae,1006,9327,329,1152,7846,6133,2730,119338,481410,240705,1,0,633,445,159,17,0,0,6265,0.0251963
148,340461476,gambiae,1006,9331,316,1191,7824,6197,2730,118971,499434,249717,1,0,631,436,169,22,0,0,6399,0.0260277
149,340461476,gambiae,1006,9314,346,1169,7799,6151,2660,118929,487468,243734,1,0,648,477,167,21,0,0,6486,0.025625
150,340461476,gambiae,1005,9302,352,1168,7782,6145,2660,119376,486122,243061,1,0,652,454,189,21,0,0,6134,0.026611
151,340461476,gambiae,1005,9256,342,1203,7711,6080,2743,118859,486250,243125,1,0,620,452,188,26,0,0,6448,0.0252365
152,340461476,gambiae,1005,9217,356,1218,7643,6104,2710,119142,485928,242964,1,0,623,466,177,19,0,0,6424,0.0265213
153,340461476,gambiae,1005,9222,355,1226,7641,6061,2796,119544,477916,238958,1,0,659,484,149,21,0,0,6211,0.0264401
154,340461476,gambiae,1005,9228,374,1227,7627,6062,2873,119003,488936,244468,1,0,644,434,187,17,0,0,6550,0.025992
155,340461476,gambiae,1005,9260,386,1232,7642,6136,2843,119378,490258,245129,1,0,670,445,176,17,0,0,6439,0.0267929
156,340461476,gambiae,1005,9235,401,1221,7613,6141,2719,119639,482066,241033,1,0,668,488,177,28,0,0,6171,0.0262678
157,340461476,gambiae,1005,9251,413,1242,7596,6160,2711,119182,463842,231921,1,0,653,451,171,15,0,0,6455,0.0256023
158,340461476,gambiae,1005,9231,421,1267,7543,6156,2750,119371,487122,243561,1,0,628,463,162,23,0,0,6419,0.0278328
159,340461476,gambiae,1005,9242,435,1274,7533,6136,2749,119430,486484,243242,1,0,650,443,177,19,0,0,6311,0.0263548
160,340461476,gambiae,1005,9195,437,1296,7462,6150,2759,119297,477056,238528,1,0,625,461,187,24,0,0,6280,0.0259454
161,340461476,gambiae,1005,9163,434,1293,7436,6154,2765,118879,475496,237748,1,0,651,468,188,27,0,0,6592,0.0263281
162,340461476,gambiae,1006,9164,440,1297,7427,6139,2709,119076,482848,241424,1,0,645,448,178,18,0,0,6560,0.0277268
163,340461476,gambiae,1006,9155,431,1340,7384,6120,2697,119458,483048,241524,1,0,641,447,182,21,0,0,6428,0.0271721
164,340461476,gambiae,1006,9115,441,1330,7344,6176,2690,119374,484206,242103,1,0,613,441,191,21,0,0,6425,0.0266143
165,340461476,gambiae,1006,9133,440,1334,7359,6117,2743,119431,480330,240165,1,0,662,442,182,20,0,0,6551,0.0265383
166,340461476,gambiae,1006,9051,445,1355,7251,6122,2768,119698,487472,243736,1,0,632,489,201,24,0,0,6312,0.0272771
167,340461476,gambiae,1006,9105,449,1395,7261,6114,2747,119543,464746,232373,1,0,661,438,155,14,0,0,6312,0.0258969
168,340461476,gambiae,1007,9083,457,1401,7225,6119,2679,119416,470130,235065,1,0,641,473,177,13,0,0,6381,0.0271632
169,340461476,gambiae,1007,9088,464,1403,7221,6138,2644,119201,465146,232573,1,0,652,477,156,14,0,0,6306,0.0271457
170,340461476,gambiae,1006,9087,471,1399,7217,6126,2710,119063,460902,230451,1,0,616,423,181,13,0,0,6453,0.0271141
171,340461476,gambiae,1007,9103,469,1424,7210,6094,2720,119279,469840,234920,1,0,633,450,145,22,0,0,6333,0.0280016
172,340461476,gambiae,1007,9050,465,1429,7156,6110,2733,119261,469470,234735,1,0,613,442,203,21,0,0,6382,0.0269581
173,340461476,gambiae,1007,9026,456,1442,7128,6103,2659,119355,467664,233832,1,0,625,461,179,9,0,0,6346,0.0271881
174,340461476,gambiae,1007,9039,472,1448,7119,6131,2658,119502,460676,230338,1,0,636,436,165,22,0,0,6302,0.0271391
175,340461476,gambiae,1007,9057,492,1428,7137,6101,2731,119372,474194,237097,1,0,625,412,180,15,0,0,6367,0.0273598
176,340461476,gambiae,1007,9077,492,1430,7155,6049,2701,119284,483676,241838,1,0,665,449,173,23,0,0,6514,0.026854
177,340461476,gambiae,1007,9092,493,1430,7169,6062,2783,119423,468928,234464,1,0,642,440,162,25,0,0,6556,0.0269354
178,340461476,gambiae,1008,9087,510,1399,7178,6092,2829,119581,469992,234996,1,0,632,444,175,18,0,0,6379,0.0279616
179,340461476,gambiae,1008,9109,505,1402,7202,6118,2721,119572,473248,236624,1,0,679,462,175,20,0,0,6438,0.0271451
180,340461476,gambiae,1008,9154,499,1429,7226,6090,2727,119476,471376,235688,1,0,677,438,181,13,0,0,6394,0.0272077
181,340461476,gambiae,1008,9100,496,1454,7150,6156,2716,119572,470638,235319,1,0,590,435,190,19,0,0,6327,0.0271291
182,340461476,gambiae,1008,9066,491,1479,7096,6258,2692,119701,475104,237552,1,0,629,456,183,24,0,0,6285,0.0268869
183,340461476,gambiae,1008,9103,498,1501,7104,6146,2701,119359,462490,231245,1,0,645,416,166,26,0,0,6560,0.0264574
184,340461476,gambiae,1009,9076,489,1520,7067,6139,2692,119707,488124,244062,1,0,648,462,181,32,0,0,6393,0.0283682
185,340461476,gambiae,1010,9091,487,1523,7081,6164,2767,119729,478096,239048,1,0,622,456,137,14,0,0,6430,0.0261942
186,340461476,gambiae,1010,9102,486,1520,7096,6116,2741,119942,460102,230051,1,0,643,440,180,12,0,0,6044,0.0268984
187,340461476,gambiae,1010,9074,479,1511,7084,6097,2795,119272,473238,236619,1,0,662,478,185,27,0,0,6306,0.0262724
188,340461476,gambiae,1009,9037,496,1486,7055,6160,2809,119339,480140,240070,1,0,614,466,168,17,0,0,6313,0.0266504
189,340461476,gambiae,1009,9063,507,1510,7046,6177,2685,119524,470640,235320,1,0,663,467,156,14,0,0,6279,0.0262965
190,340461476,gambiae,1010,9072,525,1482,7065,6182,2557,119352,466850,233425,1,0,654,446,177,22,0,0,6392,0.0266828
191,340461476,gambiae,1010,9055,526,1510,7019,6125,2643,119518,472164,236082,1,0,622,429,188,22,0,0,6293,0.0273835
192,340461476,gambiae,1010,9051,525,1520,7006,6075,2755,119671,464628,232314,1,0,592,430,146,20,0,0,6307,0.026656
193,340461476,gambiae,1008,9080,530,1551,6999,6024,2796,119399,469098,234549,1,0,661,435,173,24,0,0,6460,0.0271486
194,340461476,gambiae,1008,9054,508,1585,6961,6038,2770,119482,462426,231213,1,0,645,478,175,18,0,0,6333,0.0275422
195,340461476,gambiae,1008,9106,523,1587,6996,6067,2752,119462,468352,234176,1,0,652,417,159,24,0,0,6322,0.0273903
196,340461476,gambiae,1009,9064,521,1589,6954,6108,2707,119496,477020,238510,1,0,608,443,180,27,0,0,6302,0.0269968
197,340461476,gambiae,1009,9013,515,1584,6914,6080,2669,119559,467426,233713,1,0,626,466,191,20,0,0,6391,0.0264224
198,340461476,gambiae,1008,8972,519,1592,6861,6069,2687,119568,484638,242319,1,0,611,445,188,19,0,0,6416,0.0273455
199,340461476,gambiae,1008,9000,541,1581,6878,6035,2724,119607,459488,229744,1,0,667,436,189,14,0,0,6312,0.0264775
200,340461476,gambiae,1008,8963,545,1571,6847,6013,2793,119338,473914,236957,1,0,619,446,187,23,0,0,6536,0.0274741
201,340461476,gambiae,1008,8957,533,1570,6854,6033,2801,119602,464486,232243,1,0,656,456,188,18,0,0,6243,0.0275831
202,340461476,gambiae,1008,9011,517,1589,6905,6069,2814,119440,454590,227295,1,0,652,408,169,21,0,0,6232,0.0268813
203,340461476,gambiae,1008,9027,529,1577,6921,6126,2817,119019,463094,231547,1,0,665,465,171,13,0,0,6529,0.0274181
204,340461476,gambiae,1008,9004,512,1585,6907,6182,2788,119509,457950,228975,1,0,626,452,177,20,0,0,6211,0.0281973
205,340461476,gambiae,1008,9073,522,1595,6956,6174,2727,119301,473312,236656,1,0,670,416,164,21,0,0,6289,0.0271252
206,340461476,gambiae,1008,9077,531,1592,6954,6180,2727,119140,456724,228362,1,0,646,441,178,23,0,0,6423,0.0265744
207,340461476,gambiae,1008,9098,539,1608,6951,6122,2791,119241,464876,232438,1,0,641,421,175,24,0,0,6239,0.0281264
208,340461476,gambiae,1008,9125,544,1643,6938,6109,2790,119126,462516,231258,1,0,670,449,181,13,0,0,6242,0.0268416
209,340461476,gambiae,1008,9110,566,1638,6906,6161,2694,119321,456202,228101,1,0,640,470,161,24,0,0,6216,0.0269915
210,340461476,gambiae,1008,9173,594,1628,6951,6083,2711,118706,461630,230815,1,0,686,438,164,21,0,0,6574,0.0272511
