Time,NodeID,Gender,AgeYears,NumIndividuals,NumInfected
21,4,M,40,91,58
21,4,M,80,94,51
21,4,M,125,77,39
21,4,F,40,84,49
21,4,F,80,90,67
21,4,F,125,76,48
21,3,M,40,90,61
21,3,M,80,79,53
21,3,M,125,87,56
21,3,F,40,74,47
21,3,F,80,75,48
21,3,F,125,98,68
21,2,M,40,75,51
21,2,M,80,82,60
21,2,M,125,88,58
21,2,F,40,87,59
21,2,F,80,83,54
21,2,F,125,79,44
21,1,M,40,76,51
21,1,M,80,88,51
21,1,M,125,83,59
21,1,F,40,91,60
21,1,F,80,88,57
21,1,F,125,65,43
22,4,M,40,92,59
22,4,M,80,95,52
22,4,M,125,76,46
22,4,F,40,83,54
22,4,F,80,90,68
22,4,F,125,77,52
22,3,M,40,90,61
22,3,M,80,79,56
22,3,M,125,86,55
22,3,F,40,74,46
22,3,F,80,75,49
22,3,F,125,97,69
22,2,M,40,75,52
22,2,M,80,82,63
22,2,M,125,88,63
22,2,F,40,86,60
22,2,F,80,83,54
22,2,F,125,77,44
22,1,M,40,75,52
22,1,M,80,87,55
22,1,M,125,85,62
22,1,F,40,93,65
22,1,F,80,88,58
22,1,F,125,67,44
23,4,M,40,92,60
23,4,M,80,96,54
23,4,M,125,79,50
23,4,F,40,82,53
23,4,F,80,90,70
23,4,F,125,77,57
23,3,M,40,90,62
23,3,M,80,77,61
23,3,M,125,85,57
23,3,F,40,73,50
23,3,F,80,75,50
23,3,F,125,96,70
23,2,M,40,75,52
23,2,M,80,83,63
23,2,M,125,88,66
23,2,F,40,88,63
23,2,F,80,83,59
23,2,F,125,78,50
23,1,M,40,75,52
23,1,M,80,87,61
23,1,M,125,83,62
23,1,F,40,93,64
23,1,F,80,88,59
23,1,F,125,67,47
24,4,M,40,92,60
24,4,M,80,95,56
24,4,M,125,79,54
24,4,F,40,83,58
24,4,F,80,89,71
24,4,F,125,76,58
24,3,M,40,91,65
24,3,M,80,78,61
24,3,M,125,85,57
24,3,F,40,73,50
24,3,F,80,75,51
24,3,F,125,96,72
24,2,M,40,74,55
24,2,M,80,83,62
24,2,M,125,88,67
24,2,F,40,87,63
24,2,F,80,84,60
24,2,F,125,79,52
24,1,M,40,75,53
24,1,M,80,87,64
24,1,M,125,83,64
24,1,F,40,93,68
24,1,F,80,88,61
24,1,F,125,67,48
25,4,M,40,91,59
25,4,M,80,94,55
25,4,M,125,78,53
25,4,F,40,82,57
25,4,F,80,90,71
25,4,F,125,75,61
25,3,M,40,91,68
25,3,M,80,78,61
25,3,M,125,86,58
25,3,F,40,74,49
25,3,F,80,73,52
25,3,F,125,97,73
25,2,M,40,75,56
