
Time,NodeID,TRANSITORY_M_Before_20,TRANSITORY_M_Before_30,TRANSITORY_M_Before_40,TRANSITORY_M_Before_50,TRANSITORY_M_After_20,TRANSITORY_M_After_30,TRANSITORY_M_After_40,TRANSITORY_M_After_50,TRANSITORY_F_Before_20,TRANSITORY_F_Before_40,TRANSITORY_F_After_20,TRANSITORY_F_After_40,INFORMAL_M_Before_20,INFORMAL_M_Before_40,INFORMAL_M_After_20,INFORMAL_M_After_40,INFORMAL_F_Before_20,INFORMAL_F_Before_30,INFORMAL_F_Before_40,INFORMAL_F_Before_50,INFORMAL_F_After_20,INFORMAL_F_After_30,INFORMAL_F_After_40,INFORMAL_F_After_50,MARITAL_M_Before_20,MARITAL_M_After_20,MARITAL_F_Before_10,MARITAL_F_Before_20,MARITAL_F_Before_30,MARITAL_F_Before_40,MARITAL_F_Before_50,MARITAL_F_After_10,MARITAL_F_After_20,MARITAL_F_After_30,MARITAL_F_After_40,MARITAL_F_After_50,COMMERCIAL_M_Before_50,COMMERCIAL_M_Before_85,COMMERCIAL_M_After_50,COMMERCIAL_M_After_85,COMMERCIAL_F_Before_50,COMMERCIAL_F_Before_85,COMMERCIAL_F_After_50,COMMERCIAL_F_After_85,TRANSITORY_LOW_M_20,TRANSITORY_LOW_M_30,TRANSITORY_LOW_M_40,TRANSITORY_LOW_M_50,TRANSITORY_LOW_F_20,TRANSITORY_LOW_F_40,TRANSITORY_HIGH_M_20,TRANSITORY_HIGH_M_30,TRANSITORY_HIGH_M_40,TRANSITORY_HIGH_M_50,TRANSITORY_HIGH_F_20,TRANSITORY_HIGH_F_40,INFORMAL_LOW_M_20,INFORMAL_LOW_M_40,INFORMAL_LOW_F_20,INFORMAL_LOW_F_30,INFORMAL_LOW_F_40,INFORMAL_LOW_F_50,INFORMAL_HIGH_M_20,INFORMAL_HIGH_M_40,INFORMAL_HIGH_F_20,INFORMAL_HIGH_F_30,INFORMAL_HIGH_F_40,INFORMAL_HIGH_F_50,MARITAL_LOW_M_20,MARITAL_LOW_F_10,MARITAL_LOW_F_20,MARITAL_LOW_F_30,MARITAL_LOW_F_40,MARITAL_LOW_F_50,MARITAL_HIGH_M_20,MARITAL_HIGH_F_10,MARITAL_HIGH_F_20,MARITAL_HIGH_F_30,MARITAL_HIGH_F_40,MARITAL_HIGH_F_50,COMMERCIAL_LOW_M_50,COMMERCIAL_LOW_M_85,COMMERCIAL_LOW_F_50,COMMERCIAL_LOW_F_85,COMMERCIAL_HIGH_M_50,COMMERCIAL_HIGH_M_85,COMMERCIAL_HIGH_F_50,COMMERCIAL_HIGH_F_85,desired_flow_TRANSITORY_M_20,desired_flow_TRANSITORY_M_30,desired_flow_TRANSITORY_M_40,desired_flow_TRANSITORY_M_50,desired_flow_TRANSITORY_F_20,desired_flow_TRANSITORY_F_40,desired_flow_INFORMAL_M_20,desired_flow_INFORMAL_M_40,desired_flow_INFORMAL_F_20,desired_flow_INFORMAL_F_30,desired_flow_INFORMAL_F_40,desired_flow_INFORMAL_F_50,desired_flow_MARITAL_M_20,desired_flow_MARITAL_F_10,desired_flow_MARITAL_F_20,desired_flow_MARITAL_F_30,desired_flow_MARITAL_F_40,desired_flow_MARITAL_F_50,desired_flow_COMMERCIAL_M_50,desired_flow_COMMERCIAL_M_85,desired_flow_COMMERCIAL_F_50,desired_flow_COMMERCIAL_F_85
10,1,23,20,22,31,4,3,4,0,37,48,0,0,28,19,0,0,15,18,16,12,1,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00599236,0.00599236,0.00599236,0.00599236,0.0102916,0.0102916,0.00599236,0.00599236,0.00599236,0.00599236,0.0102916,0.0102916,0.00624467,0.00624467,0.00268124,0.00268124,0.00268124,0.00268124,0.00624467,0.00624467,0.00268124,0.00268124,0.00268124,0.00268124,9.28144e-05,0,0,0,0,0,9.28144e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.24187,3.24187,3.24187,3.24187,6.48374,6.48374,3.37837,3.37837,1.68918,1.68918,1.68918,1.68918,0.432236,0.129671,0.0864473,0.0432236,0.0432236,0.129671,0,0,0,0
11,1,23,20,22,31,4,3,4,0,37,48,0,0,28,19,0,0,15,18,16,12,1,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00601213,0.00601213,0.00601213,0.00601213,0.0103811,0.0103811,0.00601213,0.00601213,0.00601213,0.00601213,0.0103811,0.0103811,0.00626527,0.00626527,0.00270454,0.00270454,0.00270454,0.00270454,0.00626527,0.00626527,0.00270454,0.00270454,0.00270454,0.00270454,9.28306e-05,0,0,0,0,0,9.28306e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.22851,3.22851,3.22851,3.22851,6.45702,6.45702,3.36445,3.36445,1.68222,1.68222,1.68222,1.68222,0.430456,0.129137,0.0860911,0.0430456,0.0430456,0.129137,0,0,0,0
12,1,23,20,22,31,4,3,4,0,37,48,0,0,28,19,0,0,15,18,16,12,1,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00611376,0.00611376,0.00611376,0.00611376,0.0104241,0.0104241,0.00611376,0.00611376,0.00611376,0.00611376,0.0104241,0.0104241,0.00637119,0.00637119,0.00271576,0.00271576,0.00271576,0.00271576,0.00637119,0.00637119,0.00271576,0.00271576,0.00271576,0.00271576,9.2887e-05,0,0,0,0,0,9.2887e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21584,3.21584,3.21584,3.21584,6.43168,6.43168,3.35124,3.35124,1.67562,1.67562,1.67562,1.67562,0.428766,0.12863,0.0857532,0.0428766,0.0428766,0.12863,0,0,0,0
13,1,24,26,32,17,1,0,0,0,45,54,0,1,22,23,0,1,12,18,11,11,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00616785,0.00616785,0.00616785,0.00616785,0.0105127,0.0105127,0.00616785,0.00616785,0.00616785,0.00616785,0.0105127,0.0105127,0.00642755,0.00642755,0.00273883,0.00273883,0.00273883,0.00273883,0.00642755,0.00642755,0.00273883,0.00273883,0.00273883,0.00273883,9.29651e-05,0,0,0,0,0,9.29651e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.20111,3.20111,3.20111,3.20111,6.40223,6.40223,3.3359,3.3359,1.66795,1.66795,1.66795,1.66795,0.426803,0.128041,0.0853605,0.0426803,0.0426803,0.128041,0,0,0,0
14,1,24,26,32,17,1,0,0,0,45,54,0,1,22,23,0,1,12,18,11,11,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00618849,0.00618849,0.00618849,0.00618849,0.0105883,0.0105883,0.00618849,0.00618849,0.00618849,0.00618849,0.0105883,0.0105883,0.00644906,0.00644906,0.00275853,0.00275853,0.00275853,0.00275853,0.00644906,0.00644906,0.00275853,0.00275853,0.00275853,0.00275853,9.3003e-05,0,0,0,0,0,9.3003e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.18707,3.18707,3.18707,3.18707,6.37414,6.37414,3.32126,3.32126,1.66063,1.66063,1.66063,1.66063,0.424931,0.127479,0.0849861,0.0424931,0.0424931,0.127479,0,0,0,0
15,1,24,26,32,17,1,0,0,0,45,54,0,1,22,23,0,1,12,18,11,11,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00625979,0.00625979,0.00625979,0.00625979,0.0107402,0.0107402,0.00625979,0.00625979,0.00625979,0.00625979,0.0107402,0.0107402,0.00652337,0.00652337,0.00279809,0.00279809,0.00279809,0.00279809,0.00652337,0.00652337,0.00279809,0.00279809,0.00279809,0.00279809,9.29795e-05,0,0,0,0,0,9.29795e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.17372,3.17372,3.17372,3.17372,6.34743,6.34743,3.30735,3.30735,1.65367,1.65367,1.65367,1.65367,0.42315,0.126945,0.08463,0.042315,0.042315,0.126945,0,0,0,0
16,1,24,26,32,17,1,0,0,0,45,54,0,1,22,23,0,1,12,18,11,11,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00627667,0.00627667,0.00627667,0.00627667,0.0108896,0.0108896,0.00627667,0.00627667,0.00627667,0.00627667,0.0108896,0.0108896,0.00654095,0.00654095,0.00283704,0.00283704,0.00283704,0.00283704,0.00654095,0.00654095,0.00283704,0.00283704,0.00283704,0.00283704,9.2985e-05,0,0,0,0,0,9.2985e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.16344,3.16344,3.16344,3.16344,6.32688,6.32688,3.29664,3.29664,1.64832,1.64832,1.64832,1.64832,0.42178,0.126534,0.084356,0.042178,0.042178,0.126534,0,0,0,0
17,1,24,26,32,17,1,0,0,0,45,54,0,1,22,23,0,1,12,18,11,11,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00635374,0.00635374,0.00635374,0.00635374,0.0109998,0.0109998,0.00635374,0.00635374,0.00635374,0.00635374,0.0109998,0.0109998,0.00662127,0.00662127,0.00286575,0.00286575,0.00286575,0.00286575,0.00662127,0.00662127,0.00286575,0.00286575,0.00286575,0.00286575,9.29606e-05,0,0,0,0,0,9.29606e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15145,3.15145,3.15145,3.15145,6.30291,6.30291,3.28415,3.28415,1.64207,1.64207,1.64207,1.64207,0.420182,0.126055,0.0840363,0.0420182,0.0420182,0.126055,0,0,0,0
18,1,24,26,32,17,1,0,0,0,45,54,0,1,22,23,0,1,12,18,11,11,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00640987,0.00640987,0.00640987,0.00640987,0.0110788,0.0110788,0.00640987,0.00640987,0.00640987,0.00640987,0.0110788,0.0110788,0.00667976,0.00667976,0.00288632,0.00288632,0.00288632,0.00288632,0.00667976,0.00667976,0.00288632,0.00288632,0.00288632,0.00288632,9.29972e-05,0,0,0,0,0,9.29972e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.14084,3.14084,3.14084,3.14084,6.28168,6.28168,3.27308,3.27308,1.63654,1.63654,1.63654,1.63654,0.418766,0.12563,0.0837532,0.0418766,0.0418766,0.12563,0,0,0,0
19,1,24,26,32,17,1,0,0,0,45,54,0,1,22,23,0,1,12,18,11,11,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00648784,0.00648784,0.00648784,0.00648784,0.0111883,0.0111883,0.00648784,0.00648784,0.00648784,0.00648784,0.0111883,0.0111883,0.00676101,0.00676101,0.00291486,0.00291486,0.00291486,0.00291486,0.00676101,0.00676101,0.00291486,0.00291486,0.00291486,0.00291486,9.29631e-05,0,0,0,0,0,9.29631e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.12714,3.12714,3.12714,3.12714,6.25428,6.25428,3.25881,3.25881,1.6294,1.6294,1.6294,1.6294,0.41694,0.125082,0.0833879,0.041694,0.041694,0.125082,0,0,0,0
20,1,26,17,17,22,0,0,0,2,43,37,0,0,19,27,0,0,13,22,10,9,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00652064,0.00652064,0.00652064,0.00652064,0.0112319,0.0112319,0.00652064,0.00652064,0.00652064,0.00652064,0.0112319,0.0112319,0.00679519,0.00679519,0.00292622,0.00292622,0.00292622,0.00292622,0.00679519,0.00679519,0.00292622,0.00292622,0.00292622,0.00292622,9.30519e-05,0,0,0,0,0,9.30519e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.11686,3.11686,3.11686,3.11686,6.23373,6.23373,3.2481,3.2481,1.62405,1.62405,1.62405,1.62405,0.41557,0.124671,0.083114,0.041557,0.041557,0.124671,0,0,0,0
21,1,26,17,17,22,0,0,0,2,43,37,0,0,19,27,0,0,13,22,10,9,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00658919,0.00658919,0.00658919,0.00658919,0.0112855,0.0112855,0.00658919,0.00658919,0.00658919,0.00658919,0.0112855,0.0112855,0.00686663,0.00686663,0.00294017,0.00294017,0.00294017,0.00294017,0.00686663,0.00686663,0.00294017,0.00294017,0.00294017,0.00294017,9.31118e-05,0,0,0,0,0,9.31118e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.10351,3.10351,3.10351,3.10351,6.20702,6.20702,3.23418,3.23418,1.61709,1.61709,1.61709,1.61709,0.413789,0.124137,0.0827578,0.0413789,0.0413789,0.124137,0,0,0,0
22,1,26,17,17,22,0,0,0,2,43,37,0,0,19,27,0,0,13,22,10,9,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00663637,0.00663637,0.00663637,0.00663637,0.0113697,0.0113697,0.00663637,0.00663637,0.00663637,0.00663637,0.0113697,0.0113697,0.0069158,0.0069158,0.0029621,0.0029621,0.0029621,0.0029621,0.0069158,0.0069158,0.0029621,0.0029621,0.0029621,0.0029621,9.30973e-05,0,0,0,0,0,9.30973e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.09255,3.09255,3.09255,3.09255,6.1851,6.1851,3.22276,3.22276,1.61138,1.61138,1.61138,1.61138,0.412328,0.123698,0.0824656,0.0412328,0.0412328,0.123698,0,0,0,0
23,1,26,17,17,22,0,0,0,2,43,37,0,0,19,27,0,0,13,22,10,9,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00668235,0.00668235,0.00668235,0.00668235,0.0114946,0.0114946,0.00668235,0.00668235,0.00668235,0.00668235,0.0114946,0.0114946,0.00696371,0.00696371,0.00299466,0.00299466,0.00299466,0.00299466,0.00696371,0.00696371,0.00299466,0.00299466,0.00299466,0.00299466,9.31149e-05,0,0,0,0,0,9.31149e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.08056,3.08056,3.08056,3.08056,6.16113,6.16113,3.21027,3.21027,1.60514,1.60514,1.60514,1.60514,0.41073,0.123219,0.0821459,0.041073,0.041073,0.123219,0,0,0,0
24,1,26,17,17,22,0,0,0,2,43,37,0,0,19,27,0,0,13,22,10,9,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00674111,0.00674111,0.00674111,0.00674111,0.0116846,0.0116846,0.00674111,0.00674111,0.00674111,0.00674111,0.0116846,0.0116846,0.00702495,0.00702495,0.00304414,0.00304414,0.00304414,0.00304414,0.00702495,0.00702495,0.00304414,0.00304414,0.00304414,0.00304414,9.30275e-05,0,0,0,0,0,9.30275e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.06721,3.06721,3.06721,3.06721,6.13441,6.13441,3.19635,3.19635,1.59818,1.59818,1.59818,1.59818,0.408949,0.122685,0.0817898,0.0408949,0.0408949,0.122685,0,0,0,0
25,1,26,17,17,22,0,0,0,2,43,37,0,0,19,27,0,0,13,22,10,9,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00674744,0.00674744,0.00674744,0.00674744,0.0119866,0.0119866,0.00674744,0.00674744,0.00674744,0.00674744,0.0119866,0.0119866,0.00703154,0.00703154,0.00312283,0.00312283,0.00312283,0.00312283,0.00703154,0.00703154,0.00312283,0.00312283,0.00312283,0.00312283,9.28745e-05,0,0,0,0,0,9.28745e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.05659,3.05659,3.05659,3.05659,6.11318,6.11318,3.18529,3.18529,1.59264,1.59264,1.59264,1.59264,0.407533,0.12226,0.0815067,0.0407533,0.0407533,0.12226,0,0,0,0
26,1,26,17,17,22,0,0,0,2,43,37,0,0,19,27,0,0,13,22,10,9,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00690308,0.00690308,0.00690308,0.00690308,0.0120326,0.0120326,0.00690308,0.00690308,0.00690308,0.00690308,0.0120326,0.0120326,0.00719374,0.00719374,0.00313482,0.00313482,0.00313482,0.00313482,0.00719374,0.00719374,0.00313482,0.00313482,0.00313482,0.00313482,9.30512e-05,0,0,0,0,0,9.30512e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.04426,3.04426,3.04426,3.04426,6.08852,6.08852,3.17244,3.17244,1.58622,1.58622,1.58622,1.58622,0.40589,0.121767,0.0811779,0.040589,0.040589,0.121767,0,0,0,0
