Time,NodeID,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor,SillySkeeter_AvailableHabitat,SillySkeeter_EggCrowdingCorrection,NumInfectousBitesGiven,NumInfectousBitesReceived,InfectiousBitesGivenMinusReceived,NumVectorsNone,NumVectorsOnlyOocysts,NumVectorsOnlySporozoites,NumVectorsBothOocystsSporozoites,NumBitesAdults,NumBitesInfected,NumBitesInfectious,NumParasiteCohortsOocysts,NumParasiteCohortsSporozoites,NumOocysts,NumSporozoites,NumInfectiousToAdult,NumInfectiousToInfected,*AAAAAAAAAAAAAAAAAAAAAAT,OtherBarcodes
9,2,999,2566,0,0,2566,3705,0,77694,186600,93300,891,0,0,0,0,0,273,110,0,13768.7,0.057432,0,0,0,2566,0,0,0,891,0,0,0,0,0,0,0,0,0,0
9,3,1003,2691,0,0,2691,3652,0,77822,186000,93000,882,0,0,0,0,0,274,84,0,13640.7,0.0595055,0,0,0,2691,0,0,0,882,0,0,0,0,0,0,0,0,0,0
9,4,1000,2677,0,0,2677,3641,0,77854,182800,91400,865,0,0,0,0,0,305,83,0,13608.7,0.0576907,0,0,0,2677,0,0,0,865,0,0,0,0,0,0,0,0,0,0
10,1,998,2271,0,0,2271,3217,0,84098,153400,76700,733,0,0,0,0,0,268,66,0,13991.5,0.0762582,0,0,0,2271,0,0,0,733,0,0,0,0,0,0,0,0,0,0
10,2,998,2236,0,0,2236,3350,0,83993,147400,73700,694,0,0,0,0,0,270,60,0,14096.5,0.0737874,0,0,0,2236,0,0,0,694,0,0,0,0,0,0,0,0,0,0
10,3,1003,2360,0,0,2360,3302,0,83805,168000,84000,797,0,0,0,0,0,249,82,0,14284.5,0.0733372,0,0,0,2360,0,0,0,797,0,0,0,0,0,0,0,0,0,0
10,4,1001,2354,0,0,2354,3325,0,84125,169800,84900,821,0,0,0,0,0,238,83,0,13964.5,0.074446,0,0,0,2354,0,0,0,821,0,0,0,0,0,0,0,0,0,0
11,1,999,1991,0,0,1991,2927,0,90189,150200,75100,724,0,0,0,0,0,214,66,0,14288.5,0.0912093,0,0,0,1991,0,0,0,724,0,0,0,0,0,0,0,0,0,0
11,2,998,1943,0,0,1943,3045,0,90002,148800,74400,710,0,0,0,0,0,223,69,0,14475.5,0.0956344,0,0,0,1943,0,0,0,710,0,0,0,0,0,0,0,0,0,0
11,3,1003,2094,0,0,2094,2978,0,90297,150600,75300,715,0,0,0,0,0,210,57,0,14180.5,0.0850268,0,0,0,2094,0,0,0,715,0,0,0,0,0,0,0,0,0,0
11,4,1000,2093,0,0,2093,3006,0,90146,157600,78800,734,0,0,0,0,0,195,66,0,14331.5,0.0822409,0,0,0,2093,0,0,0,734,0,0,0,0,0,0,0,0,0,0
12,1,998,1724,0,0,1724,2669,0,95776,122200,61100,577,0,0,0,0,0,191,76,0,14859.3,0.0951299,0,0,0,1724,0,0,0,577,0,0,0,0,0,0,0,0,0,0
12,2,999,1687,0,0,1687,2733,0,95778,116200,58100,564,0,0,0,0,0,199,57,0,14857.3,0.0972816,0,0,0,1687,0,0,0,564,0,0,0,0,0,0,0,0,0,0
12,3,1004,1840,0,0,1840,2702,0,95678,127000,63500,609,0,0,0,0,0,189,65,0,14957.3,0.0941601,0,0,0,1840,0,0,0,609,0,0,0,0,0,0,0,0,0,0
12,4,999,1845,0,0,1845,2717,0,96030,124400,62200,593,0,0,0,0,0,189,59,0,14605.3,0.090936,0,0,0,1845,0,0,0,593,0,0,0,0,0,0,0,0,0,0
13,1,999,1515,0,0,1515,2397,0,101576,103800,51900,490,0,0,0,0,0,160,49,0,14995.3,0.121598,0,0,0,1515,0,0,0,490,0,0,0,0,0,0,0,0,0,0
13,2,999,1477,0,0,1477,2470,0,101384,100400,50200,489,0,0,0,0,0,164,46,0,15187.3,0.12786,0,0,0,1477,0,0,0,489,0,0,0,0,0,0,0,0,0,0
13,3,1004,1613,0,0,1613,2471,0,101519,113400,56700,545,0,0,0,0,0,186,40,0,15052.3,0.117774,0,0,0,1613,0,0,0,545,0,0,0,0,0,0,0,0,0,0
13,4,998,1597,0,0,1597,2446,0,101509,112200,56100,534,0,0,0,0,0,193,56,0,15062.3,0.117406,0,0,0,1597,0,0,0,534,0,0,0,0,0,0,0,0,0,0
14,1,997,1312,0,0,1312,2222,0,106795,100600,50300,472,0,0,0,0,0,158,45,0,15498.3,0.144463,0,0,0,1312,0,0,0,472,0,0,0,0,0,0,0,0,0,0
14,2,999,1282,0,0,1282,2205,0,106735,97600,48800,467,0,0,0,0,0,145,50,0,15558.3,0.151267,0,0,0,1282,0,0,0,467,0,0,0,0,0,0,0,0,0,0
14,3,1003,1409,0,0,1409,2247,0,106953,103200,51600,491,0,0,0,0,0,156,48,0,15340.3,0.132736,0,0,0,1409,0,0,0,491,0,0,0,0,0,0,0,0,0,0
14,4,1001,1418,0,0,1418,2209,0,107098,107200,53600,513,0,0,0,0,0,139,40,0,15195.3,0.134245,0,0,0,1418,0,0,0,513,0,0,0,0,0,0,0,0,0,0
15,1,997,1146,0,0,1146,2005,0,111983,77400,38700,364,0,0,0,0,0,130,35,0,15826.1,0.154059,0,0,0,1146,0,0,0,364,0,0,0,0,0,0,0,0,0,0
