Year, NodeId, Gender, HasHIV, Population, Infected, Newly Infected, On_ART, Died, Died_from_HIV, Tested Past Year or On_ART, Tested Ever, Diagnosed, Newly Tested Positive, Newly Tested Negative,Num_TRANSITORY,Num_INFORMAL,Num_MARITAL,Num_COMMERCIAL,Num_Concordant_TRANSITORY,Num_Concordant_INFORMAL,Num_Concordant_MARITAL,Num_Concordant_COMMERCIAL
1991.73,1,1,0,555,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,104,0
1991.73,1,1,1,207,207,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,28,0
1991.77,1,0,0,617,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,104,0
1991.77,1,0,1,212,212,0,0,1,1,0,0,0,0,0,0,0,59,0,0,0,28,0
1991.77,1,1,0,555,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,104,0
1991.77,1,1,1,207,207,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,28,0
1991.81,1,0,0,617,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,103,0
1991.81,1,0,1,212,212,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,28,0
1991.81,1,1,0,554,0,0,0,1,0,0,0,0,0,0,0,0,134,0,0,0,103,0
1991.81,1,1,1,207,207,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,28,0
1991.85,1,0,0,617,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,104,0
1991.85,1,0,1,212,212,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,28,0
1991.85,1,1,0,554,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,104,0
1991.85,1,1,1,206,206,0,0,1,1,0,0,0,0,0,0,0,60,0,0,0,28,0
1991.89,1,0,0,616,0,0,0,1,0,0,0,0,0,0,0,0,136,0,0,0,104,0
1991.89,1,0,1,212,212,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,28,0
1991.89,1,1,0,553,0,0,0,1,0,0,0,0,0,0,0,0,135,0,0,0,104,0
1991.89,1,1,1,206,206,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,28,0
1991.93,1,0,0,614,0,0,0,1,0,0,0,0,0,0,0,0,138,0,0,0,106,0
1991.93,1,0,1,212,212,1,0,1,1,0,0,0,0,0,0,0,60,0,0,0,30,0
1991.93,1,1,0,552,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,106,0
1991.93,1,1,1,206,206,1,0,1,1,0,0,0,0,0,0,0,62,0,0,0,30,0
1991.97,1,0,0,614,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,106,0
1991.97,1,0,1,211,211,0,0,1,1,0,0,0,0,0,0,0,61,0,0,0,30,0
1991.97,1,1,0,552,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,106,0
1991.97,1,1,1,206,206,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,30,0
