Time,NodeID,Species,MicrosporidiaStrain,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,MicrosporidiaModifier
15,340461476,gambiae,NoMicrosporidia,1129,0,0,1129,2014,0,0,0,1.44792
16,340461476,arabiensis,NoMicrosporidia,1002,0,0,1002,1828,17792,238989,69400,1.375
16,340461476,arabiensis,Strain_A,0,0,0,0,0,0,0,0,1.375
16,340461476,funestus,NoMicrosporidia,1050,0,0,1050,1838,0,0,0,1.375
16,340461476,gambiae,NoMicrosporidia,985,0,0,985,1824,0,0,0,1.375
17,340461476,arabiensis,NoMicrosporidia,890,0,0,890,1672,22753,244756,66200,1.525
17,340461476,arabiensis,Strain_A,0,0,0,0,0,0,0,0,1.525
17,340461476,funestus,NoMicrosporidia,909,0,0,909,1690,0,0,0,1.525
17,340461476,gambiae,NoMicrosporidia,853,0,0,853,1658,0,0,0,1.525
18,340461476,arabiensis,NoMicrosporidia,778,0,0,778,1505,27180,250103,55000,1.48889
18,340461476,arabiensis,Strain_A,0,0,0,0,0,0,0,0,1.48889
18,340461476,funestus,NoMicrosporidia,802,0,0,802,1530,0,0,0,1.48889
18,340461476,gambiae,NoMicrosporidia,748,0,0,748,1477,0,0,0,1.48889
19,340461476,arabiensis,NoMicrosporidia,5049,0,0,5049,5818,22322,255466,47200,1.46458
19,340461476,arabiensis,Strain_A,0,0,0,0,0,0,0,0,1.46458
19,340461476,funestus,NoMicrosporidia,702,0,0,702,1378,0,0,0,1.46458
19,340461476,gambiae,NoMicrosporidia,653,0,0,653,1340,0,0,0,1.46458
20,340461476,arabiensis,NoMicrosporidia,6104,0,0,6104,7207,21674,212410,44800,1.41667
20,340461476,arabiensis,Strain_A,0,0,0,0,0,2980,89381,0,1.41667
20,340461476,funestus,NoMicrosporidia,612,0,0,612,1270,0,0,0,1.41667
20,340461476,gambiae,NoMicrosporidia,576,0,0,576,1205,0,0,0,1.41667
21,340461476,arabiensis,NoMicrosporidia,7565,0,0,7565,8758,19436,146031,37600,1.44583
21,340461476,arabiensis,Strain_A,0,0,0,0,0,6546,112535,0,1.44583
21,340461476,funestus,NoMicrosporidia,521,0,0,521,1152,0,0,0,1.44583
21,340461476,gambiae,NoMicrosporidia,501,0,0,501,1087,0,0,0,1.44583
22,340461476,arabiensis,NoMicrosporidia,8912,0,0,8912,10097,16409,136979,30600,1.48958
22,340461476,arabiensis,Strain_A,0,0,0,0,0,10627,115889,0,1.48958
22,340461476,funestus,NoMicrosporidia,454,0,0,454,1046,0,0,0,1.48958
22,340461476,gambiae,NoMicrosporidia,425,0,0,425,986,0,0,0,1.48958
23,340461476,arabiensis,NoMicrosporidia,9923,0,0,9923,11328,13124,125020,561000,1.45625
23,340461476,arabiensis,Strain_A,0,0,0,0,0,14630,124574,0,1.45625
23,340461476,funestus,NoMicrosporidia,396,0,0,396,940,0,0,0,1.45625
23,340461476,gambiae,NoMicrosporidia,386,0,0,386,905,0,0,0,1.45625
24,340461476,arabiensis,NoMicrosporidia,10337,0,2,10335,12057,10264,146206,268400,1.45417
24,340461476,arabiensis,Strain_A,1088,0,0,1088,999,16796,130304,0,1.45417
24,340461476,funestus,NoMicrosporidia,343,0,0,343,862,0,0,0,1.45417
24,340461476,gambiae,NoMicrosporidia,353,0,0,353,825,0,0,0,1.45417
25,340461476,arabiensis,NoMicrosporidia,10394,0,6,10388,11869,8030,137763,296800,1.50833
25,340461476,arabiensis,Strain_A,2406,0,1,2405,2606,18470,146685,0,1.50833
25,340461476,funestus,NoMicrosporidia,304,0,0,304,784,0,0,0,1.50833
25,340461476,gambiae,NoMicrosporidia,316,0,0,316,746,0,0,0,1.50833
26,340461476,arabiensis,NoMicrosporidia,9886,0,37,9849,11273,6295,128310,653400,1.47917
26,340461476,arabiensis,Strain_A,3846,0,11,3835,4533,19908,151894,0,1.47917
26,340461476,funestus,NoMicrosporidia,267,0,0,267,712,0,0,0,1.47917
26,340461476,gambiae,NoMicrosporidia,278,0,2,276,681,0,0,0,1.47917
27,340461476,arabiensis,NoMicrosporidia,9351,0,100,9251,10435,4953,131018,451320,1.35833
27,340461476,arabiensis,Strain_A,5176,0,41,5135,6309,21229,150564,0,1.35833
27,340461476,funestus,NoMicrosporidia,235,0,0,235,637,0,0,0,1.35833
27,340461476,gambiae,NoMicrosporidia,239,0,3,236,621,0,0,0,1.35833
28,340461476,arabiensis,NoMicrosporidia,8697,0,298,8399,9665,3859,133112,458626,1.47708
28,340461476,arabiensis,Strain_A,6611,0,161,6450,8054,22126,158387,85054,1.47708
28,340461476,funestus,NoMicrosporidia,206,0,11,195,575,0,0,0,1.47708
28,340461476,gambiae,NoMicrosporidia,208,0,8,200,562,0,0,0,1.47708
29,340461476,arabiensis,NoMicrosporidia,7957,0,677,7280,8692,2974,122906,682373,1.44167
29,340461476,arabiensis,Strain_A,7857,0,306,7551,9863,25945,164778,120147,1.44167
29,340461476,funestus,NoMicrosporidia,176,0,13,163,525,0,0,0,1.44167
29,340461476,gambiae,NoMicrosporidia,178,0,14,164,509,0,0,0,1.44167
30,340461476,arabiensis,NoMicrosporidia,7255,0,948,6307,7698,2541,120951,477496,1.45833
30,340461476,arabiensis,Strain_A,9072,0,501,8571,11559,27656,169415,140304,1.45833
30,340461476,funestus,NoMicrosporidia,151,0,16,135,478,0,0,0,1.45833
30,340461476,gambiae,NoMicrosporidia,149,0,17,132,461,0,0,0,1.45833
31,340461476,arabiensis,NoMicrosporidia,6604,0,1141,5463,6890,2069,115003,450654,1.5375
31,340461476,arabiensis,Strain_A,10150,0,711,9439,13134,28970,180477,213226,1.5375
31,340461476,funestus,NoMicrosporidia,131,0,14,117,427,0,0,0,1.5375
31,340461476,gambiae,NoMicrosporidia,130,0,26,104,422,0,0,0,1.5375
32,340461476,arabiensis,NoMicrosporidia,5854,0,1338,4516,6078,1716,120734,577677,1.52708
32,340461476,arabiensis,Strain_A,11036,0,897,10139,14517,30275,196211,245563,1.52708
32,340461476,funestus,NoMicrosporidia,114,0,15,99,387,0,0,0,1.52708
32,340461476,gambiae,NoMicrosporidia,114,0,35,79,371,0,0,0,1.52708
33,340461476,arabiensis,NoMicrosporidia,5271,0,1390,3881,5302,1468,127118,436998,1.53542
33,340461476,arabiensis,Strain_A,12944,0,1076,11868,16838,29475,213231,270362,1.53542
33,340461476,funestus,NoMicrosporidia,98,0,18,80,342,0,0,0,1.53542
33,340461476,gambiae,NoMicrosporidia,108,0,34,74,346,0,0,0,1.53542
34,340461476,arabiensis,NoMicrosporidia,4737,1,1405,3331,4595,1199,125758,429865,1.46458
34,340461476,arabiensis,Strain_A,14104,0,1379,12725,18451,21105,240736,319655,1.46458
34,340461476,funestus,NoMicrosporidia,87,0,24,63,310,0,0,0,1.46458
34,340461476,gambiae,NoMicrosporidia,98,0,33,65,313,0,0,0,1.46458
35,340461476,arabiensis,NoMicrosporidia,4179,2,1384,2793,4023,771,118501,491608,1.4875
35,340461476,arabiensis,Strain_A,15139,1,1577,13561,19775,22358,257511,345552,1.4875
35,340461476,funestus,NoMicrosporidia,77,0,24,53,284,0,0,0,1.4875
35,340461476,gambiae,NoMicrosporidia,84,0,26,58,288,0,0,0,1.4875
36,340461476,arabiensis,NoMicrosporidia,3707,11,1349,2347,3498,742,119742,402978,1.44792
36,340461476,arabiensis,Strain_A,16152,5,1776,14371,20932,21948,271852,356502,1.44792
36,340461476,funestus,NoMicrosporidia,64,0,23,41,256,0,0,0,1.44792
36,340461476,gambiae,NoMicrosporidia,76,1,24,51,262,0,0,0,1.44792
37,340461476,arabiensis,NoMicrosporidia,3323,27,1268,2028,3032,681,116180,396643,1.57083
37,340461476,arabiensis,Strain_A,16946,12,1970,14964,22149,28384,289085,493037,1.57083
37,340461476,funestus,NoMicrosporidia,54,0,21,33,227,0,0,0,1.57083
37,340461476,gambiae,NoMicrosporidia,66,1,23,42,243,0,0,0,1.57083
38,340461476,arabiensis,NoMicrosporidia,2909,76,1183,1650,2659,819,108082,424403,1.59583
38,340461476,arabiensis,Strain_A,14767,38,2146,12583,20188,34620,313099,495277,1.59583
38,340461476,funestus,NoMicrosporidia,44,3,17,24,207,0,0,0,1.59583
38,340461476,gambiae,NoMicrosporidia,59,1,22,36,221,0,0,0,1.59583
39,340461476,arabiensis,NoMicrosporidia,2525,183,978,1364,2386,980,102662,361135,1.57083
39,340461476,arabiensis,Strain_A,15989,77,1871,14041,21230,33065,328955,491465,1.57083
39,340461476,funestus,NoMicrosporidia,41,4,15,22,194,0,0,0,1.57083
39,340461476,gambiae,NoMicrosporidia,47,3,16,28,202,0,0,0,1.57083
40,340461476,arabiensis,NoMicrosporidia,2260,256,815,1189,2109,942,98507,385430,1.49375
40,340461476,arabiensis,Strain_A,16396,139,1677,14580,21922,34357,343336,554690,1.49375
40,340461476,funestus,NoMicrosporidia,33,2,17,14,176,0,0,0,1.49375
40,340461476,gambiae,NoMicrosporidia,42,4,18,20,183,0,0,0,1.49375
41,340461476,arabiensis,NoMicrosporidia,1962,292,699,971,1905,991,93275,365410,1.65625
41,340461476,arabiensis,Strain_A,19067,193,1765,17109,24761,31529,362502,595030,1.65625
41,340461476,funestus,NoMicrosporidia,30,2,16,12,160,0,0,0,1.65625
41,340461476,gambiae,NoMicrosporidia,36,5,15,16,170,0,0,0,1.65625
42,340461476,arabiensis,NoMicrosporidia,1804,351,578,875,1680,885,87576,253222,1.52222
42,340461476,arabiensis,Strain_A,19703,245,2132,17326,25599,29273,375426,328778,1.52222
42,340461476,funestus,NoMicrosporidia,27,2,13,12,148,0,0,0,1.52222
42,340461476,gambiae,NoMicrosporidia,32,7,13,12,156,0,0,0,1.52222
43,340461476,arabiensis,NoMicrosporidia,1618,349,495,774,1501,831,88043,358114,1.54792
43,340461476,arabiensis,Strain_A,19705,280,2279,17146,25783,31035,382500,637646,1.54792
43,340461476,funestus,NoMicrosporidia,24,3,11,10,132,0,0,0,1.54792
43,340461476,gambiae,NoMicrosporidia,24,4,12,8,135,0,0,0,1.54792
44,340461476,arabiensis,NoMicrosporidia,1419,328,434,657,1350,824,84145,354383,1.55
44,340461476,arabiensis,Strain_A,20229,354,2311,17564,26682,31094,397079,595177,1.55
44,340461476,funestus,NoMicrosporidia,21,4,8,9,119,0,0,0,1.55
44,340461476,gambiae,NoMicrosporidia,23,6,10,7,123,0,0,0,1.55
45,340461476,arabiensis,NoMicrosporidia,1301,336,383,582,1237,723,81647,345474,1.53333
45,340461476,arabiensis,Strain_A,21083,424,2416,18243,27537,33546,402334,630046,1.53333
45,340461476,funestus,NoMicrosporidia,19,5,7,7,110,0,0,0,1.53333
45,340461476,gambiae,NoMicrosporidia,21,4,10,7,119,0,0,0,1.53333
46,340461476,arabiensis,NoMicrosporidia,1176,340,305,531,1136,740,81339,384978,1.44583
46,340461476,arabiensis,Strain_A,20653,471,2512,17670,27292,40953,406807,652222,1.44583
46,340461476,funestus,NoMicrosporidia,18,6,6,6,95,0,0,0,1.44583
46,340461476,gambiae,NoMicrosporidia,21,4,11,6,111,0,0,0,1.44583
47,340461476,arabiensis,NoMicrosporidia,1048,318,278,452,1048,822,83186,344911,1.49375
47,340461476,arabiensis,Strain_A,21389,516,2426,18447,27988,43736,416818,598009,1.49375
47,340461476,funestus,NoMicrosporidia,16,6,5,5,90,0,0,0,1.49375
47,340461476,gambiae,NoMicrosporidia,18,5,8,5,101,0,0,0,1.49375
48,340461476,arabiensis,NoMicrosporidia,938,300,229,409,977,825,82628,356572,1.48333
48,340461476,arabiensis,Strain_A,21713,542,2536,18635,28349,46558,422865,663628,1.48333
48,340461476,funestus,NoMicrosporidia,14,6,4,4,82,0,0,0,1.48333
48,340461476,gambiae,NoMicrosporidia,16,5,6,5,93,0,0,0,1.48333
49,340461476,arabiensis,NoMicrosporidia,835,285,206,344,879,818,81477,378659,1.47917
49,340461476,arabiensis,Strain_A,23048,490,2696,19862,29724,47378,430676,720781,1.47917
49,340461476,funestus,NoMicrosporidia,11,5,2,4,69,0,0,0,1.47917
49,340461476,gambiae,NoMicrosporidia,15,5,5,5,83,0,0,0,1.47917
50,340461476,arabiensis,NoMicrosporidia,770,255,195,320,830,778,80976,344389,1.4125
50,340461476,arabiensis,Strain_A,25238,456,2889,21893,31996,47088,434281,579291,1.4125
50,340461476,funestus,NoMicrosporidia,11,6,1,4,62,0,0,0,1.4125
50,340461476,gambiae,NoMicrosporidia,13,7,2,4,77,0,0,0,1.4125
51,340461476,arabiensis,NoMicrosporidia,712,244,167,301,770,765,84525,399092,1.4
51,340461476,arabiensis,Strain_A,26461,511,3121,22829,33456,47961,438216,700188,1.4
51,340461476,funestus,NoMicrosporidia,10,5,1,4,55,0,0,0,1.4
51,340461476,gambiae,NoMicrosporidia,12,6,2,4,67,0,0,0,1.4
52,340461476,arabiensis,NoMicrosporidia,668,211,173,284,710,764,86497,425709,1.32917
52,340461476,arabiensis,Strain_A,27472,436,3286,23750,34703,49811,441088,677611,1.32917
52,340461476,funestus,NoMicrosporidia,10,5,1,4,50,0,0,0,1.32917
52,340461476,gambiae,NoMicrosporidia,9,4,1,4,61,0,0,0,1.32917
53,340461476,arabiensis,NoMicrosporidia,618,198,150,270,649,745,89096,382038,1.45
53,340461476,arabiensis,Strain_A,28349,527,3255,24567,35872,50901,447586,729522,1.45
53,340461476,funestus,NoMicrosporidia,8,3,1,4,42,0,0,0,1.45
53,340461476,gambiae,NoMicrosporidia,7,4,0,3,55,0,0,0,1.45
54,340461476,arabiensis,NoMicrosporidia,580,181,133,266,624,668,87224,477168,1.4
54,340461476,arabiensis,Strain_A,29596,546,3267,25783,37318,51464,451577,873472,1.4
54,340461476,funestus,NoMicrosporidia,7,3,1,3,37,0,0,0,1.4
54,340461476,gambiae,NoMicrosporidia,7,4,0,3,48,0,0,0,1.4
55,340461476,arabiensis,NoMicrosporidia,546,167,110,269,594,673,88697,491327,1.30833
55,340461476,arabiensis,Strain_A,30507,589,3163,26755,38700,51985,454424,785433,1.30833
55,340461476,funestus,NoMicrosporidia,5,1,1,3,32,0,0,0,1.30833
55,340461476,gambiae,NoMicrosporidia,6,4,0,2,43,0,0,0,1.30833
56,340461476,arabiensis,NoMicrosporidia,495,153,98,244,583,675,90262,403773,1.49375
56,340461476,arabiensis,Strain_A,31659,606,3003,28050,40183,52303,460657,852667,1.49375
56,340461476,funestus,NoMicrosporidia,3,1,1,1,30,0,0,0,1.49375
56,340461476,gambiae,NoMicrosporidia,5,4,0,1,39,0,0,0,1.49375
57,340461476,arabiensis,NoMicrosporidia,442,124,83,235,544,715,87300,552691,1.30625
57,340461476,arabiensis,Strain_A,32372,643,2796,28933,41456,51581,463718,893309,1.30625
57,340461476,funestus,NoMicrosporidia,3,2,0,1,28,0,0,0,1.30625
57,340461476,gambiae,NoMicrosporidia,5,4,1,0,37,0,0,0,1.30625
58,340461476,arabiensis,NoMicrosporidia,421,118,66,237,516,730,91895,556469,1.28333
58,340461476,arabiensis,Strain_A,33248,638,2530,30080,42613,49146,467074,876091,1.28333
58,340461476,funestus,NoMicrosporidia,3,2,0,1,26,0,0,0,1.28333
58,340461476,gambiae,NoMicrosporidia,5,4,1,0,33,0,0,0,1.28333
59,340461476,arabiensis,NoMicrosporidia,408,112,56,240,503,701,92759,447535,1.48958
59,340461476,arabiensis,Strain_A,33790,648,2289,30853,43460,51040,471566,959985,1.48958
59,340461476,funestus,NoMicrosporidia,2,1,0,1,25,0,0,0,1.48958
59,340461476,gambiae,NoMicrosporidia,5,4,1,0,30,0,0,0,1.48958
60,340461476,arabiensis,NoMicrosporidia,392,106,44,242,483,718,86702,543562,1.40833
60,340461476,arabiensis,Strain_A,34672,663,1996,32013,44580,47862,475661,1050638,1.40833
60,340461476,funestus,NoMicrosporidia,2,1,0,1,22,0,0,0,1.40833
60,340461476,gambiae,NoMicrosporidia,5,4,1,0,26,0,0,0,1.40833
61,340461476,arabiensis,NoMicrosporidia,365,101,36,228,472,504,84610,528591,1.41875
61,340461476,arabiensis,Strain_A,35027,701,1711,32615,45054,39286,484413,1033769,1.41875
61,340461476,funestus,NoMicrosporidia,2,1,0,1,19,0,0,0,1.41875
61,340461476,gambiae,NoMicrosporidia,4,4,0,0,26,0,0,0,1.41875
62,340461476,arabiensis,NoMicrosporidia,344,91,32,221,475,474,79244,494125,1.4875
62,340461476,arabiensis,Strain_A,34936,788,1360,32788,44988,42326,480349,1071355,1.4875
62,340461476,funestus,NoMicrosporidia,2,1,0,1,19,0,0,0,1.4875
62,340461476,gambiae,NoMicrosporidia,3,3,0,0,20,0,0,0,1.4875
63,340461476,arabiensis,NoMicrosporidia,327,82,21,224,474,429,77656,578070,1.4
63,340461476,arabiensis,Strain_A,35938,798,1112,34028,46338,41933,480092,1107610,1.4
63,340461476,funestus,NoMicrosporidia,2,1,0,1,16,0,0,0,1.4
63,340461476,gambiae,NoMicrosporidia,2,2,0,0,18,0,0,0,1.4
64,340461476,arabiensis,NoMicrosporidia,312,76,14,222,451,421,78042,522944,1.50625
64,340461476,arabiensis,Strain_A,35268,792,896,33580,46055,45865,480648,1183336,1.50625
64,340461476,funestus,NoMicrosporidia,2,1,0,1,14,0,0,0,1.50625
64,340461476,gambiae,NoMicrosporidia,2,2,0,0,14,0,0,0,1.50625
65,340461476,arabiensis,NoMicrosporidia,273,66,12,195,381,536,76919,586326,1.35
65,340461476,arabiensis,Strain_A,32700,787,701,31212,43450,54935,477392,1036474,1.35
65,340461476,funestus,NoMicrosporidia,2,1,0,1,10,0,0,0,1.35
65,340461476,gambiae,NoMicrosporidia,2,2,0,0,12,0,0,0,1.35
66,340461476,arabiensis,NoMicrosporidia,265,54,10,201,388,550,81288,576739,1.38333
66,340461476,arabiensis,Strain_A,33716,773,541,32402,44442,52691,479912,1085341,1.38333
66,340461476,funestus,NoMicrosporidia,2,1,0,1,10,0,0,0,1.38333
66,340461476,gambiae,NoMicrosporidia,2,2,0,0,11,0,0,0,1.38333
67,340461476,arabiensis,NoMicrosporidia,248,47,11,190,366,568,81221,643963,1.35833
67,340461476,arabiensis,Strain_A,34165,732,443,32990,45133,54335,477045,1168597,1.35833
67,340461476,funestus,NoMicrosporidia,2,1,0,1,8,0,0,0,1.35833
67,340461476,gambiae,NoMicrosporidia,2,2,0,0,9,0,0,0,1.35833
68,340461476,arabiensis,NoMicrosporidia,231,37,10,184,378,580,82153,522445,1.4375
68,340461476,arabiensis,Strain_A,35280,708,385,34187,46167,56502,475150,1066355,1.4375
68,340461476,funestus,NoMicrosporidia,2,1,0,1,7,0,0,0,1.4375
68,340461476,gambiae,NoMicrosporidia,1,1,0,0,7,0,0,0,1.4375
69,340461476,arabiensis,NoMicrosporidia,221,37,8,176,375,547,82567,487411,1.325
69,340461476,arabiensis,Strain_A,36645,630,491,35524,47583,52225,478732,840109,1.325
69,340461476,funestus,NoMicrosporidia,2,1,0,1,6,0,0,0,1.325
69,340461476,gambiae,NoMicrosporidia,1,1,0,0,7,0,0,0,1.325
70,340461476,arabiensis,NoMicrosporidia,219,34,11,174,374,539,85231,704174,1.2875
70,340461476,arabiensis,Strain_A,36264,582,783,34899,47580,54721,473731,1147346,1.2875
70,340461476,funestus,NoMicrosporidia,1,0,0,1,6,0,0,0,1.2875
70,340461476,gambiae,NoMicrosporidia,1,1,0,0,6,0,0,0,1.2875
71,340461476,arabiensis,NoMicrosporidia,209,31,17,161,371,595,88153,572384,1.4
71,340461476,arabiensis,Strain_A,37143,538,1158,35447,48575,55467,474985,1106336,1.4
71,340461476,funestus,NoMicrosporidia,1,0,0,1,6,0,0,0,1.4
71,340461476,gambiae,NoMicrosporidia,1,1,0,0,6,0,0,0,1.4
72,340461476,arabiensis,NoMicrosporidia,217,28,22,167,353,574,86161,534357,1.37708
72,340461476,arabiensis,Strain_A,38416,492,1825,36099,50029,52707,477012,1003243,1.37708
72,340461476,funestus,NoMicrosporidia,0,0,0,0,6,0,0,0,1.37708
72,340461476,gambiae,NoMicrosporidia,1,1,0,0,6,0,0,0,1.37708
73,340461476,arabiensis,NoMicrosporidia,206,27,24,155,349,600,85171,672268,1.38958
73,340461476,arabiensis,Strain_A,37541,430,2672,34439,49612,55557,475804,1289292,1.38958
73,340461476,funestus,NoMicrosporidia,0,0,0,0,5,0,0,0,1.38958
73,340461476,gambiae,NoMicrosporidia,0,0,0,0,5,0,0,0,1.38958
74,340461476,arabiensis,NoMicrosporidia,202,21,36,145,344,614,83662,510034,1.49583
74,340461476,arabiensis,Strain_A,38333,381,3367,34585,50371,53548,480796,1146086,1.49583
74,340461476,funestus,NoMicrosporidia,0,0,0,0,4,0,0,0,1.49583
74,340461476,gambiae,NoMicrosporidia,0,0,0,0,3,0,0,0,1.49583
75,340461476,arabiensis,NoMicrosporidia,206,19,41,146,352,527,81113,637351,1.29167
75,340461476,arabiensis,Strain_A,39010,334,4418,34258,51223,52094,477593,1049849,1.29167
75,340461476,funestus,NoMicrosporidia,0,0,0,0,4,0,0,0,1.29167
75,340461476,gambiae,NoMicrosporidia,0,0,0,0,2,0,0,0,1.29167
76,340461476,arabiensis,NoMicrosporidia,195,18,50,127,352,532,87308,806425,1.23125
76,340461476,arabiensis,Strain_A,38733,291,5686,32756,51362,51477,475570,1210175,1.23125
76,340461476,funestus,NoMicrosporidia,0,0,0,0,2,0,0,0,1.23125
76,340461476,gambiae,NoMicrosporidia,0,0,0,0,2,0,0,0,1.23125
77,340461476,arabiensis,NoMicrosporidia,194,15,55,124,360,524,91426,571144,1.34167
77,340461476,arabiensis,Strain_A,39417,247,6662,32508,51974,49172,478173,1013856,1.34167
77,340461476,funestus,NoMicrosporidia,0,0,0,0,2,0,0,0,1.34167
77,340461476,gambiae,NoMicrosporidia,0,0,0,0,2,0,0,0,1.34167
78,340461476,arabiensis,NoMicrosporidia,189,13,62,114,362,474,87506,539623,1.49583
78,340461476,arabiensis,Strain_A,39216,223,7882,31111,51749,50421,479509,1222857,1.49583
78,340461476,funestus,NoMicrosporidia,0,0,0,0,2,0,0,0,1.49583
