Year,Node_ID,Event_Name,Individual_ID,Age,Gender,Infectiousness
2000.33,1,PreDebut,15911,4288.75,M,0
2000.33,1,PostDebut,250,14607.1,M,0
2000.33,1,PostDebut,11372,12075.4,F,0
2000.33,1,PostDebut,12747,9733.33,F,0
2000.33,1,PreDebut,16616,3132.92,M,0
2000.33,1,PostDebut,254,16958.7,F,0
2000.33,1,PreDebut,17004,2463.75,M,0
2000.33,1,PostDebut,14755,6296.24,M,0
2000.33,1,PostDebut,14013,7482.49,M,0
2000.33,1,PreDebut,17530,1551.25,M,0
2000.33,1,PreDebut,15344,5231.67,M,0
2000.33,1,PostDebut,11027,12683.8,M,0
2000.33,1,PreDebut,16204,3802.09,F,0
2000.33,1,PreDebut,16919,2615.83,M,0
2000.33,1,PostDebut,11161,12410,F,0
2000.33,1,PostDebut,10408,13778.8,F,0
2000.33,1,PostDebut,10014,14508.8,F,0
2000.33,1,PostDebut,266,16756,F,0
2000.33,1,PostDebut,13430,8516.65,M,0
2000.33,1,PostDebut,14990,5870.41,M,0
2000.33,1,PostDebut,269,19070.2,F,0
2000.33,1,PostDebut,270,18465.8,F,0
2000.33,1,PostDebut,15523,4927.5,M,0
2000.33,1,PostDebut,272,18621.1,F,0
2000.33,1,PostDebut,13879,7725.82,M,0
2000.33,1,PostDebut,11764,11406.3,M,0
2000.33,1,PostDebut,14625,6509.16,M,0
2000.33,1,PreDebut,15840,4410.42,F,0
2000.33,1,PostDebut,13820,7847.48,M,0
2000.33,1,PostDebut,278,16782.2,F,0
2000.33,1,PostDebut,279,14780.3,F,0
2000.33,1,PostDebut,11305,12197.1,M,0
2000.33,1,PreDebut,15401,5140.42,M,0
2000.33,1,PreDebut,17117,2250.83,M,0
2000.33,1,PostDebut,12375,10341.7,F,0
2000.33,1,PreDebut,17062,2342.08,M,0
2000.33,1,PreDebut,17137,2220.42,F,0
2000.33,1,PostDebut,286,19734.3,F,0
2000.33,1,PreDebut,15176,5535.83,F,0
2000.33,1,PostDebut,288,18206.8,M,0
2000.33,1,PreDebut,16791,2828.75,F,0
2000.33,1,PostDebut,10657,13322.5,M,0
2000.33,1,PostDebut,11008,12714.2,M,0
2000.33,1,PreDebut,16984,2494.17,M,0
2000.33,1,PostDebut,11988,11010.8,M,0
2000.33,1,PostDebut,13386,8577.49,M,0
2000.33,1,PostDebut,11325,12166.7,F,0
2000.33,1,PreDebut,16133,3923.75,F,0
2000.33,1,PostDebut,297,19791.2,M,0
2000.33,1,PostDebut,11413,12014.6,M,0
2000.33,1,PreDebut,15386,5170.83,F,0
2000.33,1,PostDebut,15073,5718.33,F,0
2000.33,1,PreDebut,15175,5535.83,M,0
2000.33,1,PostDebut,302,18493.8,M,0
2000.33,1,PostDebut,15104,5657.5,F,0
2000.33,1,PostDebut,11078,12562.1,M,0
2000.33,1,PostDebut,305,15799.5,M,0
2000.33,1,PostDebut,306,17975.8,F,0
2000.33,1,PostDebut,11633,11649.6,F,0
2000.33,1,PostDebut,13835,7817.07,M,0
2000.33,1,PostDebut,309,16628.8,F,0
2000.33,1,PreDebut,15400,5140.42,F,0
2000.33,1,PreDebut,16253,3741.25,F,0
2000.33,1,PostDebut,10185,14235,M,0
2000.33,1,PreDebut,18029,730,M,0
2000.33,1,PreDebut,16058,4045.42,F,0
2000.33,1,PostDebut,315,19806,F,0
2000.33,1,PreDebut,16559,3224.17,M,0
2000.33,1,PreDebut,16111,3954.17,F,0
2000.33,1,PostDebut,318,18533.4,F,0
2000.33,1,PreDebut,15563,4866.67,M,0
2000.33,1,PostDebut,320,14771.8,M,0
2000.33,1,PostDebut,321,17481.8,M,0
2000.33,1,PostDebut,11834,11284.6,F,0
2000.33,1,PostDebut,10123,14326.3,F,0
2000.33,1,PostDebut,13248,8820.82,M,0
2000.33,1,PostDebut,10682,13292.1,M,0
2000.33,1,PreDebut,15142,5596.66,M,0
2000.33,1,PostDebut,11234,12288.4,F,0
2000.33,1,PostDebut,11209,12349.2,M,0
2000.33,1,PostDebut,329,15509.6,M,0
2000.33,1,PostDebut,11867,11223.8,F,0
2000.33,1,PostDebut,331,19525.5,F,0
2000.33,1,PreDebut,17215,2098.75,F,0
2000.33,1,PostDebut,13410,8547.07,M,0
2000.33,1,PreDebut,18298,304.167,F,0
2000.33,1,PostDebut,12592,9976.67,M,0
2000.33,1,PostDebut,12226,10585,M,0
