Rel_ID,Node_ID,Rel_start_time,Rel_scheduled_end_time,Rel_actual_end_time,Rel_type (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),Is_rel_outside_PFA,male_ID,female_ID,male_age,female_age,num_total_coital_acts,Termination_Reason
94,3,1,622.461,24,0,F,1272,872,21.6281,17.5383,8,SELF_MIGRATING
205,2,3,23.4764,24,0,F,133,1037,25.0968,14.5427,11,BROKEUP
126,2,1,3109.17,24,2,F,679,803,47.0948,40.1902,10,PARTNER_MIGRATING
109,2,1,49.7801,24,0,F,703,991,22.4672,24.474,8,SELF_MIGRATING
291,2,4,1137.56,24,1,F,1359,595,26.9041,17.4476,8,PARTNER_MIGRATING
526,2,17,284.658,24,0,F,1359,1187,26.9041,26.1236,1,PARTNER_MIGRATING
111,2,1,992.2,24,0,F,831,991,30.7506,24.474,3,SELF_MIGRATING
265,4,4,916.382,25,0,F,1369,345,33.646,32.4273,5,SELF_MIGRATING
44,2,0,870.834,25,1,F,411,1315,28.6164,23.2593,7,SELF_MIGRATING
173,2,2,263.768,25,0,F,935,811,30.4818,31.1169,2,SELF_MIGRATING
313,2,5,14886.5,25,2,F,1023,1193,41.1883,36.4016,5,PARTNER_MIGRATING
594,1,23,24.1436,25,0,F,1279,321,20.4295,18.1103,1,BROKEUP
352,1,6,392.047,25,0,F,922,1002,42.8876,29.1842,7,SELF_MIGRATING
309,4,5,322.963,26,1,F,689,741,74.5192,69.9173,12,SELF_MIGRATING
505,4,15,395.139,26,2,F,976,1214,47.2863,42.32,4,SELF_MIGRATING
11,4,0,740.259,26,1,F,1153,81,30.7752,23.8422,10,SELF_MIGRATING
527,3,17,776.024,26,1,F,1359,991,26.9069,24.4768,3,PARTNER_MIGRATING
75,4,1,558,27,0,F,1101,77,24.0233,16.719,10,SELF_MIGRATING
560,4,21,125.991,27,0,F,576,1091,34.9328,33.9312,2,SELF_MIGRATING
217,3,3,251.079,27,0,F,636,1312,25.5857,30.0893,8,SELF_MIGRATING
554,3,20,1165.11,27,0,F,1328,164,19.3181,16.8219,5,SELF_MIGRATING
235,2,3,506.068,27,1,F,875,1187,23.8532,26.1318,7,SELF_MIGRATING
41,2,0,508.784,27,0,F,607,1347,21.1846,20.7869,9,SELF_MIGRATING
378,1,7,970.251,27,1,F,1142,570,30.2622,21.9839,4,PARTNER_TERMINATED
583,1,22,346.466,27,0,F,426,1257,27.4643,25.0153,1,SELF_MIGRATING
584,1,22,128.548,27,0,F,862,1257,27.7196,25.0153,2,SELF_MIGRATING
373,1,7,113.109,27,0,F,1326,727,30.2237,35.5306,4,SELF_MIGRATING
77,4,1,815.414,28,1,F,1301,753,47.224,43.6687,10,SELF_MIGRATING
501,4,15,95.972,28,0,F,1301,1186,47.224,30.295,5,SELF_MIGRATING
18,3,0,33.8094,28,0,F,64,324,17.5089,19.5648,6,SELF_MIGRATING
484,3,13,472.694,28,1,F,348,798,21.4398,22.4135,4,SELF_MIGRATING
223,3,3,302.321,28,1,F,348,1073,21.4398,22.6927,4,SELF_MIGRATING
591,3,23,8900.14,28,2,F,281,876,72.7815,60.044,2,SELF_MIGRATING
129,3,1,379.537,28,0,F,1234,406,30.2552,25.6575,8,SELF_MIGRATING
386,2,8,4143.38,28,2,F,657,1045,46.5341,31.0123,1,PARTNER_TERMINATED
442,1,10,1018.95,28,0,F,425,333,43.8267,39.8587,2,SELF_MIGRATING
533,1,17,10632.9,28,2,F,230,30,30.5572,30.3582,4,PARTNER_MIGRATING
630,1,27,843.048,28,2,F,1006,238,37.8157,37.8216,1,PARTNER_MIGRATING
374,1,7,156.442,28,0,F,322,191,21.8667,16.1883,6,SELF_MIGRATING
112,1,1,86.781,28,0,F,679,575,47.1085,47.4961,11,SELF_MIGRATING
534,4,18,28.084,29,0,F,1173,833,16.9308,15.9042,2,BROKEUP
270,4,4,21866.8,29,2,F,1069,545,37.4257,36.9994,6,PARTNER_MIGRATING
545,4,19,99.7384,29,0,F,285,525,43.3439,38.8946,4,SELF_MIGRATING
206,4,3,386.629,29,0,F,1357,513,28.892,24.7181,8,PARTNER_MIGRATING
208,4,3,303.157,29,1,F,505,513,30.0092,24.7181,6,PARTNER_MIGRATING
417,2,9,28.7213,29,0,F,87,1105,19.1373,13.4749,3,BROKEUP
179,2,2,427.382,29,1,F,1383,787,28.6343,20.0401,8,SELF_MIGRATING
175,2,2,76.8914,29,0,F,1383,1235,28.6343,29.8215,4,SELF_MIGRATING
271,2,4,3304.54,29,2,F,357,716,26.105,25.1254,11,SELF_MIGRATING
493,1,13,6642.86,29,2,F,1387,578,52.437,44.2395,3,PARTNER_MIGRATING
119,4,1,1826.81,30,2,F,159,899,49.5777,44.089,5,PARTNER_TERMINATED
289,4,4,29.2928,30,1,F,403,515,42.1479,37.7213,2,BROKEUP
546,4,19,29.4195,30,0,F,761,573,40.5477,38.111,3,BROKEUP
644,4,29,2695.81,30,2,F,985,9,52.5446,57.9528,1,SELF_MIGRATING
347,3,6,517.315,30,1,F,1140,608,35.3218,25.9573,5,SELF_MIGRATING
408,3,9,554.247,30,0,F,1003,608,22.916,25.9573,4,SELF_MIGRATING
480,3,13,1125.2,30,0,F,973,224,41.5931,31.4625,4,PARTNER_MIGRATING
538,3,18,641.121,30,1,F,924,224,34.831,31.4625,6,PARTNER_MIGRATING
237,2,3,205.868,30,1,F,1055,1179,29.8038,25.2689,7,SELF_MIGRATING
604,2,24,380.355,30,1,F,706,1179,27.95,25.2689,2,SELF_MIGRATING
608,4,25,297.145,31,0,F,1103,872,31.3948,17.5575,1,PARTNER_MIGRATING
405,4,9,884.902,31,1,F,1103,1353,31.3948,24.3574,7,PARTNER_MIGRATING
212,3,3,463.458,31,2,F,389,485,35.2737,39.4706,12,SELF_MIGRATING
486,3,13,412.442,32,1,F,888,798,23.1067,22.4272,3,SELF_MIGRATING
553,3,20,366.202,32,0,F,1003,798,22.9215,22.4272,3,SELF_MIGRATING
331,2,5,228.515,32,1,F,1103,755,31.3948,16.3046,2,PARTNER_TERMINATED
689,1,32,611.989,32,1,F,230,276,30.5709,28.898,1,PARTNER_MIGRATING
671,1,30,1600.91,32,0,F,482,746,15.9201,16.536,1,SELF_MIGRATING
322,3,5,320.308,33,1,F,1036,1048,46.367,25.6462,7,SELF_MIGRATING
456,2,11,240.852,33,0,F,275,463,36.0495,27.6115,7,SELF_MIGRATING
457,2,11,3236.82,33,2,F,871,371,54.4402,46.9224,2,PARTNER_MIGRATING
228,2,3,9853.62,33,2,F,880,788,30.4651,25.2666,4,PARTNER_MIGRATING
440,2,10,12128.1,33,2,F,131,930,33.5856,38.9767,7,PARTNER_MIGRATING
429,3,10,280.915,34,1,F,612,784,53.6844,48.8839,6,PARTNER_MIGRATING
433,3,10,10794,34,2,F,380,784,55.9121,48.8839,6,PARTNER_MIGRATING
412,3,9,600.016,34,1,F,812,1372,37.7607,25.3434,4,SELF_MIGRATING
523,3,17,1013.61,34,0,F,399,1372,23.0732,25.3434,6,SELF_MIGRATING
25,3,0,34.8155,35,0,F,1144,444,27.77,22.5098,5,BROKEUP
550,3,19,1010.35,35,1,F,718,284,17.7918,17.2801,3,SELF_MIGRATING
342,3,6,104.105,35,0,F,68,284,18.0606,17.2801,2,SELF_MIGRATING
312,3,5,5183.88,35,2,F,1069,525,37.4449,38.911,4,PARTNER_MIGRATING
174,2,2,428.985,35,0,F,1055,1239,29.8175,35.6794,10,SELF_MIGRATING
350,2,6,998.144,35,1,F,175,1331,30.4805,26.1532,9,PARTNER_MIGRATING
676,2,31,21661.4,35,2,F,357,1331,26.1214,26.1532,2,PARTNER_MIGRATING
656,1,29,522.675,35,0,F,482,321,15.9256,18.1405,2,SELF_MIGRATING
595,1,23,155.423,35,0,F,386,1024,22.1524,24.0939,3,SELF_MIGRATING
637,1,28,597.2,35,0,F,426,1024,27.489,24.0939,2,SELF_MIGRATING
15,4,0,5131.78,36,2,F,225,1345,52.1397,48.1609,13,PARTNER_MIGRATING
272,4,4,7697.85,36,2,F,1253,545,40.3501,37.0213,7,SELF_MIGRATING
693,4,33,909.23,36,1,F,1171,872,26.0644,17.5712,1,SELF_MIGRATING
680,4,32,369.153,36,0,F,1171,1353,26.0644,24.3711,2,SELF_MIGRATING
672,4,31,264.117,36,0,F,1171,513,26.0644,24.7346,1,SELF_MIGRATING
