Time, NodeID, Population, VectorPopulation, AdultCount, InfectedCount, InfectiousCount, MaleCount, NewEggsCount, IndoorBitesCount, OutdoorBitesCount, NewAdults, DiedBeforeFeeding, DiedDuringFeedingIndoor, DiedDuringFeedingOutdoor, MigrationFromCountLocal, MigrationFromCountRegional, arabiensis_AvailableHabitat, funestus_AvailableHabitat, gambiae_AvailableHabitat, arabiensis_EggCrowdingCorrection, funestus_EggCrowdingCorrection, gambiae_EggCrowdingCorrection
33,1,100,71915,71915,0,0,100000,0,719,0,0,0,0,0,1,0,0,0,0,0,0,0
34,2,99,28802,28802,0,0,0,0,290,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1,100,71198,71198,0,0,100000,0,711,0,0,0,0,0,1,0,0,0,0,0,0,0
35,2,99,29556,29556,0,0,0,0,298,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1,100,70444,70444,0,0,100000,0,704,0,0,0,0,0,1,0,0,0,0,0,0,0
36,2,99,30241,30241,0,0,0,0,305,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1,100,69759,69759,0,0,100000,0,697,0,0,0,0,0,1,0,0,0,0,0,0,0
37,2,99,30967,30967,0,0,0,0,312,0,0,0,0,0,0,0,0,0,0,0,0,0
37,1,100,69033,69033,0,0,100000,0,690,0,0,0,0,0,1,0,0,0,0,0,0,0
38,2,99,31668,31668,0,0,0,0,319,0,0,0,0,0,0,0,0,0,0,0,0,0
38,1,100,68332,68332,0,0,100000,0,683,0,0,0,0,0,1,0,0,0,0,0,0,0
39,2,99,32333,32333,0,0,0,0,326,0,0,0,0,0,0,0,0,0,0,0,0,0
39,1,100,67667,67667,0,0,100000,0,676,0,0,0,0,0,1,0,0,0,0,0,0,0
40,2,99,32993,32993,0,0,0,0,333,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1,100,67007,67007,0,0,100000,0,670,0,0,0,0,0,1,0,0,0,0,0,0,0
41,2,99,33698,33698,0,0,0,0,340,0,0,0,0,0,0,0,0,0,0,0,0,0
41,1,100,66302,66302,0,0,100000,0,663,0,0,0,0,0,1,0,0,0,0,0,0,0
42,2,99,34336,34336,0,0,0,0,346,0,0,0,0,0,0,0,0,0,0,0,0,0
42,1,100,65664,65664,0,0,100000,0,656,0,0,0,0,0,1,0,0,0,0,0,0,0
43,2,99,34997,34997,0,0,0,0,353,0,0,0,0,0,0,0,0,0,0,0,0,0
43,1,100,65003,65003,0,0,100000,0,650,0,0,0,0,0,1,0,0,0,0,0,0,0
44,2,99,35651,35651,0,0,0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0
44,1,100,64349,64349,0,0,100000,0,643,0,0,0,0,0,1,0,0,0,0,0,0,0
45,2,99,36261,36261,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,100,63739,63739,0,0,100000,0,637,0,0,0,0,0,1,0,0,0,0,0,0,0
46,2,99,36899,36899,0,0,0,0,372,0,0,0,0,0,0,0,0,0,0,0,0,0
46,1,100,63101,63101,0,0,100000,0,631,0,0,0,0,0,1,0,0,0,0,0,0,0
47,2,99,37496,37496,0,0,0,0,378,0,0,0,0,0,0,0,0,0,0,0,0,0
47,1,100,62504,62504,0,0,100000,0,625,0,0,0,0,0,1,0,0,0,0,0,0,0
48,2,99,38096,38096,0,0,0,0,384,0,0,0,0,0,0,0,0,0,0,0,0,0
48,1,100,61904,61904,0,0,100000,0,619,0,0,0,0,0,1,0,0,0,0,0,0,0
49,2,99,38719,38719,0,0,0,0,391,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1,100,61281,61281,0,0,100000,0,612,0,0,0,0,0,1,0,0,0,0,0,0,0
50,2,99,39384,39384,0,0,0,0,397,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1,100,60616,60616,0,0,100000,0,606,0,0,0,0,0,1,0,0,0,0,0,0,0
51,2,99,39967,39967,0,0,0,0,403,0,0,0,0,0,0,0,0,0,0,0,0,0
51,1,100,60033,60033,0,0,100000,0,600,0,0,0,0,0,1,0,0,0,0,0,0,0
52,2,99,40562,40562,0,0,0,0,409,0,0,0,0,0,0,0,0,0,0,0,0,0
52,1,100,59438,59438,0,0,100000,0,594,0,0,0,0,0,1,0,0,0,0,0,0,0
53,2,99,41123,41123,0,0,0,0,415,0,0,0,0,0,0,0,0,0,0,0,0,0
53,1,100,58877,58877,0,0,100000,0,588,0,0,0,0,0,1,0,0,0,0,0,0,0
54,2,99,41717,41717,0,0,0,0,421,0,0,0,0,0,0,0,0,0,0,0,0,0
54,1,100,58283,58283,0,0,100000,0,582,0,0,0,0,0,1,0,0,0,0,0,0,0
