Time, NodeID, NumIndividuals, NumInfected,AvgParasiteDensity,AvgGametocyteDensity,NumInfections,NoMarkers,gm1,gm2,gm3,gm4,gm1-gm2,gm1-gm3,gm1-gm4,gm2-gm3,gm2-gm4,gm3-gm4,gm1-gm2-gm3,gm1-gm2-gm4,gm1-gm3-gm4,gm2-gm3-gm4,gm1-gm2-gm3-gm4
95,340461476,1000,224,6444.25,167.795,251,0,49,78,67,57,0,0,0,0,0,0,0,0,0,0,0
96,340461476,1000,225,6329.33,190.331,252,0,49,78,67,58,0,0,0,0,0,0,0,0,0,0,0
97,340461476,1000,226,6555.74,217.437,255,0,49,78,68,60,0,0,0,0,0,0,0,0,0,0,0
98,340461476,1000,227,7885.65,247.546,257,0,50,78,69,60,0,0,0,0,0,0,0,0,0,0,0
99,340461476,1000,227,7388.93,270.953,257,0,50,78,69,60,0,0,0,0,0,0,0,0,0,0,0
100,340461476,1000,228,9473.11,312.858,258,0,51,78,69,60,0,0,0,0,0,0,0,0,0,0,0
101,340461476,1000,228,7900.82,329.123,258,0,51,78,69,60,0,0,0,0,0,0,0,0,0,0,0
102,340461476,1000,228,9425.12,371.606,258,0,51,78,69,60,0,0,0,0,0,0,0,0,0,0,0
103,340461476,1000,228,7948.82,373.258,260,0,51,79,69,61,0,0,0,0,0,0,0,0,0,0,0
104,340461476,1000,228,8304.64,400.579,260,0,51,79,69,61,0,0,0,0,0,0,0,0,0,0,0
105,340461476,1000,229,7088.49,391.086,262,0,51,79,70,62,0,0,0,0,0,0,0,0,0,0,0
106,340461476,1000,230,7761.05,404.78,265,0,52,80,70,63,0,0,0,0,0,0,0,0,0,0,0
107,340461476,1000,232,6405.18,409.461,267,0,52,82,70,63,0,0,0,0,0,0,0,0,0,0,0
108,340461476,1000,234,6939.54,414.633,269,0,53,82,71,63,0,0,0,0,0,0,0,0,0,0,0
109,340461476,1000,240,6128.3,448.067,275,0,54,87,71,63,0,0,0,0,0,0,0,0,0,0,0
110,340461476,1000,246,5598.99,452.315,281,0,56,89,73,63,0,0,0,0,0,0,0,0,0,0,0
111,340461476,1000,248,5371.21,506.677,285,0,56,93,73,63,0,0,0,0,0,0,0,0,0,0,0
112,340461476,1000,256,3931.76,503.777,297,0,56,98,78,65,0,0,0,0,0,0,0,0,0,0,0
113,340461476,1000,261,3915.85,543.098,304,0,56,101,82,65,0,0,0,0,0,0,0,0,0,0,0
114,340461476,1000,267,2720.5,535.764,312,0,58,105,84,65,0,0,0,0,0,0,0,0,0,0,0
115,340461476,1000,272,2529.22,545.609,320,0,58,107,89,66,0,0,0,0,0,0,0,0,0,0,0
116,340461476,1000,281,2188.35,524.72,333,0,60,113,92,68,0,0,0,0,0,0,0,0,0,0,0
117,340461476,1000,289,1738.76,529.991,347,0,63,119,95,70,0,0,0,0,0,0,0,0,0,0,0
118,340461476,1000,299,1950.69,500.582,360,0,66,126,98,70,0,0,0,0,0,0,0,0,0,0,0
119,340461476,1000,310,1469.97,496.22,376,0,66,133,104,73,0,0,0,0,0,0,0,0,0,0,0
120,340461476,1000,329,1578.32,474.858,400,0,68,137,114,81,0,0,0,0,0,0,0,0,0,0,0
121,340461476,1000,337,1214.24,450.083,414,0,74,139,117,84,0,0,0,0,0,0,0,0,0,0,0
122,340461476,1000,346,1075.22,432.025,432,0,76,145,122,89,0,0,0,0,0,0,0,0,0,0,0
123,340461476,1000,365,868.205,387.351,466,0,79,156,135,96,0,0,0,0,0,0,0,0,0,0,0
124,340461476,1000,373,865.649,361.116,479,0,80,161,138,100,0,0,0,0,0,0,0,0,0,0,0
125,340461476,1000,409,772.585,315.693,529,0,88,178,156,107,0,0,0,0,0,0,0,0,0,0,0
126,340461476,1000,433,1173.63,281.217,567,0,94,185,177,111,0,0,0,0,0,0,0,0,0,0,0
127,340461476,1000,440,1216.55,249.524,586,0,99,187,183,117,0,0,0,0,0,0,0,0,0,0,0
128,340461476,1000,471,1920.22,215.729,626,0,106,203,192,125,0,0,0,0,0,0,0,0,0,0,0
129,340461476,1000,507,2177,197.411,689,0,112,215,217,141,0,0,0,4,0,0,0,0,0,0,0
130,340461476,1000,528,2842.46,171.795,740,0,119,232,233,150,0,0,0,4,0,2,0,0,0,0,0
131,340461476,1000,557,3529.08,157.045,799,1,129,249,252,161,0,1,0,4,0,2,0,0,0,0,0
132,340461476,1000,580,3517.28,138.25,855,1,140,253,277,177,0,1,0,4,0,2,0,0,0,0,0
133,340461476,1000,608,5085.46,122.564,902,1,147,275,287,185,0,1,0,4,0,2,0,0,0,0,0
134,340461476,1000,615,4324.37,106.799,934,1,153,285,299,189,0,1,0,4,0,2,0,0,0,0,0
135,340461476,1000,637,6367.54,95.5811,986,1,167,301,308,200,0,1,0,4,2,2,0,0,0,0,0
136,340461476,1000,660,5849.35,84.0168,1052,1,181,329,319,212,1,1,0,4,2,2,0,0,0,0,0
137,340461476,1000,683,8101.97,84.114,1107,1,196,347,331,222,1,1,0,4,2,2,0,0,0,0,0
138,340461476,1000,707,8104.49,82.1705,1178,1,214,362,349,242,1,1,0,4,2,2,0,0,0,0,0
139,340461476,1000,723,10410,95.1867,1233,1,225,375,366,256,1,1,0,4,2,2,0,0,0,0,0
140,340461476,1000,741,10533.8,106.156,1294,1,236,401,385,261,1,1,0,4,2,2,0,0,0,0,0
141,340461476,1000,756,12859.2,126.741,1358,1,253,411,406,275,1,1,0,6,2,2,0,0,0,0,0
142,340461476,1000,771,12929.8,155.595,1415,1,266,433,416,287,1,1,0,6,2,2,0,0,0,0,0
143,340461476,1000,787,14380.2,170.907,1471,1,274,457,430,297,1,1,0,6,2,2,0,0,0,0,0
144,340461476,1000,806,16746.7,218.753,1537,1,296,471,446,311,1,1,0,6,2,2,0,0,0,0,0
145,340461476,1000,829,15949.5,228.704,1604,1,314,485,461,330,2,1,0,6,2,2,0,0,0,0,0
146,340461476,1000,840,21732.2,284.71,1664,2,319,517,473,340,2,1,0,6,2,2,0,0,0,0,0
147,340461476,1000,847,19579.6,304.009,1731,3,329,538,486,362,2,1,0,6,2,2,0,0,0,0,0
148,340461476,1000,862,25780.5,368.911,1792,3,338,558,497,380,5,1,0,6,2,2,0,0,0,0,0
149,340461476,1000,867,25313.1,405.74,1841,3,348,573,506,395,5,1,0,6,2,2,0,0,0,0,0
150,340461476,1000,872,30702.1,482.981,1879,3,359,577,523,401,5,1,0,6,2,2,0,0,0,0,0
151,340461476,1000,879,31000.7,531.749,1913,5,365,591,527,409,5,1,0,6,2,2,0,0,0,0,0
152,340461476,1000,887,34931.8,618.622,1962,5,373,614,535,419,5,1,0,6,2,2,0,0,0,0,0
153,340461476,1000,894,34514.1,675.278,2003,5,385,630,546,421,5,1,0,6,2,2,0,0,0,0,0
154,340461476,1000,897,37140.9,744.841,2038,5,393,646,551,427,5,1,0,6,2,2,0,0,0,0,0
155,340461476,1000,900,35216.7,846.806,2078,5,406,655,554,441,5,1,0,6,2,3,0,0,0,0,0
156,340461476,1000,902,37311.8,884.073,2120,5,417,669,563,449,5,1,0,6,2,3,0,0,0,0,0
157,340461476,1000,910,36357.2,1047.16,2157,5,420,689,565,459,5,1,0,6,2,5,0,0,0,0,0
158,340461476,1000,914,37567.1,1089.69,2180,5,430,693,564,469,5,1,0,6,2,5,0,0,0,0,0
159,340461476,1000,918,39173.1,1265.27,2225,5,438,711,574,478,5,1,0,6,2,5,0,0,0,0,0
160,340461476,1000,920,38489.7,1355.94,2252,5,452,720,574,479,7,1,0,6,2,6,0,0,0,0,0
161,340461476,1000,924,40829.2,1540.76,2284,5,459,730,581,487,7,1,0,6,2,6,0,0,0,0,0
162,340461476,1000,923,39585.7,1662.28,2327,5,467,746,594,493,7,1,0,6,2,6,0,0,0,0,0
163,340461476,1000,926,40216.6,1838.68,2362,5,473,762,603,497,7,1,0,6,2,6,0,0,0,0,0
164,340461476,1000,928,40158.6,1945.47,2395,5,482,778,608,499,7,1,0,7,2,6,0,0,0,0,0
165,340461476,1000,929,39804.1,2090.86,2424,5,493,788,615,500,7,1,0,7,2,6,0,0,0,0,0
166,340461476,1000,930,40256,2146.63,2454,5,496,801,623,506,7,1,0,7,2,6,0,0,0,0,0
167,340461476,1000,930,39310,2243.82,2508,5,506,826,635,513,7,1,0,7,2,6,0,0,0,0,0
168,340461476,1000,934,38571.9,2287.39,2539,5,509,841,642,517,7,1,0,7,2,8,0,0,0,0,0
169,340461476,1000,937,37422.7,2345,2579,5,513,863,652,520,8,1,0,7,2,8,0,0,0,0,0
170,340461476,1000,940,34944.2,2422.03,2629,5,526,881,667,524,8,1,0,7,2,8,0,0,0,0,0
171,340461476,1000,944,33588,2452.82,2687,5,539,897,688,529,8,4,0,7,2,8,0,0,0,0,0
172,340461476,1000,952,30857.7,2533.05,2737,6,544,915,701,541,8,4,0,7,3,8,0,0,0,0,0
173,340461476,1000,957,30162.9,2558.44,2789,6,556,926,715,556,8,4,0,7,3,8,0,0,0,0,0
174,340461476,1000,959,27757.5,2595.29,2831,6,568,938,724,565,8,4,0,7,3,8,0,0,0,0,0
175,340461476,1000,961,27251.9,2621.76,2909,6,577,963,758,573,8,4,0,7,5,8,0,0,0,0,0
176,340461476,1000,964,25356.2,2632.47,2971,6,584,982,786,581,8,4,0,7,5,8,0,0,0,0,0
177,340461476,1000,969,24818.4,2653.49,3029,8,594,1005,804,585,8,5,0,7,5,8,0,0,0,0,0
178,340461476,1000,974,23579.3,2648.57,3111,10,607,1026,829,603,8,5,0,7,7,9,0,0,0,0,0
179,340461476,1000,976,22691.3,2634.59,3179,10,615,1041,850,626,9,5,0,7,7,9,0,0,0,0,0
180,340461476,1000,978,22056.8,2608.13,3235,10,627,1055,870,636,9,5,0,7,7,9,0,0,0,0,0
181,340461476,1000,980,20408,2541.4,3286,12,630,1063,892,649,9,5,0,7,9,10,0,0,0,0,0
182,340461476,1000,983,20529,2476.82,3352,12,641,1076,910,671,10,5,0,8,9,10,0,0,0,0,0
183,340461476,1000,985,18814,2374.19,3432,13,644,1092,937,699,10,6,0,8,11,12,0,0,0,0,0
184,340461476,1000,984,19044.4,2295.08,3504,13,653,1112,961,714,10,6,0,8,12,15,0,0,0,0,0
185,340461476,1000,988,18220.7,2186.25,3583,15,659,1130,993,727,13,7,0,9,13,17,0,0,0,0,0
186,340461476,1000,989,18398.3,2104.25,3659,16,674,1151,1016,736,14,10,0,11,14,17,0,0,0,0,0
187,340461476,1000,992,18227.8,2004.01,3723,16,687,1172,1034,746,14,10,0,12,14,18,0,0,0,0,0
188,340461476,1000,994,19755.1,1924.49,3790,19,704,1193,1055,749,14,10,0,12,14,20,0,0,0,0,0
189,340461476,1000,995,18889.5,1841.33,3875,20,722,1215,1079,760,14,11,0,17,15,22,0,0,0,0,0
190,340461476,1000,996,21847.4,1763.72,3921,24,733,1227,1080,774,14,11,0,18,16,24,0,0,0,0,0
191,340461476,1000,996,20385.3,1698.39,3959,31,740,1238,1089,778,14,11,0,18,16,24,0,0,0,0,0
192,340461476,1000,997,23843.8,1613.69,4029,37,745,1258,1101,792,18,13,4,19,18,24,0,0,0,0,0
193,340461476,1000,997,21570.2,1562.85,4067,42,747,1278,1102,802,18,13,4,19,18,24,0,0,0,0,0
194,340461476,1000,999,24551.9,1485.13,4091,46,753,1286,1099,812,18,13,4,18,18,24,0,0,0,0,0
195,340461476,1000,999,22347.8,1438.86,4170,54,759,1304,1117,831,19,13,6,20,20,27,0,0,0,0,0
196,340461476,1000,999,25772.7,1384.84,4183,56,772,1305,1107,836,19,14,7,20,20,27,0,0,0,0,0
197,340461476,1000,999,23725.5,1350.22,4204,60,770,1321,1108,836,19,14,7,21,20,28,0,0,0,0,0
198,340461476,1000,999,27348.1,1316.78,4219,60,774,1328,1106,841,20,14,7,20,20,29,0,0,0,0,0
199,340461476,1000,999,26413.5,1325.94,4227,63,774,1331,1108,840,20,15,7,20,20,29,0,0,0,0,0
200,340461476,1000,999,28606.2,1301.66,4239,67,770,1338,1115,837,21,15,7,19,20,30,0,0,0,0,0
201,340461476,1000,1000,28403.2,1354.08,4243,70,776,1334,1110,837,21,16,8,20,22,29,0,0,0,0,0
202,340461476,1000,1000,28977.4,1343.21,4270,72,776,1340,1120,841,23,17,9,21,22,29,0,0,0,0,0
203,340461476,1000,1000,29364.7,1420.54,4254,75,766,1350,1110,835,21,17,9,21,22,28,0,0,0,0,0
204,340461476,1000,1000,29080.3,1411.56,4258,74,764,1352,1107,840,21,18,10,22,22,28,0,0,0,0,0
205,340461476,1000,1000,29509,1482.88,4267,80,768,1349,1100,846,22,18,11,23,22,28,0,0,0,0,0
206,340461476,1000,1000,29257.5,1471.84,4223,81,757,1338,1088,834,23,18,11,23,22,28,0,0,0,0,0
207,340461476,1000,1000,28846.9,1549.58,4238,85,768,1343,1087,825,24,19,12,23,22,30,0,0,0,0,0
208,340461476,1000,1000,29607,1544.29,4238,85,776,1348,1078,822,24,19,12,23,21,30,0,0,0,0,0
209,340461476,1000,1000,28940.2,1627.52,4223,88,767,1343,1066,824,24,22,12,25,21,31,0,0,0,0,0
210,340461476,1000,1000,30066.5,1653.36,4211,88,765,1346,1051,820,27,22,12,27,22,31,0,0,0,0,0
211,340461476,1000,1000,28795.6,1723.47,4217,91,760,1359,1048,815,28,22,12,27,22,33,0,0,0,0,0
212,340461476,1000,1000,28493.7,1764.75,4206,97,754,1351,1051,809,28,22,13,27,23,31,0,0,0,0,0
213,340461476,1000,1000,27461.8,1808.04,4190,97,749,1343,1045,809,28,24,13,28,23,31,0,0,0,0,0
214,340461476,1000,1000,26127.3,1848.88,4184,98,755,1344,1039,798,28,24,13,29,23,33,0,0,0,0,0
215,340461476,1000,1000,25163.4,1870.41,4182,101,749,1342,1039,799,29,24,13,29,24,33,0,0,0,0,0
216,340461476,1000,999,24308,1898.48,4151,103,743,1340,1028,785,29,24,13,29,24,33,0,0,0,0,0
217,340461476,1000,998,22511.4,1913.8,4115,103,738,1321,1019,778,33,24,13,29,24,33,0,0,0,0,0
218,340461476,1000,998,21900.1,1915.51,4135,106,737,1319,1023,784,37,24,14,29,27,35,0,0,0,0,0
219,340461476,1000,998,19848,1937.06,4117,106,734,1315,1021,775,37,24,14,29,27,35,0,0,0,0,0
220,340461476,1000,998,19437.1,1932.43,4115,105,736,1305,1024,775,37,25,14,31,27,36,0,0,0,0,0
221,340461476,1000,998,18573.9,1958.04,4134,107,736,1306,1034,777,37,27,15,31,28,36,0,0,0,0,0
222,340461476,1000,998,18384.4,1947.23,4165,111,747,1316,1032,783,37,27,16,32,28,36,0,0,0,0,0
223,340461476,1000,998,18372.2,1939.07,4158,111,741,1304,1039,783,38,27,16,32,29,38,0,0,0,0,0
224,340461476,1000,998,17535.3,1916.38,4162,114,741,1303,1040,782,39,27,16,32,31,37,0,0,0,0,0
225,340461476,1000,998,17417.6,1874.64,4200,115,742,1322,1050,782,40,27,17,35,33,37,0,0,0,0,0
226,340461476,1000,998,16184.1,1828.37,4196,117,735,1320,1052,779,40,27,18,35,35,38,0,0,0,0,0
227,340461476,1000,998,15087.9,1782.73,4196,122,729,1312,1063,776,39,27,18,36,35,39,0,0,0,0,0
228,340461476,1000,998,15565.2,1711.69,4240,124,732,1335,1073,778,39,28,18,36,37,40,0,0,0,0,0
229,340461476,1000,998,13650.3,1656.54,4220,130,715,1333,1074,770,39,28,18,37,36,40,0,0,0,0,0
230,340461476,1000,997,15170.6,1572.61,4241,137,717,1338,1078,768,39,29,18,37,39,41,0,0,0,0,0
231,340461476,1000,997,13948,1509.74,4268,143,713,1349,1075,784,39,30,18,36,40,41,0,0,0,0,0
232,340461476,1000,997,14655.9,1444.08,4270,145,712,1340,1079,790,39,30,18,36,40,41,0,0,0,0,0
233,340461476,1000,997,14752.8,1392.11,4302,150,714,1346,1092,794,40,30,18,37,41,40,0,0,0,0,0
234,340461476,1000,998,13821.1,1354.01,4323,155,713,1350,1092,801,40,30,18,39,43,42,0,0,0,0,0
235,340461476,1000,999,14770.6,1307.19,4327,157,713,1345,1092,803,40,30,18,44,43,41,0,0,0,1,0
236,340461476,1000,999,13419.3,1275.52,4333,162,708,1339,1101,804,40,30,18,44,44,42,0,0,0,1,0
237,340461476,1000,999,13808.1,1228.18,4356,169,704,1354,1103,803,40,31,18,45,45,42,0,0,1,1,0
238,340461476,1000,998,12553.3,1171.24,4359,171,699,1360,1100,807,40,31,18,45,45,41,0,0,1,1,0
239,340461476,1000,999,12712.9,1147.5,4354,171,699,1357,1094,808,40,32,20,45,45,41,0,0,1,1,0
240,340461476,1000,999,11252.2,1080.8,4354,177,694,1359,1080,816,39,32,20,45,46,43,1,0,1,1,0
241,340461476,1000,1000,11751.7,1073.37,4351,181,693,1363,1069,815,40,33,20,44,47,43,1,0,1,1,0
242,340461476,1000,1000,10128.5,1033.26,4323,182,688,1359,1061,801,39,32,21,45,49,43,1,0,1,1,0
243,340461476,1000,1000,11291.9,1021.87,4324,191,682,1358,1061,797,40,33,21,46,48,43,1,0,2,1,0
244,340461476,1000,1000,9748.39,1015.83,4306,192,674,1349,1056,795,41,33,21,47,50,44,1,0,2,1,0
245,340461476,1000,1000,10756.3,987.785,4294,195,673,1346,1042,796,43,33,22,46,50,44,1,0,2,1,0
246,340461476,1000,999,10135.4,993.73,4284,199,672,1348,1031,790,43,30,22,48,50,45,3,0,2,1,0
