Time, NodeID, AgeYears, NumIndividuals, NumInfected, NodeProp=Accessibility
21,5,125,10,0,YES
21,4,125,10,0,YES
21,3,125,10,0,YES
21,2,125,10,0,YES
21,1,125,10,0,YES
22,10,125,10,0,YES
22,9,125,10,0,YES
22,8,125,10,0,YES
22,7,125,10,0,YES
22,6,125,10,0,YES
22,5,125,10,0,YES
22,4,125,10,0,YES
22,3,125,10,0,YES
22,2,125,10,0,YES
22,1,125,10,0,YES
23,10,125,10,0,YES
23,9,125,10,0,YES
23,8,125,10,0,YES
23,7,125,10,0,YES
23,6,125,10,0,YES
23,5,125,10,0,YES
23,4,125,10,0,YES
23,3,125,10,0,YES
23,2,125,10,0,YES
23,1,125,10,0,YES
24,10,125,10,0,YES
24,9,125,10,0,YES
24,8,125,10,0,YES
24,7,125,10,0,YES
24,6,125,10,0,YES
24,5,125,10,0,YES
24,4,125,10,0,YES
24,3,125,10,0,YES
24,2,125,10,0,YES
24,1,125,10,0,YES
25,10,125,10,0,YES
25,9,125,10,4,YES
25,8,125,10,2,YES
25,7,125,10,3,YES
25,6,125,10,5,YES
25,5,125,10,3,YES
25,4,125,10,5,YES
25,3,125,10,1,YES
25,2,125,10,4,YES
25,1,125,10,0,YES
26,10,125,10,0,YES
26,9,125,10,5,YES
26,8,125,10,5,YES
26,7,125,10,4,YES
26,6,125,10,6,YES
26,5,125,10,3,YES
26,4,125,10,6,YES
26,3,125,10,1,YES
26,2,125,10,6,YES
26,1,125,10,0,YES
27,10,125,10,0,YES
27,9,125,0,0,YES
27,8,125,0,0,YES
27,7,125,0,0,YES
27,6,125,0,0,YES
27,5,125,0,0,YES
27,4,125,10,6,YES
27,3,125,10,2,YES
27,2,125,10,6,YES
27,1,125,60,23,YES
28,10,125,10,0,YES
28,9,125,0,0,YES
28,8,125,0,0,YES
28,7,125,0,0,YES
28,6,125,0,0,YES
28,5,125,0,0,YES
28,4,125,0,0,YES
28,3,125,0,0,YES
28,2,125,0,0,YES
28,1,125,90,37,YES
29,10,125,10,0,YES
29,9,125,0,0,YES
29,8,125,0,0,YES
29,7,125,0,0,YES
29,6,125,0,0,YES
29,5,125,0,0,YES
29,4,125,0,0,YES
29,3,125,0,0,YES
29,2,125,0,0,YES
29,1,125,90,36,YES
30,10,125,10,0,YES
30,9,125,0,0,YES
30,8,125,0,0,YES
30,7,125,0,0,YES
30,6,125,0,0,YES
30,5,125,0,0,YES
30,4,125,0,0,YES
30,3,125,0,0,YES
30,2,125,0,0,YES
30,1,125,90,33,YES
31,10,125,10,0,YES
31,9,125,0,0,YES
31,8,125,0,0,YES
31,7,125,0,0,YES
31,6,125,0,0,YES
31,5,125,0,0,YES
31,4,125,0,0,YES
31,3,125,0,0,YES
31,2,125,0,0,YES
31,1,125,90,32,YES
32,10,125,10,0,YES
32,9,125,0,0,YES
32,8,125,0,0,YES
32,7,125,0,0,YES
32,6,125,0,0,YES
32,5,125,0,0,YES
32,4,125,0,0,YES
32,3,125,0,0,YES
32,2,125,0,0,YES
32,1,125,90,31,YES
33,10,125,10,0,YES
33,9,125,0,0,YES
33,8,125,0,0,YES
33,7,125,0,0,YES
33,6,125,0,0,YES
33,5,125,0,0,YES
33,4,125,0,0,YES
33,3,125,0,0,YES
33,2,125,0,0,YES
33,1,125,90,30,YES
34,10,125,10,0,YES
34,9,125,0,0,YES
34,8,125,0,0,YES
34,7,125,0,0,YES
34,6,125,0,0,YES
34,5,125,0,0,YES
34,4,125,0,0,YES
34,3,125,0,0,YES
34,2,125,0,0,YES
34,1,125,90,29,YES
35,10,125,10,0,YES
35,9,125,0,0,YES
35,8,125,0,0,YES
35,7,125,0,0,YES
35,6,125,0,0,YES
35,5,125,0,0,YES
35,4,125,0,0,YES
35,3,125,0,0,YES
35,2,125,0,0,YES
35,1,125,90,27,YES
36,10,125,10,0,YES
36,9,125,0,0,YES
36,8,125,0,0,YES
36,7,125,0,0,YES
36,6,125,0,0,YES
36,5,125,0,0,YES
36,4,125,0,0,YES
36,3,125,0,0,YES
36,2,125,0,0,YES
36,1,125,90,26,YES
37,10,125,10,0,YES
37,9,125,10,4,YES
37,8,125,10,4,YES
37,7,125,10,3,YES
37,6,125,10,3,YES
37,5,125,10,1,YES
37,4,125,0,0,YES
37,3,125,0,0,YES
37,2,125,0,0,YES
37,1,125,40,10,YES
38,10,125,10,0,YES
38,9,125,0,0,YES
38,8,125,0,0,YES
38,7,125,0,0,YES
38,6,125,0,0,YES
38,5,125,10,1,YES
38,4,125,10,5,YES
38,3,125,10,1,YES
38,2,125,10,4,YES
38,1,125,50,14,YES
39,10,125,10,0,YES
39,9,125,0,0,YES
