
Time,NodeID,TRANSITORY_M_Before_50,TRANSITORY_M_Before_85,TRANSITORY_M_After_50,TRANSITORY_M_After_85,TRANSITORY_F_Before_50,TRANSITORY_F_Before_85,TRANSITORY_F_After_50,TRANSITORY_F_After_85,INFORMAL_M_Before_40,INFORMAL_M_Before_65,INFORMAL_M_Before_90,INFORMAL_M_After_40,INFORMAL_M_After_65,INFORMAL_M_After_90,INFORMAL_F_Before_40,INFORMAL_F_Before_65,INFORMAL_F_Before_90,INFORMAL_F_After_40,INFORMAL_F_After_65,INFORMAL_F_After_90,MARITAL_M_Before_100,MARITAL_M_After_100,MARITAL_F_Before_100,MARITAL_F_After_100,COMMERCIAL_M_Before_50,COMMERCIAL_M_Before_85,COMMERCIAL_M_After_50,COMMERCIAL_M_After_85,COMMERCIAL_F_Before_50,COMMERCIAL_F_Before_85,COMMERCIAL_F_After_50,COMMERCIAL_F_After_85,TRANSITORY_LOW_M_50,TRANSITORY_LOW_M_85,TRANSITORY_LOW_F_50,TRANSITORY_LOW_F_85,TRANSITORY_HIGH_M_50,TRANSITORY_HIGH_M_85,TRANSITORY_HIGH_F_50,TRANSITORY_HIGH_F_85,INFORMAL_LOW_M_40,INFORMAL_LOW_M_65,INFORMAL_LOW_M_90,INFORMAL_LOW_F_40,INFORMAL_LOW_F_65,INFORMAL_LOW_F_90,INFORMAL_HIGH_M_40,INFORMAL_HIGH_M_65,INFORMAL_HIGH_M_90,INFORMAL_HIGH_F_40,INFORMAL_HIGH_F_65,INFORMAL_HIGH_F_90,MARITAL_LOW_M_100,MARITAL_LOW_F_100,MARITAL_HIGH_M_100,MARITAL_HIGH_F_100,COMMERCIAL_LOW_M_50,COMMERCIAL_LOW_M_85,COMMERCIAL_LOW_F_50,COMMERCIAL_LOW_F_85,COMMERCIAL_HIGH_M_50,COMMERCIAL_HIGH_M_85,COMMERCIAL_HIGH_F_50,COMMERCIAL_HIGH_F_85,desired_flow_TRANSITORY_M_50,desired_flow_TRANSITORY_M_85,desired_flow_TRANSITORY_F_50,desired_flow_TRANSITORY_F_85,desired_flow_INFORMAL_M_40,desired_flow_INFORMAL_M_65,desired_flow_INFORMAL_M_90,desired_flow_INFORMAL_F_40,desired_flow_INFORMAL_F_65,desired_flow_INFORMAL_F_90,desired_flow_MARITAL_M_100,desired_flow_MARITAL_F_100,desired_flow_COMMERCIAL_M_50,desired_flow_COMMERCIAL_M_85,desired_flow_COMMERCIAL_F_50,desired_flow_COMMERCIAL_F_85
20,1,65,42,26,0,45,39,3,0,15,22,13,0,0,0,28,17,37,15,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0.0017399,0.0017399,0.00166039,0.00166039,0.0017399,0.0017399,0.00166039,0.00166039,0.00077274,0.00077274,0.00077274,0.000716555,0.000716555,0.000716555,0.00077274,0.00077274,0.00077274,0.000716555,0.000716555,0.000716555,9.30787e-05,8.96343e-05,9.30787e-05,8.96343e-05,0,0,0,0,0,0,0,0,6.21318,6.21318,6.21318,6.21318,2.15826,2.15826,2.15826,2.15826,2.15826,2.15826,0.4142,0.4142,0,0,0,0
21,1,65,42,26,0,45,39,3,0,15,22,13,0,0,0,28,17,37,15,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0.00173746,0.00173746,0.00165834,0.00165834,0.00173746,0.00173746,0.00165834,0.00165834,0.00077131,0.00077131,0.00077131,0.000715849,0.000715849,0.000715849,0.00077131,0.00077131,0.00077131,0.000715849,0.000715849,0.000715849,9.30118e-05,8.96964e-05,9.30118e-05,8.96964e-05,0,0,0,0,0,0,0,0,6.19058,6.19058,6.19058,6.19058,2.15041,2.15041,2.15041,2.15041,2.15041,2.15041,0.412693,0.412693,0,0,0,0
22,1,65,42,26,0,45,39,3,0,15,22,13,0,0,0,28,17,37,15,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0.00173297,0.00173297,0.00165617,0.00165617,0.00173297,0.00173297,0.00165617,0.00165617,0.000769341,0.000769341,0.000769341,0.000714187,0.000714187,0.000714187,0.000769341,0.000769341,0.000769341,0.000714187,0.000714187,0.000714187,9.29976e-05,8.97096e-05,9.29976e-05,8.97096e-05,0,0,0,0,0,0,0,0,6.16592,6.16592,6.16592,6.16592,2.14185,2.14185,2.14185,2.14185,2.14185,2.14185,0.411049,0.411049,0,0,0,0
23,1,65,42,26,0,45,39,3,0,15,22,13,0,0,0,28,17,37,15,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0.00173139,0.00173139,0.00165358,0.00165358,0.00173139,0.00173139,0.00165358,0.00165358,0.000768624,0.000768624,0.000768624,0.00071244,0.00071244,0.00071244,0.000768624,0.000768624,0.000768624,0.00071244,0.00071244,0.00071244,9.29718e-05,8.97336e-05,9.29718e-05,8.97336e-05,0,0,0,0,0,0,0,0,6.14469,6.14469,6.14469,6.14469,2.13447,2.13447,2.13447,2.13447,2.13447,2.13447,0.409634,0.409634,0,0,0,0
24,1,65,42,26,0,45,39,3,0,15,22,13,0,0,0,28,17,37,15,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0.00172843,0.00172843,0.00165146,0.00165146,0.00172843,0.00172843,0.00165146,0.00165146,0.000767857,0.000767857,0.000767857,0.000711322,0.000711322,0.000711322,0.000767857,0.000767857,0.000767857,0.000711322,0.000711322,0.000711322,9.29789e-05,8.97269e-05,9.29789e-05,8.97269e-05,0,0,0,0,0,0,0,0,6.11866,6.11866,6.11866,6.11866,2.12543,2.12543,2.12543,2.12543,2.12543,2.12543,0.407899,0.407899,0,0,0,0
25,1,65,42,26,0,45,39,3,0,15,22,13,0,0,0,28,17,37,15,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0.00172275,0.00172275,0.00164588,0.00164588,0.00172275,0.00172275,0.00164588,0.00164588,0.000765199,0.000765199,0.000765199,0.000708528,0.000708528,0.000708528,0.000765199,0.000765199,0.000765199,0.000708528,0.000708528,0.000708528,9.30198e-05,8.96889e-05,9.30198e-05,8.96889e-05,0,0,0,0,0,0,0,0,6.08647,6.08647,6.08647,6.08647,2.11425,2.11425,2.11425,2.11425,2.11425,2.11425,0.405753,0.405753,0,0,0,0
26,1,65,42,26,0,45,39,3,0,15,22,13,0,0,0,28,17,37,15,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0.00172122,0.00172122,0.00164292,0.00164292,0.00172122,0.00172122,0.00164292,0.00164292,0.000764171,0.000764171,0.000764171,0.000707243,0.000707243,0.000707243,0.000764171,0.000764171,0.000764171,0.000707243,0.000707243,0.000707243,9.30895e-05,8.96242e-05,9.30895e-05,8.96242e-05,0,0,0,0,0,0,0,0,6.06729,6.06729,6.06729,6.06729,2.10758,2.10758,2.10758,2.10758,2.10758,2.10758,0.404474,0.404474,0,0,0,0
27,1,67,49,23,0,53,44,4,0,14,13,15,0,0,0,21,15,34,6,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0.00171676,0.00171676,0.00164116,0.00164116,0.00171676,0.00171676,0.00164116,0.00164116,0.00076212,0.00076212,0.00076212,0.000705942,0.000705942,0.000705942,0.00076212,0.00076212,0.00076212,0.000705942,0.000705942,0.000705942,9.30445e-05,8.9666e-05,9.30445e-05,8.9666e-05,0,0,0,0,0,0,0,0,6.03783,6.03783,6.03783,6.03783,2.09735,2.09735,2.09735,2.09735,2.09735,2.09735,0.402511,0.402511,0,0,0,0
28,1,67,49,23,0,53,44,4,0,14,13,15,0,0,0,21,15,34,6,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0.00171423,0.00171423,0.00163858,0.00163858,0.00171423,0.00171423,0.00163858,0.00163858,0.000761203,0.000761203,0.000761203,0.00070496,0.00070496,0.00070496,0.000761203,0.000761203,0.000761203,0.00070496,0.00070496,0.00070496,9.30619e-05,8.96498e-05,9.30619e-05,8.96498e-05,0,0,0,0,0,0,0,0,6.01523,6.01523,6.01523,6.01523,2.0895,2.0895,2.0895,2.0895,2.0895,2.0895,0.401004,0.401004,0,0,0,0
29,1,67,49,23,0,53,44,4,0,14,13,15,0,0,0,21,15,34,6,1,21,16,1,15,0,0,0,0,0,0,0,0,0,0.00171237,0.00171237,0.00163533,0.00163533,0.00171237,0.00171237,0.00163533,0.00163533,0.000760525,0.000760525,0.000760525,0.000703505,0.000703505,0.000703505,0.000760525,0.000760525,0.000760525,0.000703505,0.000703505,0.000703505,9.31215e-05,8.95945e-05,9.31215e-05,8.95945e-05,0,0,0,0,0,0,0,0,5.99674,5.99674,5.99674,5.99674,2.08308,2.08308,2.08308,2.08308,2.08308,2.08308,0.399771,0.399771,0,0,0,0
