Time,NodeID,Alleles,VectorPopulation,STATE_MALE,VectorPopulationNumDied,MaleNumDied,VectorPopulationAvgAgeAtDeath,MaleAvgAgeAtDeath
36,1,X1,130478,65927,16722,8514,8.19154,8.08879
36,1,X2,64138,32201,8276,4078,8.13304,8.15964
36,1,Y1,0,59009,0,7551,0,8.10038
36,1,Y2,0,39119,0,5041,0,8.12874
37,1,X1,119648,60600,16079,8030,8.73599,8.68356
37,1,X2,58910,29659,7773,3870,8.71941,8.77804
37,1,Y1,0,54244,0,7123,0,8.71796
37,1,Y2,0,36015,0,4777,0,8.70881
38,1,X1,109544,55448,14931,7574,9.34559,9.37668
38,1,X2,54242,27298,7247,3600,9.40955,9.435
38,1,Y1,0,49718,0,6740,0,9.46157
38,1,Y2,0,33028,0,4434,0,9.29499
39,1,X1,99875,50430,13866,7170,9.90048,9.87796
39,1,X2,49591,25003,6812,3450,9.97681,10.0374
39,1,Y1,0,45302,0,6404,0,9.99485
39,1,Y2,0,30131,0,4216,0,9.83088
40,1,X1,89746,45385,12928,6462,10.5862,10.5458
40,1,X2,44668,22498,6326,3186,10.5119,10.4523
40,1,Y1,0,40728,0,5790,0,10.5482
40,1,Y2,0,27155,0,3858,0,10.465
41,1,X1,80498,40910,11895,5847,11.1973,11.1515
41,1,X2,40342,20199,5887,2985,11.1694,11.2683
41,1,Y1,0,36657,0,5297,0,11.2177
41,1,Y2,0,24452,0,3535,0,11.1511
42,1,X1,71897,36463,11021,5615,11.8476,11.7361
42,1,X2,36111,18185,5529,2704,11.7822,11.8968
42,1,Y1,0,32868,0,4971,0,11.8536
42,1,Y2,0,21780,0,3348,0,11.6915
43,1,X1,63532,32244,9687,4895,12.4569,12.342
43,1,X2,32004,16155,4903,2434,12.3019,12.3554
43,1,Y1,0,29043,0,4384,0,12.4078
43,1,Y2,0,19356,0,2945,0,12.255
44,1,X1,55791,28385,9030,4541,13.0008,13.081
44,1,X2,28303,14340,4592,2269,12.8247,13.0353
44,1,Y1,0,25621,0,4079,0,13.1483
44,1,Y2,0,17104,0,2731,0,12.9425
45,1,X1,49089,24992,7975,4044,13.6409,13.8373
45,1,X2,24765,12635,4097,2039,13.5309,13.3605
45,1,Y1,0,22611,0,3641,0,13.735
45,1,Y2,0,15016,0,2442,0,13.5917
46,1,X1,42647,21615,7056,3679,14.2653,14.1036
46,1,X2,21615,11014,3534,1815,14.2428,14.0116
46,1,Y1,0,19575,0,3241,0,13.9784
46,1,Y2,0,13054,0,2253,0,14.2095
47,1,X1,37019,18783,6275,3129,15.0529,14.97
47,1,X2,18915,9617,3083,1568,14.8767,14.692
47,1,Y1,0,16980,0,2834,0,14.9305
47,1,Y2,0,11420,0,1863,0,14.796
48,1,X1,409839,205221,5578,2716,15.6092,15.6086
48,1,X2,202813,100731,2768,1403,15.0397,15.2823
48,1,Y1,0,186173,0,2450,0,15.6404
48,1,Y2,0,119779,0,1669,0,15.2876
49,1,X1,712692,355184,43214,21727,2.73312,2.79588
49,1,X2,354734,177762,21556,10653,2.6729,2.78034
49,1,Y1,0,321170,0,19711,0,2.77551
49,1,Y2,0,211776,0,12669,0,2.81451
50,1,X1,803753,400453,74321,37371,2.37208,2.37676
50,1,X2,399617,200455,37013,18503,2.37498,2.33027
50,1,Y1,0,361867,0,33586,0,2.35958
50,1,Y2,0,239041,0,22288,0,2.36405
51,1,X1,796151,396252,83137,42078,2.84285,2.87606
51,1,X2,394433,197503,41829,21036,2.85003,2.86352
51,1,Y1,0,357930,0,37979,0,2.88688
51,1,Y2,0,235825,0,25135,0,2.84921
52,1,X1,794202,396114,84460,41672,3.54808,3.50425
52,1,X2,393866,197429,42350,20821,3.59133,3.57509
52,1,Y1,0,357213,0,37948,0,3.53431
52,1,Y2,0,236330,0,24545,0,3.51787
53,1,X1,791954,394916,85040,42551,4.15252,4.19337
53,1,X2,392416,196543,42318,21190,4.13455,4.16536
53,1,Y1,0,355641,0,38371,0,4.19718
53,1,Y2,0,235818,0,25370,0,4.16421
54,1,X1,788330,392974,86086,43174,4.71219,4.72731
54,1,X2,390394,194962,42548,21372,4.68563,4.73086
54,1,Y1,0,353607,0,38822,0,4.75383
54,1,Y2,0,234329,0,25724,0,4.69025
55,1,X1,783730,390345,86272,43369,5.22058,5.22311
55,1,X2,388006,194110,42682,21411,5.24825,5.2389
55,1,Y1,0,351121,0,38914,0,5.23516
55,1,Y2,0,233334,0,25866,0,5.21805
56,1,X1,777629,387748,87385,43544,5.69657,5.72028
56,1,X2,385381,192523,42947,21737,5.69532,5.72158
56,1,Y1,0,348652,0,39192,0,5.70491
56,1,Y2,0,231619,0,26089,0,5.74445
57,1,X1,772567,385590,87422,43730,6.14352,6.11992
57,1,X2,382203,190711,43480,21442,6.14289,6.16281
57,1,Y1,0,346329,0,39343,0,6.1567
57,1,Y2,0,229972,0,25829,0,6.0995
58,1,X1,766461,381737,87705,44058,6.5191,6.52036
58,1,X2,378865,189637,43927,21554,6.52341,6.56774
58,1,Y1,0,343203,0,39433,0,6.5271
58,1,Y2,0,228171,0,26179,0,6.54922
59,1,X1,758971,379162,88530,43923,6.89913,6.91899
59,1,X2,375153,187701,43602,21770,6.91656,6.93156
59,1,Y1,0,340433,0,39428,0,6.93299
59,1,Y2,0,226430,0,26265,0,6.9084
60,1,X1,752765,376092,88132,44326,7.24898,7.22326
60,1,X2,371759,185039,43572,22210,7.24119,7.25741
60,1,Y1,0,337343,0,40076,0,7.24154
60,1,Y2,0,223788,0,26460,0,7.22423
61,1,X1,745640,371525,88071,44306,7.51476,7.53279
61,1,X2,369000,183872,43659,21733,7.49962,7.558
61,1,Y1,0,334093,0,39571,0,7.55038
61,1,Y2,0,221304,0,26468,0,7.5272
62,1,X1,738538,368412,88853,43878,7.77886,7.76751
62,1,X2,365170,181541,43929,22042,7.81604,7.81599
62,1,Y1,0,330797,0,39543,0,7.80239
62,1,Y2,0,219156,0,26377,0,7.75573
63,1,X1,731180,365902,88797,44159,7.98142,7.98032
63,1,X2,361054,179187,43847,21757,7.96789,8.06517
63,1,Y1,0,327986,0,39753,0,8.00194
63,1,Y2,0,217103,0,26163,0,8.01804
64,1,X1,723595,361497,87963,44195,8.18752,8.13178
64,1,X2,358827,178547,43371,21631,8.1593,8.18584
64,1,Y1,0,324852,0,39436,0,8.15405
64,1,Y2,0,215192,0,26390,0,8.14282
65,1,X1,717705,359142,87203,43582,8.37039,8.31412
65,1,X2,355257,177003,43621,21688,8.39199,8.37528
65,1,Y1,0,322360,0,39275,0,8.33571
65,1,Y2,0,213785,0,25995,0,8.33253
66,1,X1,782393,391494,86608,43341,8.47611,8.46136
66,1,X2,386169,191582,42948,21627,8.50072,8.43464
