Time, NodeID, Gender, AgeYears, NumIndividuals, NumInfected
48,1,F,80,68,15
48,1,F,125,89,18
49,2,M,40,87,26
49,2,M,80,92,6
49,2,M,125,88,16
49,2,F,40,76,15
49,2,F,80,87,16
49,2,F,125,92,14
49,1,M,40,88,14
49,1,M,80,78,8
49,1,M,125,77,11
49,1,F,40,79,14
49,1,F,80,70,13
49,1,F,125,86,16
50,2,M,40,94,28
50,2,M,80,91,6
50,2,M,125,88,15
50,2,F,40,82,17
50,2,F,80,82,14
50,2,F,125,88,14
50,1,M,40,81,8
50,1,M,80,79,7
50,1,M,125,77,10
50,1,F,40,73,11
50,1,F,80,75,13
50,1,F,125,90,13
51,2,M,40,92,25
51,2,M,80,90,3
51,2,M,125,90,12
51,2,F,40,87,16
51,2,F,80,84,15
51,2,F,125,89,14
51,1,M,40,82,10
51,1,M,80,81,5
51,1,M,125,75,14
51,1,F,40,68,10
51,1,F,80,73,12
51,1,F,125,89,14
52,2,M,40,96,28
52,2,M,80,91,3
52,2,M,125,91,12
52,2,F,40,82,13
52,2,F,80,80,14
52,2,F,125,88,11
52,1,M,40,78,9
52,1,M,80,80,5
52,1,M,125,74,16
52,1,F,40,73,9
52,1,F,80,77,12
52,1,F,125,90,13
53,2,M,40,96,21
53,2,M,80,93,4
53,2,M,125,92,13
53,2,F,40,75,10
53,2,F,80,80,13
53,2,F,125,83,13
53,1,M,40,78,12
53,1,M,80,78,5
53,1,M,125,73,14
53,1,F,40,80,13
53,1,F,80,77,13
53,1,F,125,95,11
54,2,M,40,98,18
54,2,M,80,89,4
54,2,M,125,92,11
54,2,F,40,64,7
54,2,F,80,84,12
54,2,F,125,76,13
54,1,M,40,76,12
54,1,M,80,82,7
54,1,M,125,73,11
54,1,F,40,91,18
54,1,F,80,73,13
54,1,F,125,102,13
55,2,M,40,91,16
55,2,M,80,86,6
55,2,M,125,83,13
55,2,F,40,66,9
55,2,F,80,79,9
55,2,F,125,77,12
55,1,M,40,83,11
55,1,M,80,85,6
55,1,M,125,82,10
55,1,F,40,89,21
55,1,F,80,78,15
55,1,F,125,101,14
56,2,M,40,90,13
56,2,M,80,84,8
56,2,M,125,81,13
56,2,F,40,68,11
56,2,F,80,78,7
56,2,F,125,86,11
56,1,M,40,84,13
56,1,M,80,87,5
56,1,M,125,84,11
56,1,F,40,87,18
56,1,F,80,79,16
56,1,F,125,92,12
57,2,M,40,92,13
57,2,M,80,88,5
57,2,M,125,80,11
57,2,F,40,71,10
57,2,F,80,75,8
57,2,F,125,86,11
57,1,M,40,82,14
57,1,M,80,83,4
57,1,M,125,85,11
57,1,F,40,84,17
57,1,F,80,82,16
57,1,F,125,92,12
58,2,M,40,91,11
58,2,M,80,85,5
58,2,M,125,78,13
58,2,F,40,67,11
58,2,F,80,84,7
58,2,F,125,86,12
58,1,M,40,83,13
58,1,M,80,86,5
58,1,M,125,87,10
58,1,F,40,88,12
58,1,F,80,73,16
58,1,F,125,92,10
