Year, NodeId, Gender, Age, Population, Infected CD4 Under 200 (Not On ART), Infected CD4 200 To 349 (Not On ART), Infected CD4 350 To 499 (Not On ART), Infected CD4 500 Plus (Not On ART), Infected, Newly Infected, On_ART, Died, Died_from_HIV, Tested Past Year or On_ART, Tested Ever, Diagnosed, Newly Tested Positive, Newly Tested Negative
1962.99,1,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,0,64,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1962.99,1,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,0,77,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1962.99,1,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,1,5,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1962.99,1,1,6,4,0,2,1,1,4,0,0,0,0,0,0,0,0,0
1962.99,1,1,7,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1962.99,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,1,13,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1962.99,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,1,17,3,1,1,1,0,3,0,0,0,0,0,0,0,0,0
1962.99,1,1,18,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1962.99,1,1,19,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1962.99,1,1,20,2,1,0,0,1,2,0,0,0,0,0,0,0,0,0
1962.99,1,1,21,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1962.99,1,1,22,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0
1962.99,1,1,23,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1962.99,1,1,24,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1962.99,1,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,1,27,2,1,0,1,0,2,0,0,0,0,0,0,0,0,0
1962.99,1,1,28,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1962.99,1,1,29,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1962.99,1,1,30,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1962.99,1,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
