Time,NodeID,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor,arabiensis_AvailableHabitat,funestus_AvailableHabitat,gambiae_AvailableHabitat,arabiensis_EggCrowdingCorrection,funestus_EggCrowdingCorrection,gambiae_EggCrowdingCorrection,NumInfectousBitesGiven,NumInfectousBitesReceived,InfectiousBitesGivenMinusReceived
2,14,0,74,0,0,74,72,0,3632,5800,2900,0,0,0,0,0,0,11,0,0,2255.02,86.5299,176.446,1,0.0934469,0.0553424,0,0,0
2,12,15,74,0,0,74,64,0,3689,5400,2700,22,0,5,0,0,0,5,0,0,2207.02,90.5299,163.446,1,0.0253443,0.0644021,0,0,0
2,10,10,35,0,0,35,39,0,1645,2000,1000,10,0,0,0,0,0,3,0,0,1305.51,41.765,82.7231,1,0.0243788,0.0401712,0,0,0
2,8,10,73,0,0,73,71,0,4013,5200,2600,20,0,5,0,0,0,8,0,0,1861.02,107.53,168.446,1,0.0414646,0.0621294,0,0,0
2,6,8,83,0,0,83,80,0,4395,6000,3000,25,0,5,0,0,0,4,0,0,1473.02,101.53,180.446,1,0.0614646,0.0831582,0,0,0
2,4,6,33,0,0,33,36,0,1821,2200,1100,7,0,3,0,0,0,7,0,0,1128.51,39.765,85.7231,1,0.018649,0.0661186,0,0,0
2,2,10,56,0,0,56,57,0,3056,3600,1800,16,0,2,0,0,0,4,0,0,2849.02,73.5299,171.446,1,0.0647575,0.0541095,0,0,0
3,25,1,63,0,0,63,60,0,5280,4600,2300,20,0,3,0,0,0,7,0,0,1969.41,104.575,176.267,1,0.118162,0.077021,0,0,0
3,23,15,116,0,0,116,129,0,12181,7400,3700,29,0,6,0,0,0,16,0,0,24191,464.873,814.337,1,0.129309,0.329704,0,0,0
3,21,0,265,0,0,265,245,0,25363,200,100,0,0,0,0,0,0,31,0,0,47311.1,940.746,1687.67,1,0.153089,0.202495,0,0,0
3,19,11,56,0,0,56,60,0,4937,3800,1900,17,0,2,0,0,0,7,0,0,2315.41,105.575,172.267,1,0.0497389,0.118176,0,0,0
3,17,4,142,0,0,142,122,0,12937,9800,4900,40,0,8,0,0,0,10,0,0,23399,449.873,865.337,1,0.155232,0.152635,0,0,0
3,15,6,68,0,0,68,61,0,4330,4000,2000,12,0,6,0,0,0,5,0,0,2934.41,98.5746,167.267,1,0.040265,0.0501312,0,0,0
