Time,NodeID,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor,MigrationFromCountLocal,MigrationFromCountRegional,arabiensis_AvailableHabitat,funestus_AvailableHabitat,gambiae_AvailableHabitat,arabiensis_EggCrowdingCorrection,funestus_EggCrowdingCorrection,gambiae_EggCrowdingCorrection,NumInfectousBitesGiven,NumInfectousBitesReceived,InfectiousBitesGivenMinusReceived
1,2,18,88,0,0,88,82,0,2852,5400,2700,27,0,3,0,0,0,7,0,0,12,9,1638.16,73.7575,145.685,1,0.0829167,0.152857,0,0,0
1,1,11,72,0,0,72,81,0,2257,4000,2000,20,0,2,0,0,0,17,0,0,6,9,2238.16,88.7575,125.685,1,0.124375,0.117582,0,0,0
2,26,0,741,0,0,741,714,0,42889,54000,27000,0,0,0,0,0,0,75,0,0,0,0,74896.3,1750.6,3463.92,1,0.0900094,0.152701,0,0,0
2,25,2,80,0,0,80,75,0,4361,5200,2600,21,0,5,0,0,0,14,0,0,7,9,1510.02,101.53,177.446,1,0.0419696,0.026672,0,0,0
2,24,18,68,0,0,68,76,0,3248,4800,2400,21,0,3,0,0,0,19,0,0,18,10,2650.02,90.5299,161.446,1,0.0564646,0.051952,0,0,0
2,23,30,119,0,0,119,148,0,10525,8200,4100,40,0,5,0,0,0,20,0,0,19,21,18966.1,442.65,816.231,1,0.0961399,0.176356,0,0,0
2,22,0,191,0,0,191,283,0,17839,13000,6500,0,0,0,0,0,0,11,0,0,37,31,41136.2,864.299,1660.46,1,0.21516,0.239141,0,0,0
2,21,0,220,0,0,220,269,0,19652,14000,7000,0,0,0,0,0,0,31,0,0,28,27,39320.2,881.299,1646.46,1,0.115762,0.179856,0,0,0
2,20,20,99,0,0,99,74,0,3850,5400,2700,29,0,1,0,0,0,9,0,0,20,14,2055.02,79.5299,165.446,1,0.032617,0.0481017,0,0,0
2,19,20,85,0,0,85,72,0,4483,6000,3000,29,0,7,0,0,0,7,0,0,25,10,1405.02,88.5299,173.446,0.799344,0.033649,0.0671864,0,0,0
2,18,21,106,0,0,106,71,0,3933,5400,2700,35,0,4,0,0,0,12,0,0,24,13,1967.02,79.5299,170.446,1,0.0306277,0.0344212,0,0,0
2,17,11,137,0,0,137,139,0,10705,8800,4400,48,0,7,0,0,0,17,0,0,40,17,18758.1,408.65,878.231,1,0.14671,0.201301,0,0,0
2,16,0,201,0,0,201,293,0,19112,11800,5900,0,0,0,0,0,0,24,0,0,37,31,39850.2,867.299,1670.46,1,0.146649,0.186822,0,0,0
2,15,10,67,0,0,67,76,0,3305,2800,1400,12,0,2,0,0,0,5,0,0,7,14,2603.02,83.5299,158.446,1,0.0219875,0.0623686,0,0,0
2,14,0,74,0,0,74,75,0,3595,5000,2500,0,0,0,0,0,0,13,0,0,11,11,2304.02,91.5299,159.446,1,0.0343097,0.0644021,0,0,0
2,13,21,77,0,0,77,74,0,4223,3400,1700,18,0,5,0,0,0,8,0,0,25,14,1661.02,95.5299,170.446,1,0.0354208,0.0721294,0,0,0
2,12,30,85,0,0,85,65,0,4428,5000,2500,29,0,1,0,0,0,4,0,0,23,5,1487.02,83.5299,151.446,1,0.0257323,0.0803112,0,0,0
2,11,20,129,0,0,129,139,0,8786,5800,2900,28,0,10,0,0,0,19,0,0,17,20,20696.1,420.65,847.231,1,0.104941,0.135449,0,0,0
2,10,20,65,0,0,65,34,0,2211,4600,2300,23,0,3,0,0,0,9,0,0,13,11,728.508,44.765,90.7231,0.819081,0.0181277,0.046464,0,0,0
2,9,20,84,0,0,84,66,0,3514,5400,2700,28,0,3,0,0,0,6,0,0,25,15,2379.02,83.5299,173.446,1,0.0681313,0.0382458,0,0,0
2,8,21,70,0,0,70,68,0,2930,6600,3300,34,0,3,0,0,0,9,0,0,17,14,2985.02,78.5299,156.446,1,0.0648268,0.0914039,0,0,0
2,7,0,99,0,0,99,67,0,4469,7200,3600,0,0,0,0,0,0,10,0,0,38,10,1444.02,68.5299,168.446,0.656487,0.0647979,0.0726026,0,0,0
2,6,21,91,0,0,91,73,0,4454,6000,3000,32,0,2,0,0,0,13,0,0,14,17,1440.02,84.5299,171.446,1,0.0379734,0.0393907,0,0,0
2,5,28,64,0,0,64,38,0,1620,4200,2100,18,0,6,0,0,0,7,0,0,4,11,1304.51,55.765,94.7231,1,0.0302367,0.0841779,0,0,0
2,4,9,55,0,0,55,41,0,1890,4800,2400,26,0,1,0,0,0,12,0,0,7,12,1081.51,38.765,64.7231,1,0.0344823,0.074452,0,0,0
2,3,2,78,0,0,78,76,0,3683,4800,2400,22,0,2,0,0,0,9,0,0,14,8,2230.02,75.5299,161.446,1,0.0681313,0.0575616,0,0,0
2,2,20,77,0,0,77,76,0,4008,4200,2100,21,0,3,0,0,0,17,0,0,18,14,1896.02,76.5299,169.446,1,0.0921969,0.0428484,0,0,0
2,1,10,74,0,0,74,71,0,2836,5600,2800,23,0,8,0,0,0,12,0,0,13,11,3060.02,83.5299,170.446,1,0.0633982,0.0628424,0,0,0
3,26,20,671,0,0,671,635,0,60448,1600,800,507,0,90,0,0,0,70,0,0,0,0,84898.1,1830.49,3428.35,1,0.115171,0.154639,0,0,0
3,25,2,83,0,0,83,65,0,5749,4600,2300,22,0,5,0,0,0,9,0,0,6,15,1500.41,86.5746,194.267,0.94376,0.0725214,0.0806573,0,0,0
3,24,20,63,0,0,63,66,0,5002,3800,1900,22,0,1,0,0,0,5,0,0,10,7,2257.41,103.575,167.267,1,0.0565812,0.115319,0,0,0
3,23,30,106,0,0,106,130,0,12771,5800,2900,31,0,4,0,0,0,9,0,0,26,18,23552,466.873,861.337,1,0.14755,0.255072,0,0,0
