Time,NodeID,Alleles,VectorPopulation
67,1,Y,0
68,1,Ad,0
68,1,Am,0
68,1,Aw,99699
68,1,Bd,0
68,1,Bm,0
68,1,Bw,99699
68,1,Ce,0
68,1,Cm,0
68,1,Cw,99699
68,1,X,99699
68,1,Y,0
69,1,Ad,0
69,1,Am,0
69,1,Aw,99763
69,1,Bd,0
69,1,Bm,0
69,1,Bw,99763
69,1,Ce,0
69,1,Cm,0
69,1,Cw,99763
69,1,X,99763
69,1,Y,0
70,1,Ad,0
70,1,Am,0
70,1,Aw,98588
70,1,Bd,0
70,1,Bm,0
70,1,Bw,98588
70,1,Ce,0
70,1,Cm,0
70,1,Cw,98588
70,1,X,98588
70,1,Y,0
71,1,Ad,0
71,1,Am,0
71,1,Aw,98560
71,1,Bd,0
71,1,Bm,0
71,1,Bw,98560
71,1,Ce,0
71,1,Cm,0
71,1,Cw,98560
71,1,X,98560
71,1,Y,0
72,1,Ad,0
72,1,Am,0
72,1,Aw,98378
72,1,Bd,0
72,1,Bm,0
72,1,Bw,98378
72,1,Ce,0
72,1,Cm,0
72,1,Cw,98378
72,1,X,98378
72,1,Y,0
73,1,Ad,0
73,1,Am,0
73,1,Aw,97213
73,1,Bd,0
73,1,Bm,0
73,1,Bw,97213
73,1,Ce,0
73,1,Cm,0
73,1,Cw,97213
73,1,X,97213
73,1,Y,0
74,1,Ad,0
74,1,Am,0
74,1,Aw,97118
74,1,Bd,0
74,1,Bm,0
74,1,Bw,97118
74,1,Ce,0
74,1,Cm,0
74,1,Cw,97118
74,1,X,97118
74,1,Y,0
75,1,Ad,0
75,1,Am,0
75,1,Aw,97015
75,1,Bd,0
75,1,Bm,0
75,1,Bw,97015
75,1,Ce,0
75,1,Cm,0
75,1,Cw,97015
75,1,X,97015
75,1,Y,0
76,1,Ad,0
76,1,Am,0
76,1,Aw,96455
76,1,Bd,0
76,1,Bm,0
76,1,Bw,96455
76,1,Ce,0
76,1,Cm,0
76,1,Cw,96455
76,1,X,96455
76,1,Y,0
77,1,Ad,0
77,1,Am,0
77,1,Aw,96430
77,1,Bd,0
77,1,Bm,0
77,1,Bw,96430
77,1,Ce,0
77,1,Cm,0
77,1,Cw,96430
77,1,X,96430
77,1,Y,0
78,1,Ad,0
78,1,Am,0
78,1,Aw,96146
78,1,Bd,0
78,1,Bm,0
78,1,Bw,96146
78,1,Ce,0
78,1,Cm,0
78,1,Cw,96146
78,1,X,96146
78,1,Y,0
79,1,Ad,0
79,1,Am,0
79,1,Aw,95546
79,1,Bd,0
79,1,Bm,0
79,1,Bw,95546
79,1,Ce,0
79,1,Cm,0
79,1,Cw,95546
79,1,X,95546
79,1,Y,0
80,1,Ad,0
80,1,Am,0
80,1,Aw,95474
80,1,Bd,0
80,1,Bm,0
80,1,Bw,95474
80,1,Ce,0
80,1,Cm,0
80,1,Cw,95474
80,1,X,95474
80,1,Y,0
81,1,Ad,0
81,1,Am,0
81,1,Aw,95584
81,1,Bd,0
81,1,Bm,0
81,1,Bw,95584
81,1,Ce,0
81,1,Cm,0
81,1,Cw,95584
81,1,X,95584
81,1,Y,0
82,1,Ad,0
82,1,Am,0
82,1,Aw,95327
82,1,Bd,0
82,1,Bm,0
82,1,Bw,95327
82,1,Ce,0
82,1,Cm,0
82,1,Cw,95327
82,1,X,95327
82,1,Y,0
83,1,Ad,0
83,1,Am,0
83,1,Aw,95210
83,1,Bd,0
83,1,Bm,0
83,1,Bw,95210
83,1,Ce,0
83,1,Cm,0
83,1,Cw,95210
83,1,X,95210
83,1,Y,0
84,1,Ad,0
84,1,Am,0
84,1,Aw,99105
84,1,Bd,0
84,1,Bm,0
84,1,Bw,99105
84,1,Ce,0
84,1,Cm,0
84,1,Cw,99105
84,1,X,99105
84,1,Y,0
85,1,Ad,0
85,1,Am,0
85,1,Aw,97498
85,1,Bd,0
85,1,Bm,0
85,1,Bw,97498
85,1,Ce,0
85,1,Cm,0
85,1,Cw,97498
85,1,X,97498
85,1,Y,0
86,1,Ad,0
86,1,Am,0
86,1,Aw,98015
86,1,Bd,0
86,1,Bm,0
86,1,Bw,98015
86,1,Ce,0
86,1,Cm,0
86,1,Cw,98015
86,1,X,98015
86,1,Y,0
87,1,Ad,0
87,1,Am,0
87,1,Aw,97988
87,1,Bd,0
87,1,Bm,0
87,1,Bw,97988
87,1,Ce,0
87,1,Cm,0
87,1,Cw,97988
87,1,X,97988
87,1,Y,0
88,1,Ad,0
88,1,Am,0
88,1,Aw,97665
88,1,Bd,0
88,1,Bm,0
88,1,Bw,97665
88,1,Ce,0
88,1,Cm,0
88,1,Cw,97665
88,1,X,97665
88,1,Y,0
89,1,Ad,0
89,1,Am,0
89,1,Aw,97878
89,1,Bd,0
89,1,Bm,0
89,1,Bw,97878
89,1,Ce,0
89,1,Cm,0
89,1,Cw,97878
89,1,X,97878
89,1,Y,0
90,1,Ad,0
90,1,Am,0
90,1,Aw,98063
90,1,Bd,0
90,1,Bm,0
90,1,Bw,98063
90,1,Ce,0
90,1,Cm,0
90,1,Cw,98063
90,1,X,98063
90,1,Y,0
91,1,Ad,0
91,1,Am,0
91,1,Aw,97899
91,1,Bd,0
91,1,Bm,0
91,1,Bw,97899
91,1,Ce,0
91,1,Cm,0
91,1,Cw,97899
91,1,X,97899
91,1,Y,0
92,1,Ad,0
92,1,Am,0
92,1,Aw,97669
92,1,Bd,0
92,1,Bm,0
92,1,Bw,97669
92,1,Ce,0
92,1,Cm,0
92,1,Cw,97669
92,1,X,97669
92,1,Y,0
93,1,Ad,0
93,1,Am,0
93,1,Aw,97535
93,1,Bd,0
93,1,Bm,0
93,1,Bw,97535
93,1,Ce,0
93,1,Cm,0
93,1,Cw,97535
93,1,X,97535
93,1,Y,0
94,1,Ad,0
94,1,Am,0
94,1,Aw,97530
94,1,Bd,0
94,1,Bm,0
94,1,Bw,97530
94,1,Ce,0
94,1,Cm,0
94,1,Cw,97530
94,1,X,97530
94,1,Y,0
95,1,Ad,0
95,1,Am,0
95,1,Aw,97632
95,1,Bd,0
95,1,Bm,0
95,1,Bw,97632
95,1,Ce,0
95,1,Cm,0
95,1,Cw,97632
95,1,X,97632
95,1,Y,0
96,1,Ad,0
96,1,Am,0
96,1,Aw,97413
96,1,Bd,0
96,1,Bm,0
96,1,Bw,97413
96,1,Ce,0
96,1,Cm,0
96,1,Cw,97413
96,1,X,97413
96,1,Y,0
97,1,Ad,0
97,1,Am,0
97,1,Aw,97201
97,1,Bd,0
97,1,Bm,0
97,1,Bw,97201
97,1,Ce,0
97,1,Cm,0
97,1,Cw,97201
97,1,X,97201
97,1,Y,0
98,1,Ad,0
98,1,Am,0
98,1,Aw,97063
98,1,Bd,0
98,1,Bm,0
98,1,Bw,97063
98,1,Ce,0
98,1,Cm,0
98,1,Cw,97063
98,1,X,97063
98,1,Y,0
99,1,Ad,0
99,1,Am,0
99,1,Aw,96856
99,1,Bd,0
99,1,Bm,0
99,1,Bw,96856
99,1,Ce,0
99,1,Cm,0
99,1,Cw,96856
99,1,X,96856
99,1,Y,0
100,1,Ad,0
100,1,Am,0
100,1,Aw,96951
100,1,Bd,0
100,1,Bm,0
100,1,Bw,96951
100,1,Ce,0
100,1,Cm,0
100,1,Cw,96951
100,1,X,96951
100,1,Y,0
101,1,Ad,0
101,1,Am,0
101,1,Aw,96798
101,1,Bd,0
101,1,Bm,0
101,1,Bw,96798
101,1,Ce,0
101,1,Cm,0
101,1,Cw,96798
101,1,X,96798
101,1,Y,0
102,1,Ad,0
102,1,Am,0
102,1,Aw,97457
102,1,Bd,0
102,1,Bm,0
102,1,Bw,97457
102,1,Ce,0
102,1,Cm,0
102,1,Cw,97457
102,1,X,97457
102,1,Y,0
103,1,Ad,0
103,1,Am,0
103,1,Aw,96748
103,1,Bd,0
103,1,Bm,0
103,1,Bw,96748
103,1,Ce,0
103,1,Cm,0
103,1,Cw,96748
103,1,X,96748
103,1,Y,0
104,1,Ad,0
104,1,Am,0
104,1,Aw,97149
104,1,Bd,0
104,1,Bm,0
104,1,Bw,97149
104,1,Ce,0
104,1,Cm,0
104,1,Cw,97149
104,1,X,97149
104,1,Y,0
105,1,Ad,0
105,1,Am,0
105,1,Aw,97027
105,1,Bd,0
105,1,Bm,0
105,1,Bw,97027
105,1,Ce,0
105,1,Cm,0
105,1,Cw,97027
105,1,X,97027
105,1,Y,0
106,1,Ad,0
106,1,Am,0
106,1,Aw,97136
106,1,Bd,0
106,1,Bm,0
106,1,Bw,97136
106,1,Ce,0
106,1,Cm,0
106,1,Cw,97136
106,1,X,97136
106,1,Y,0
107,1,Ad,0
107,1,Am,0
107,1,Aw,97174
107,1,Bd,0
107,1,Bm,0
107,1,Bw,97174
107,1,Ce,0
107,1,Cm,0
107,1,Cw,97174
107,1,X,97174
107,1,Y,0
108,1,Ad,0
108,1,Am,0
108,1,Aw,96947
108,1,Bd,0
108,1,Bm,0
108,1,Bw,96947
108,1,Ce,0
108,1,Cm,0
108,1,Cw,96947
108,1,X,96947
108,1,Y,0
109,1,Ad,0
109,1,Am,0
109,1,Aw,96954
109,1,Bd,0
109,1,Bm,0
109,1,Bw,96954
109,1,Ce,0
109,1,Cm,0
109,1,Cw,96954
109,1,X,96954
109,1,Y,0
110,1,Ad,0
110,1,Am,0
110,1,Aw,96911
110,1,Bd,0
110,1,Bm,0
110,1,Bw,96911
110,1,Ce,0
110,1,Cm,0
110,1,Cw,96911
110,1,X,96911
110,1,Y,0
111,1,Ad,0
111,1,Am,0
111,1,Aw,96829
111,1,Bd,0
111,1,Bm,0
111,1,Bw,96829
111,1,Ce,0
111,1,Cm,0
111,1,Cw,96829
111,1,X,96829
111,1,Y,0
112,1,Ad,0
112,1,Am,0
112,1,Aw,97305
112,1,Bd,0
112,1,Bm,0
112,1,Bw,97305
112,1,Ce,0
112,1,Cm,0
112,1,Cw,97305
112,1,X,97305
112,1,Y,0
113,1,Ad,0
113,1,Am,0
113,1,Aw,97350
113,1,Bd,0
113,1,Bm,0
113,1,Bw,97350
113,1,Ce,0
113,1,Cm,0
113,1,Cw,97350
113,1,X,97350
113,1,Y,0
114,1,Ad,0
114,1,Am,0
114,1,Aw,97661
114,1,Bd,0
114,1,Bm,0
114,1,Bw,97661
114,1,Ce,0
114,1,Cm,0
114,1,Cw,97661
114,1,X,97661
114,1,Y,0
115,1,Ad,0
115,1,Am,0
115,1,Aw,97638
115,1,Bd,0
115,1,Bm,0
115,1,Bw,97638
115,1,Ce,0
115,1,Cm,0
115,1,Cw,97638
115,1,X,97638
115,1,Y,0
116,1,Ad,0
116,1,Am,0
116,1,Aw,97548
116,1,Bd,0
116,1,Bm,0
116,1,Bw,97548
116,1,Ce,0
116,1,Cm,0
116,1,Cw,97548
116,1,X,97548
116,1,Y,0
117,1,Ad,0
117,1,Am,0
117,1,Aw,97498
117,1,Bd,0
117,1,Bm,0
117,1,Bw,97498
117,1,Ce,0
117,1,Cm,0
117,1,Cw,97498
117,1,X,97498
117,1,Y,0
118,1,Ad,0
118,1,Am,0
118,1,Aw,97410
118,1,Bd,0
118,1,Bm,0
118,1,Bw,97410
118,1,Ce,0
118,1,Cm,0
118,1,Cw,97410
118,1,X,97410
118,1,Y,0
119,1,Ad,0
119,1,Am,0
119,1,Aw,97454
119,1,Bd,0
119,1,Bm,0
119,1,Bw,97454
119,1,Ce,0
119,1,Cm,0
119,1,Cw,97454
119,1,X,97454
119,1,Y,0
120,1,Ad,0
120,1,Am,0
120,1,Aw,97493
120,1,Bd,0
120,1,Bm,0
120,1,Bw,97493
120,1,Ce,0
120,1,Cm,0
120,1,Cw,97493
120,1,X,97493
120,1,Y,0
121,1,Ad,0
121,1,Am,0
121,1,Aw,97390
121,1,Bd,0
121,1,Bm,0
121,1,Bw,97390
121,1,Ce,0
121,1,Cm,0
121,1,Cw,97390
121,1,X,97390
121,1,Y,0
122,1,Ad,0
122,1,Am,0
122,1,Aw,97638
122,1,Bd,0
122,1,Bm,0
122,1,Bw,97638
122,1,Ce,0
122,1,Cm,0
122,1,Cw,97638
122,1,X,97638
122,1,Y,0
123,1,Ad,0
123,1,Am,0
123,1,Aw,97410
123,1,Bd,0
123,1,Bm,0
123,1,Bw,97410
123,1,Ce,0
123,1,Cm,0
123,1,Cw,97410
123,1,X,97410
123,1,Y,0
124,1,Ad,0
124,1,Am,0
124,1,Aw,97558
124,1,Bd,0
124,1,Bm,0
