Time,NodeID,Species,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor,MigrationFromCountLocal,MigrationFromCountRegional,AvailableHabitat,EggCrowdingCorrection
19,340461476,pyrethroid_resistant,1000,9973,0,0,9973,11328,23389,171066,46400,23200,1117,0,1177,0,2356,0,867,112,115,0,0,24604.1,0.4901
19,340461476,carbamate_resistant,1000,9974,0,0,9974,11365,23443,170981,48800,24400,1156,0,1096,0,2227,0,852,94,112,0,0,24689.1,0.436047
19,340461476,organochlorines_resistant,1000,10053,0,0,10053,11483,23298,170797,44600,22300,1161,0,1117,0,2356,0,871,129,107,0,0,24873.1,0.457383
20,340461476,pyrethroid_resistant,1000,10865,0,0,10865,12608,23223,172778,673200,336600,2675,0,2571,0,2292,0,902,261,237,0,0,24684.2,0.530261
20,340461476,carbamate_resistant,1000,10843,0,0,10843,12683,23103,172932,683200,341600,2584,0,2558,0,2334,0,987,273,205,0,0,24530.2,0.505924
20,340461476,organochlorines_resistant,1000,10855,0,0,10855,12632,23218,172975,692000,346000,2695,0,2601,0,2348,0,970,300,276,0,0,24487.2,0.557693
21,340461476,pyrethroid_resistant,1000,11774,0,0,11774,13595,22955,174355,289400,144700,1658,0,1657,0,2275,0,1054,166,146,0,0,24688.5,0.0366669
21,340461476,carbamate_resistant,1000,11760,0,0,11760,13765,22867,174531,293400,146700,1746,0,1685,0,2253,0,993,180,163,0,0,24512.5,0.0359048
21,340461476,organochlorines_resistant,1000,11705,0,0,11705,13764,22884,174544,283000,141500,1659,0,1701,0,2202,0,1019,151,182,0,0,24499.5,0.0353861
22,340461476,pyrethroid_resistant,1000,12564,0,0,12564,14487,22565,176125,317400,158700,1706,0,1734,0,2278,0,1134,190,164,0,0,24313.8,0.0853092
22,340461476,carbamate_resistant,1000,12585,0,0,12585,14673,22612,175980,315800,157900,1782,0,1661,0,2304,0,1123,184,172,0,0,24458.8,0.0835463
22,340461476,organochlorines_resistant,1000,12535,0,0,12535,14776,22818,176105,323000,161500,1693,0,1698,0,2220,0,1064,167,159,0,0,24333.8,0.0865706
23,340461476,pyrethroid_resistant,1000,13010,0,0,13010,15394,22438,177264,741800,370900,2790,0,2695,0,2161,0,1218,238,259,0,0,24406,0.076603
23,340461476,carbamate_resistant,1000,13045,0,0,13045,15503,22342,177298,734800,367400,2808,0,2663,0,2183,0,1181,289,253,0,0,24372,0.0774503
23,340461476,organochlorines_resistant,1000,13092,0,0,13092,15602,22487,177529,747400,373700,2773,0,2686,0,2256,0,1166,266,267,0,0,24141,0.0753368
24,340461476,pyrethroid_resistant,1000,13527,0,0,13527,16263,27292,173131,470000,235000,2047,0,2072,0,2162,0,1231,205,209,0,0,29625.4,0.0329011
24,340461476,carbamate_resistant,1000,13590,0,0,13590,16320,27528,172910,486800,243400,2098,0,2106,0,2154,0,1215,202,192,0,0,29846.4,0.0331682
24,340461476,organochlorines_resistant,1000,13646,0,0,13646,16386,27414,172893,477600,238800,2175,0,2060,0,2260,0,1251,241,214,0,0,29863.4,0.0323
25,340461476,pyrethroid_resistant,1000,13986,0,0,13986,16849,28192,178101,489000,244500,2122,0,2066,0,2160,0,1271,226,204,0,0,25614,0.0630327
25,340461476,carbamate_resistant,1000,14041,0,0,14041,16842,28518,178451,488200,244100,2104,0,2074,0,2189,0,1340,194,204,0,0,25264,0.0613114
25,340461476,organochlorines_resistant,1000,14105,0,0,14105,16980,28497,178665,487800,243900,2083,0,2191,0,2113,0,1245,189,220,0,0,25050,0.062528
26,340461476,pyrethroid_resistant,1000,14050,0,157,13893,17322,29949,178009,774400,387200,2819,0,2714,0,2087,0,1413,314,296,0,0,26551.9,0.0523804
26,340461476,carbamate_resistant,1000,14435,0,179,14256,17347,29946,178003,776800,388400,2867,0,2726,0,2260,0,1318,276,272,0,0,26557.9,0.0517493
26,340461476,organochlorines_resistant,1000,14480,0,122,14358,17661,29847,177912,784600,392300,2849,0,2737,0,2185,0,1251,298,261,0,0,26648.9,0.051353
27,340461476,pyrethroid_resistant,1000,14427,0,272,14155,17877,30897,179414,579800,289900,2284,0,2233,0,2224,0,1392,223,232,0,0,25893.2,0.034287
27,340461476,carbamate_resistant,1000,14774,0,286,14488,17914,31383,178938,594600,297300,2358,0,2438,0,2145,0,1339,229,238,0,0,26369.2,0.0341888
27,340461476,organochlorines_resistant,1000,14738,0,231,14507,18032,31322,179120,598600,299300,2367,0,2376,0,2060,0,1357,229,216,0,0,26187.2,0.0339649
28,340461476,pyrethroid_resistant,1000,16367,0,357,16010,19974,28830,180026,573600,286800,2335,0,2320,0,3804,0,1389,232,243,0,0,25939.8,0.0446589
28,340461476,carbamate_resistant,1000,16687,0,358,16329,20098,29071,179433,587000,293500,2349,0,2262,0,3824,0,1432,239,240,0,0,26532.8,0.0443479
28,340461476,organochlorines_resistant,1000,16678,0,316,16362,20297,28688,179736,606200,303100,2289,0,2354,0,3812,0,1397,242,233,0,0,26229.8,0.0437475
29,340461476,pyrethroid_resistant,1000,16772,0,486,16286,20700,29114,180707,764080,382040,3453,0,3453,0,2611,0,1510,336,360,0,0,25840,0.0452229
29,340461476,carbamate_resistant,1000,17089,0,488,16601,20785,29229,180805,787720,393860,3473,0,3591,0,2619,0,1524,335,358,0,0,25742,0.0452007
29,340461476,organochlorines_resistant,1000,17055,0,433,16622,21097,28855,180541,780520,390260,3479,0,3496,0,2711,0,1647,334,353,0,0,26006,0.0432693
30,340461476,pyrethroid_resistant,1000,17586,0,565,17021,21660,28997,180831,642880,321440,2654,0,2675,0,2939,0,1594,268,263,0,0,26228.7,0.0338184
30,340461476,carbamate_resistant,1000,17835,0,582,17253,21707,28821,181049,665600,332800,2760,0,2699,0,2906,0,1619,293,248,0,0,26010.7,0.0326791
30,340461476,organochlorines_resistant,1000,17772,0,523,17249,21961,28990,180647,680120,340060,2804,0,2785,0,2817,0,1575,267,258,0,0,26412.7,0.0333188
31,340461476,pyrethroid_resistant,1000,18035,0,631,17404,22305,28969,181611,649440,324720,2849,0,2776,0,2699,0,1684,275,291,0,0,25901.2,0.0407988
31,340461476,carbamate_resistant,1000,18455,0,637,17818,22502,28493,181437,656880,328440,2835,0,2751,0,2913,0,1702,303,288,0,0,26075.2,0.0390786
31,340461476,organochlorines_resistant,1000,18354,0,602,17752,22805,28793,181940,652680,326340,2752,0,2799,0,2843,0,1687,284,290,0,0,25572.2,0.0388354
32,340461476,pyrethroid_resistant,1000,18358,0,734,17624,23021,28642,182064,965560,482780,3438,0,3501,0,2788,0,1766,347,352,0,0,25847.5,0.0398824
32,340461476,carbamate_resistant,1000,18801,0,707,18094,23117,28273,182108,993880,496940,3637,0,3630,0,2866,0,1810,349,361,0,0,25803.5,0.0396955
32,340461476,organochlorines_resistant,1000,18636,0,688,17948,23392,28780,181927,979040,489520,3562,0,3565,0,2762,0,1698,400,382,0,0,25984.5,0.0391803
