Year, NodeId, Gender, IP_Key:Accessibility, Age, Population, Infected, Newly Infected, On_ART, Died, Died_from_HIV, Tested Past Year or On_ART, Tested Ever HIVPos, Tested Ever HIVNeg, Tested Positive, Tested Negative
1995.5,1,0,No,99,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,0,8,1,2,0,0,0,5,1,4,1,5
1995.5,1,1,Yes,1,8,4,4,0,1,1,2,2,0,2,0
1995.5,1,1,Yes,2,12,4,8,0,2,2,2,2,0,3,0
1995.5,1,1,Yes,3,7,1,3,0,1,1,0,0,0,2,0
1995.5,1,1,Yes,4,10,5,4,0,2,2,1,1,0,3,0
1995.5,1,1,Yes,5,6,3,4,0,2,2,0,0,0,2,0
1995.5,1,1,Yes,6,5,2,4,0,3,3,0,0,0,2,0
1995.5,1,1,Yes,7,6,3,4,0,0,0,1,1,0,1,0
1995.5,1,1,Yes,8,2,1,4,0,2,2,0,0,0,1,0
1995.5,1,1,Yes,9,5,0,1,0,0,0,0,0,0,1,0
1995.5,1,1,Yes,10,4,1,2,0,3,3,0,0,0,1,0
1995.5,1,1,Yes,11,6,2,3,0,1,1,0,0,0,2,0
1995.5,1,1,Yes,12,6,2,0,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,13,6,1,2,0,2,2,0,0,0,1,0
1995.5,1,1,Yes,14,7,2,6,0,3,3,1,1,0,3,0
1995.5,1,1,Yes,15,7,4,6,0,0,0,1,0,1,1,1
1995.5,1,1,Yes,16,2,1,1,0,0,0,1,0,1,0,0
1995.5,1,1,Yes,17,4,3,3,0,0,0,1,0,1,0,1
1995.5,1,1,Yes,18,5,3,2,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,19,2,2,3,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,20,3,1,1,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,21,2,1,3,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,22,4,3,4,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,23,7,2,4,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,24,2,1,4,0,0,0,0,0,0,1,0
1995.5,1,1,Yes,25,6,3,1,1,0,0,1,1,0,0,0
1995.5,1,1,Yes,26,2,1,3,0,0,0,0,0,0,1,0
1995.5,1,1,Yes,27,1,0,1,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,28,5,5,3,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,29,4,3,3,0,0,0,0,0,0,1,0
1995.5,1,1,Yes,30,1,0,0,0,0,0,0,0,0,1,0
1995.5,1,1,Yes,31,4,3,3,0,0,0,1,1,0,1,0
1995.5,1,1,Yes,32,1,0,2,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,33,4,1,2,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,34,8,5,2,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,35,1,1,0,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,36,1,0,3,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,37,3,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,38,5,4,1,1,0,0,1,1,0,1,0
1995.5,1,1,Yes,39,7,2,1,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,40,3,2,2,0,1,0,0,0,0,0,0
1995.5,1,1,Yes,41,4,2,0,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,42,3,2,4,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,43,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,44,2,1,2,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,45,2,1,1,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,46,0,0,1,0,0,0,0,0,0,1,0
1995.5,1,1,Yes,47,2,0,1,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,48,4,2,0,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,49,0,0,1,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,50,1,1,1,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,51,3,1,1,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,52,3,2,0,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,53,1,1,2,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,54,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,55,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,56,1,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,57,1,1,2,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,58,4,2,1,0,0,0,0,0,0,1,0
1995.5,1,1,Yes,59,3,1,1,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,60,3,3,2,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,61,2,2,1,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,62,2,1,2,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,63,1,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,64,4,2,0,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,65,1,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,66,1,1,0,1,0,0,1,1,0,1,0
1995.5,1,1,Yes,67,2,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,68,2,1,1,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,69,1,1,0,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,70,1,0,2,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,71,1,0,1,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,72,0,0,1,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,73,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,74,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,75,1,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,76,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,77,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,78,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,79,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,80,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,81,0,0,1,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,82,1,1,0,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,83,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,84,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,85,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,86,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,87,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,88,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,89,1,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,90,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,91,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,92,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,93,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,94,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,95,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,96,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,97,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,98,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,Yes,99,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,0,0,0,1,0,1,1,0,0,0,0,0
1995.5,1,1,No,1,3,1,1,0,1,1,0,0,0,0,0
1995.5,1,1,No,2,1,0,2,0,0,0,0,0,0,0,0
1995.5,1,1,No,3,1,0,1,0,0,0,0,0,0,0,0
1995.5,1,1,No,4,1,0,3,0,0,0,0,0,0,0,0
1995.5,1,1,No,5,1,1,3,0,0,0,0,0,0,0,0
1995.5,1,1,No,6,4,2,1,0,0,0,0,0,0,0,0
1995.5,1,1,No,7,0,0,1,0,0,0,0,0,0,0,0
1995.5,1,1,No,8,2,0,1,0,0,0,0,0,0,0,0
1995.5,1,1,No,9,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,10,2,1,1,0,0,0,0,0,0,0,0
1995.5,1,1,No,11,2,2,0,0,0,0,0,0,0,0,0
1995.5,1,1,No,12,2,0,2,0,1,1,0,0,0,0,0
