Year, NodeId, Gender, HasHIV, On_Art_Dim, Age, Population, Infected, Newly Infected, On_ART, Died, Died_from_HIV, Tested Past Year or On_ART, Tested Ever, Diagnosed, Newly Tested Positive, Newly Tested Negative, HasIntervention(Persistant_ART),Stopped_Using_ART
1961.5,1,0,0,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.5,1,0,0,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.5,1,0,0,1,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.5,1,0,1,0,0,295,295,4,0,117,113,0,0,0,0,0,0,0
1961.5,1,0,1,0,15,272,272,3,0,2,2,0,0,0,0,0,0,0
1961.5,1,0,1,0,30,191,191,0,0,1,0,0,0,0,0,0,0,0
1961.5,1,0,1,0,45,95,95,0,0,2,0,0,0,0,0,0,0,0
1961.5,1,0,1,0,60,70,70,0,0,3,0,0,0,0,0,0,0,0
1961.5,1,0,1,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.5,1,0,1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.5,1,0,1,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.5,1,0,1,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.5,1,0,1,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.5,1,0,1,1,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.5,1,1,0,0,0,1891,0,0,0,11,0,0,0,0,0,0,0,0
1961.5,1,1,0,0,15,937,0,0,0,2,0,0,0,0,0,0,0,0
1961.5,1,1,0,0,30,776,0,0,0,3,0,0,0,0,0,0,0,0
1961.5,1,1,0,0,45,483,0,0,0,7,0,0,0,0,0,0,0,0
1961.5,1,1,0,0,60,276,0,0,0,8,0,0,0,0,0,0,0,0
1961.5,1,1,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.5,1,1,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.5,1,1,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.5,1,1,0,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.5,1,1,0,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.5,1,1,0,1,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.5,1,1,1,0,0,4,4,2,0,1,1,0,0,0,0,0,0,0
1961.5,1,1,1,0,15,167,167,95,0,0,0,0,0,0,0,0,0,0
1961.5,1,1,1,0,30,26,26,17,0,0,0,0,0,0,0,0,0,0
1961.5,1,1,1,0,45,4,4,3,0,0,0,0,0,0,0,0,0,0
1961.5,1,1,1,0,60,1,1,1,0,0,0,0,0,0,0,0,0,0
1961.5,1,1,1,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.5,1,1,1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.5,1,1,1,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.5,1,1,1,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.5,1,1,1,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.5,1,1,1,1,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1,0,0,0,0,1531,0,0,0,10,0,0,0,0,0,0,0,0
1962,1,0,0,0,15,875,0,0,0,1,0,0,0,0,0,0,0,0
1962,1,0,0,0,30,575,0,0,0,1,0,0,0,0,0,0,0,0
1962,1,0,0,0,45,352,0,0,0,11,0,0,0,0,0,0,0,0
1962,1,0,0,0,60,193,0,0,0,11,0,0,0,0,0,0,0,0
1962,1,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1,0,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1,0,0,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1,0,0,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1,0,0,1,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1,0,1,0,0,202,202,1,0,59,56,0,0,0,0,0,2,0
1962,1,0,1,0,15,233,233,2,0,5,5,0,0,0,0,0,0,0
1962,1,0,1,0,30,174,174,0,0,1,0,0,0,0,0,0,0,0
1962,1,0,1,0,45,86,86,0,0,4,3,0,0,0,0,0,0,0
1962,1,0,1,0,60,62,62,0,0,5,0,0,0,0,0,0,0,0
1962,1,0,1,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1,0,1,1,0,21,21,0,21,0,0,21,0,0,0,0,21,0
1962,1,0,1,1,15,36,36,0,36,0,0,36,0,0,0,0,36,0
1962,1,0,1,1,30,21,21,0,21,0,0,21,0,0,0,0,21,0
1962,1,0,1,1,45,7,7,0,7,0,0,7,0,0,0,0,7,0
1962,1,0,1,1,60,4,4,0,4,0,0,4,0,0,0,0,4,0
1962,1,0,1,1,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1,1,0,0,0,1934,0,0,0,9,0,0,0,0,0,0,0,0
1962,1,1,0,0,15,945,0,0,0,0,0,0,0,0,0,0,0,0
1962,1,1,0,0,30,773,0,0,0,3,0,0,0,0,0,0,0,0
1962,1,1,0,0,45,492,0,0,0,6,0,0,0,0,0,0,0,0
1962,1,1,0,0,60,273,0,0,0,11,0,0,0,0,0,0,0,0
1962,1,1,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1,1,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1,1,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1,1,0,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1,1,0,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1,1,0,1,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1,1,1,0,0,4,4,4,0,3,2,0,0,0,0,0,0,0
1962,1,1,1,0,15,161,161,9,0,0,0,0,0,0,0,0,0,0
1962,1,1,1,0,30,29,29,2,0,0,0,0,0,0,0,0,0,0
1962,1,1,1,0,45,5,5,0,0,0,0,0,0,0,0,0,0,0
1962,1,1,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1,1,1,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1,1,1,1,15,11,11,0,11,0,0,11,0,0,0,0,11,0
1962,1,1,1,1,30,3,3,0,3,0,0,3,0,0,0,0,3,0
1962,1,1,1,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1,1,1,1,60,1,1,0,1,0,0,1,0,0,0,0,1,0
1962,1,1,1,1,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.5,1,0,0,0,0,1570,0,0,0,16,0,0,0,0,0,0,0,0
1962.5,1,0,0,0,15,883,0,0,0,0,0,0,0,0,0,0,0,0
1962.5,1,0,0,0,30,576,0,0,0,3,0,0,0,0,0,0,0,0
1962.5,1,0,0,0,45,356,0,0,0,3,0,0,0,0,0,0,0,0
1962.5,1,0,0,0,60,195,0,0,0,4,0,0,0,0,0,0,0,0
1962.5,1,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.5,1,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.5,1,0,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.5,1,0,0,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.5,1,0,0,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.5,1,0,0,1,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.5,1,0,1,0,0,166,166,4,0,27,27,0,0,0,0,0,0,0
1962.5,1,0,1,0,15,235,235,4,0,2,2,0,0,0,0,0,0,0
1962.5,1,0,1,0,30,175,175,1,0,3,1,0,0,0,0,0,0,0
1962.5,1,0,1,0,45,84,84,0,0,3,0,0,0,0,0,0,0,0
1962.5,1,0,1,0,60,61,61,0,0,1,0,0,0,0,0,0,0,0
1962.5,1,0,1,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.5,1,0,1,1,0,20,20,0,20,0,0,20,0,0,0,0,20,0
1962.5,1,0,1,1,15,37,37,0,37,0,0,37,0,0,0,0,37,0
1962.5,1,0,1,1,30,20,20,0,20,0,0,20,0,0,0,0,20,0
1962.5,1,0,1,1,45,8,8,0,8,0,0,8,0,0,0,0,8,0
1962.5,1,0,1,1,60,5,5,0,5,0,0,5,0,0,0,0,5,0
1962.5,1,0,1,1,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.5,1,1,0,0,0,1983,0,0,0,9,0,0,0,0,0,0,0,0
1962.5,1,1,0,0,15,944,0,0,0,0,0,0,0,0,0,0,0,0
1962.5,1,1,0,0,30,779,0,0,0,3,0,0,0,0,0,0,0,0
1962.5,1,1,0,0,45,496,0,0,0,6,0,0,0,0,0,0,0,0
1962.5,1,1,0,0,60,273,0,0,0,13,0,0,0,0,0,0,0,0
1962.5,1,1,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.5,1,1,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.5,1,1,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.5,1,1,0,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.5,1,1,0,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.5,1,1,0,1,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.5,1,1,1,0,0,3,3,3,0,3,3,0,0,0,0,0,0,0
1962.5,1,1,1,0,15,169,169,10,0,1,0,0,0,0,0,0,0,0
1962.5,1,1,1,0,30,36,36,5,0,0,0,0,0,0,0,0,0,0
1962.5,1,1,1,0,45,5,5,0,0,0,0,0,0,0,0,0,0,0
1962.5,1,1,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.5,1,1,1,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.5,1,1,1,1,15,11,11,0,11,0,0,11,0,0,0,0,11,0
1962.5,1,1,1,1,30,3,3,0,3,0,0,3,0,0,0,0,3,0
1962.5,1,1,1,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.5,1,1,1,1,60,1,1,0,1,0,0,1,0,0,0,0,1,0
1962.5,1,1,1,1,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1963,1,0,0,0,0,1604,0,0,0,12,0,0,0,0,0,0,0,0
1963,1,0,0,0,15,888,0,0,0,2,0,0,0,0,0,0,0,0
1963,1,0,0,0,30,589,0,0,0,3,0,0,0,0,0,0,0,0
1963,1,0,0,0,45,360,0,0,0,4,0,0,0,0,0,0,0,0
1963,1,0,0,0,60,192,0,0,0,13,0,0,0,0,0,0,0,0
1963,1,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1963,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963,1,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0
1963,1,0,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0
1963,1,0,0,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0
1963,1,0,0,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0
1963,1,0,0,1,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1963,1,0,1,0,0,115,115,7,0,14,10,0,0,0,0,0,0,0
1963,1,0,1,0,15,189,189,5,0,4,3,0,0,0,0,0,0,0
1963,1,0,1,0,30,139,139,1,0,5,5,0,0,0,0,0,0,0
1963,1,0,1,0,45,59,59,0,0,5,2,0,0,0,0,0,0,0
1963,1,0,1,0,60,44,44,0,0,2,1,0,0,0,0,0,0,0
1963,1,0,1,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1963,1,0,1,1,0,59,59,0,59,0,0,59,0,0,0,0,59,0
1963,1,0,1,1,15,83,83,0,83,0,0,83,0,0,0,0,83,0
1963,1,0,1,1,30,53,53,0,53,0,0,53,0,0,0,0,53,0
1963,1,0,1,1,45,31,31,0,31,0,0,31,0,0,0,0,31,0
1963,1,0,1,1,60,21,21,0,21,0,0,21,0,0,0,0,21,0
1963,1,0,1,1,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1963,1,1,0,0,0,2018,0,0,0,7,0,0,0,0,0,0,0,0
1963,1,1,0,0,15,929,0,0,0,6,0,0,0,0,0,0,0,0
1963,1,1,0,0,30,778,0,0,0,3,0,0,0,0,0,0,0,0
1963,1,1,0,0,45,510,0,0,0,6,0,0,0,0,0,0,0,0
1963,1,1,0,0,60,274,0,0,0,6,0,0,0,0,0,0,0,0
1963,1,1,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1963,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963,1,1,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0
1963,1,1,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0
1963,1,1,0,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0
1963,1,1,0,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0
1963,1,1,0,1,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1963,1,1,1,0,0,3,3,2,0,1,1,0,0,0,0,0,0,0
1963,1,1,1,0,15,144,144,21,0,1,0,0,0,0,0,0,0,0
1963,1,1,1,0,30,34,34,3,0,1,1,0,0,0,0,0,0,0
1963,1,1,1,0,45,5,5,0,0,0,0,0,0,0,0,0,0,0
1963,1,1,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0
1963,1,1,1,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1963,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0
1963,1,1,1,1,15,52,52,0,52,0,0,52,0,0,0,0,52,0
1963,1,1,1,1,30,9,9,0,9,0,0,9,0,0,0,0,9,0
1963,1,1,1,1,45,2,2,0,2,0,0,2,0,0,0,0,2,0
1963,1,1,1,1,60,1,1,0,1,0,0,1,0,0,0,0,1,0
1963,1,1,1,1,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.5,1,0,0,0,0,1643,0,0,0,6,0,0,0,0,0,0,0,0
1963.5,1,0,0,0,15,908,0,0,0,0,0,0,0,0,0,0,0,0
1963.5,1,0,0,0,30,582,0,0,0,8,0,0,0,0,0,0,0,0
1963.5,1,0,0,0,45,362,0,0,0,4,0,0,0,0,0,0,0,0
1963.5,1,0,0,0,60,194,0,0,0,9,0,0,0,0,0,0,0,0
1963.5,1,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.5,1,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.5,1,0,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.5,1,0,0,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.5,1,0,0,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.5,1,0,0,1,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.5,1,0,1,0,0,107,107,4,0,5,4,0,0,0,0,0,0,0
1963.5,1,0,1,0,15,188,188,2,0,2,2,0,0,0,0,0,0,0
1963.5,1,0,1,0,30,138,138,3,0,1,1,0,0,0,0,0,0,0
1963.5,1,0,1,0,45,59,59,0,0,2,1,0,0,0,0,0,0,0
1963.5,1,0,1,0,60,44,44,0,0,2,2,0,0,0,0,0,0,0
1963.5,1,0,1,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.5,1,0,1,1,0,59,59,0,59,0,0,59,0,0,0,0,59,0
1963.5,1,0,1,1,15,82,82,0,82,0,0,82,0,0,0,0,82,0
1963.5,1,0,1,1,30,56,56,0,56,2,2,56,0,0,0,0,56,0
1963.5,1,0,1,1,45,32,32,0,32,0,0,32,0,0,0,0,32,0
1963.5,1,0,1,1,60,21,21,0,21,0,0,21,0,0,0,0,21,0
1963.5,1,0,1,1,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.5,1,1,0,0,0,2067,0,0,0,17,0,0,0,0,0,0,0,0
1963.5,1,1,0,0,15,924,0,0,0,3,0,0,0,0,0,0,0,0
1963.5,1,1,0,0,30,762,0,0,0,3,0,0,0,0,0,0,0,0
1963.5,1,1,0,0,45,519,0,0,0,5,0,0,0,0,0,0,0,0
1963.5,1,1,0,0,60,277,0,0,0,7,0,0,0,0,0,0,0,0
1963.5,1,1,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.5,1,1,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.5,1,1,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.5,1,1,0,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.5,1,1,0,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.5,1,1,0,1,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.5,1,1,1,0,0,8,8,5,0,0,0,0,0,0,0,0,0,0
1963.5,1,1,1,0,15,154,154,16,0,3,3,0,0,0,0,0,0,0
1963.5,1,1,1,0,30,37,37,2,0,2,2,0,0,0,0,0,0,0
1963.5,1,1,1,0,45,6,6,1,0,0,0,0,0,0,0,0,0,0
1963.5,1,1,1,0,60,1,1,1,0,0,0,0,0,0,0,0,0,0
1963.5,1,1,1,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1963.5,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0
1963.5,1,1,1,1,15,52,52,0,52,0,0,52,0,0,0,0,52,0
1963.5,1,1,1,1,30,10,10,0,10,0,0,10,0,0,0,0,10,0
1963.5,1,1,1,1,45,2,2,0,2,0,0,2,0,0,0,0,2,0
1963.5,1,1,1,1,60,1,1,0,1,0,0,1,0,0,0,0,1,0
1963.5,1,1,1,1,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1964,1,0,0,0,0,1669,0,0,0,13,0,0,0,0,0,0,0,0
1964,1,0,0,0,15,924,0,0,0,1,0,0,0,0,0,0,0,0
1964,1,0,0,0,30,578,0,0,0,1,0,0,0,0,0,0,0,0
1964,1,0,0,0,45,372,0,0,0,4,0,0,0,0,0,0,0,0
1964,1,0,0,0,60,192,0,0,0,12,0,0,0,0,0,0,0,0
