Time,NodeID,Alleles,STATE_MALE
414,1,Y,101498
415,1,X,101338
415,1,Y,101338
416,1,X,101423
416,1,Y,101423
417,1,X,101290
417,1,Y,101290
418,1,X,101194
418,1,Y,101194
419,1,X,101032
419,1,Y,101032
420,1,X,101136
420,1,Y,101136
421,1,X,101179
421,1,Y,101179
422,1,X,100933
422,1,Y,100933
423,1,X,100786
423,1,Y,100786
424,1,X,100806
424,1,Y,100806
425,1,X,100916
425,1,Y,100916
426,1,X,100934
426,1,Y,100934
427,1,X,101049
427,1,Y,101049
428,1,X,101126
428,1,Y,101126
429,1,X,100942
429,1,Y,100942
430,1,X,100788
430,1,Y,100788
431,1,X,100749
431,1,Y,100749
432,1,X,100785
432,1,Y,100785
433,1,X,100707
433,1,Y,100707
434,1,X,100755
434,1,Y,100755
435,1,X,100926
435,1,Y,100926
436,1,X,100860
436,1,Y,100860
437,1,X,100947
437,1,Y,100947
438,1,X,100878
438,1,Y,100878
439,1,X,100975
439,1,Y,100975
440,1,X,100777
440,1,Y,100777
441,1,X,100647
441,1,Y,100647
442,1,X,100667
442,1,Y,100667
443,1,X,100662
443,1,Y,100662
444,1,X,100913
444,1,Y,100913
445,1,X,100876
445,1,Y,100876
446,1,X,101143
446,1,Y,101143
447,1,X,101267
447,1,Y,101267
448,1,X,101064
448,1,Y,101064
449,1,X,100777
449,1,Y,100777
450,1,X,100894
450,1,Y,100894
451,1,X,101091
451,1,Y,101091
452,1,X,100946
452,1,Y,100946
453,1,X,101102
453,1,Y,101102
454,1,X,101217
454,1,Y,101217
455,1,X,101564
455,1,Y,101564
456,1,X,101381
456,1,Y,101381
457,1,X,101303
457,1,Y,101303
458,1,X,101267
458,1,Y,101267
459,1,X,100937
459,1,Y,100937
460,1,X,101157
460,1,Y,101157
461,1,X,101359
461,1,Y,101359
462,1,X,101358
462,1,Y,101358
463,1,X,101161
463,1,Y,101161
464,1,X,100999
464,1,Y,100999
465,1,X,100927
465,1,Y,100927
466,1,X,101017
466,1,Y,101017
467,1,X,101333
467,1,Y,101333
468,1,X,101359
468,1,Y,101359
469,1,X,101066
469,1,Y,101066
470,1,X,101107
470,1,Y,101107
471,1,X,101311
471,1,Y,101311
472,1,X,101358
472,1,Y,101358
473,1,X,101362
473,1,Y,101362
474,1,X,101407
474,1,Y,101407
475,1,X,101468
475,1,Y,101468
476,1,X,101394
476,1,Y,101394
477,1,X,101420
477,1,Y,101420
478,1,X,101182
478,1,Y,101182
479,1,X,101174
479,1,Y,101174
480,1,X,101032
480,1,Y,101032
481,1,X,101131
481,1,Y,101131
482,1,X,101291
482,1,Y,101291
483,1,X,101334
483,1,Y,101334
484,1,X,101176
484,1,Y,101176
485,1,X,101084
485,1,Y,101084
486,1,X,100943
486,1,Y,100943
487,1,X,100888
487,1,Y,100888
488,1,X,100952
488,1,Y,100952
489,1,X,101079
489,1,Y,101079
490,1,X,101310
490,1,Y,101310
491,1,X,101180
491,1,Y,101180
492,1,X,101354
492,1,Y,101354
493,1,X,101325
493,1,Y,101325
494,1,X,101007
494,1,Y,101007
495,1,X,101134
495,1,Y,101134
496,1,X,101038
496,1,Y,101038
497,1,X,101060
497,1,Y,101060
498,1,X,101133
498,1,Y,101133
499,1,X,101042
499,1,Y,101042
500,1,X,100995
500,1,Y,100995
501,1,X,100859
501,1,Y,100859
502,1,X,100575
502,1,Y,100575
503,1,X,100551
503,1,Y,100551
504,1,X,100716
504,1,Y,100716
505,1,X,100749
505,1,Y,100749
506,1,X,101184
506,1,Y,101184
507,1,X,101370
507,1,Y,101370
508,1,X,101180
508,1,Y,101180
509,1,X,100923
509,1,Y,100923
510,1,X,101107
510,1,Y,101107
511,1,X,101223
511,1,Y,101223
512,1,X,100856
512,1,Y,100856
513,1,X,100687
513,1,Y,100687
514,1,X,100925
514,1,Y,100925
515,1,X,101087
515,1,Y,101087
516,1,X,100873
516,1,Y,100873
517,1,X,100732
517,1,Y,100732
518,1,X,100924
518,1,Y,100924
519,1,X,100841
519,1,Y,100841
520,1,X,100921
520,1,Y,100921
521,1,X,100864
521,1,Y,100864
522,1,X,100817
522,1,Y,100817
523,1,X,101005
523,1,Y,101005
524,1,X,101083
524,1,Y,101083
525,1,X,101080
525,1,Y,101080
526,1,X,100956
526,1,Y,100956
527,1,X,100830
527,1,Y,100830
528,1,X,100798
528,1,Y,100798
529,1,X,100840
529,1,Y,100840
530,1,X,100681
530,1,Y,100681
531,1,X,100620
531,1,Y,100620
532,1,X,100820
532,1,Y,100820
533,1,X,100990
533,1,Y,100990
534,1,X,100926
534,1,Y,100926
535,1,X,101114
535,1,Y,101114
536,1,X,100917
536,1,Y,100917
537,1,X,100726
537,1,Y,100726
538,1,X,100579
538,1,Y,100579
539,1,X,100550
539,1,Y,100550
540,1,X,100609
540,1,Y,100609
541,1,X,100750
541,1,Y,100750
542,1,X,100916
542,1,Y,100916
543,1,X,100976
543,1,Y,100976
544,1,X,100944
544,1,Y,100944
545,1,X,100765
545,1,Y,100765
546,1,X,100487
546,1,Y,100487
547,1,X,100452
547,1,Y,100452
548,1,X,100745
548,1,Y,100745
549,1,X,100641
549,1,Y,100641
550,1,X,101039
550,1,Y,101039
551,1,X,101037
551,1,Y,101037
552,1,X,100974
552,1,Y,100974
553,1,X,100781
553,1,Y,100781
554,1,X,100771
554,1,Y,100771
555,1,X,100931
555,1,Y,100931
556,1,X,100837
556,1,Y,100837
557,1,X,100927
557,1,Y,100927
558,1,X,101005
558,1,Y,101005
559,1,X,100959
559,1,Y,100959
560,1,X,101081
560,1,Y,101081
561,1,X,101036
561,1,Y,101036
562,1,X,101175
562,1,Y,101175
563,1,X,101390
563,1,Y,101390
564,1,X,101404
564,1,Y,101404
565,1,X,101231
565,1,Y,101231
566,1,X,101046
566,1,Y,101046
567,1,X,100995
567,1,Y,100995
568,1,X,101016
568,1,Y,101016
569,1,X,100797
569,1,Y,100797
570,1,X,100961
570,1,Y,100961
571,1,X,101145
571,1,Y,101145
572,1,X,100777
572,1,Y,100777
573,1,X,100738
573,1,Y,100738
574,1,X,100972
574,1,Y,100972
575,1,X,101010
575,1,Y,101010
576,1,X,101062
576,1,Y,101062
577,1,X,101089
577,1,Y,101089
578,1,X,101065
578,1,Y,101065
579,1,X,100787
579,1,Y,100787
580,1,X,100965
580,1,Y,100965
581,1,X,100921
581,1,Y,100921
582,1,X,100750
582,1,Y,100750
583,1,X,100634
583,1,Y,100634
584,1,X,100337
584,1,Y,100337
585,1,X,100370
585,1,Y,100370
586,1,X,100840
586,1,Y,100840
587,1,X,100905
587,1,Y,100905
588,1,X,100875
588,1,Y,100875
589,1,X,100760
589,1,Y,100760
590,1,X,100837
590,1,Y,100837
591,1,X,100887
591,1,Y,100887
592,1,X,101125
592,1,Y,101125
593,1,X,101219
593,1,Y,101219
594,1,X,100984
594,1,Y,100984
595,1,X,100991
595,1,Y,100991
596,1,X,100893
596,1,Y,100893
597,1,X,100753
597,1,Y,100753
598,1,X,100796
598,1,Y,100796
599,1,X,100596
599,1,Y,100596
600,1,X,100632
600,1,Y,100632
601,1,X,100574
601,1,Y,100574
602,1,X,100645
602,1,Y,100645
603,1,X,100823
603,1,Y,100823
604,1,X,100869
604,1,Y,100869
605,1,X,100846
605,1,Y,100846
606,1,X,101201
606,1,Y,101201
607,1,X,100988
607,1,Y,100988
608,1,X,101012
608,1,Y,101012
609,1,X,101021
609,1,Y,101021
610,1,X,101146
610,1,Y,101146
611,1,X,101095
611,1,Y,101095
612,1,X,100878
612,1,Y,100878
613,1,X,100769
613,1,Y,100769
614,1,X,100925
614,1,Y,100925
615,1,X,100918
615,1,Y,100918
616,1,X,100771
616,1,Y,100771
617,1,X,101016
617,1,Y,101016
618,1,X,100948
618,1,Y,100948
619,1,X,101033
619,1,Y,101033
620,1,X,100978
620,1,Y,100978
621,1,X,100912
621,1,Y,100912
622,1,X,101177
622,1,Y,101177
623,1,X,101199
623,1,Y,101199
624,1,X,100970
624,1,Y,100970
625,1,X,101276
625,1,Y,101276
626,1,X,101076
626,1,Y,101076
627,1,X,101088
627,1,Y,101088
628,1,X,100876
628,1,Y,100876
629,1,X,100950
629,1,Y,100950
630,1,X,100898
630,1,Y,100898
631,1,X,100843
631,1,Y,100843
632,1,X,100923
632,1,Y,100923
633,1,X,101009
633,1,Y,101009
634,1,X,100703
634,1,Y,100703
635,1,X,100416
635,1,Y,100416
636,1,X,100609
636,1,Y,100609
637,1,X,100464
637,1,Y,100464
638,1,X,100439
638,1,Y,100439
639,1,X,100417
639,1,Y,100417
640,1,X,100578
640,1,Y,100578
641,1,X,100686
641,1,Y,100686
642,1,X,100865
642,1,Y,100865
643,1,X,100732
643,1,Y,100732
644,1,X,101109
644,1,Y,101109
645,1,X,101268
645,1,Y,101268
646,1,X,101193
646,1,Y,101193
647,1,X,101178
647,1,Y,101178
648,1,X,101405
648,1,Y,101405
649,1,X,101411
649,1,Y,101411
650,1,X,101323
650,1,Y,101323
651,1,X,101387
651,1,Y,101387
652,1,X,101343
652,1,Y,101343
653,1,X,101444
653,1,Y,101444
654,1,X,101353
654,1,Y,101353
655,1,X,101431
655,1,Y,101431
656,1,X,101366
656,1,Y,101366
657,1,X,101455
657,1,Y,101455
658,1,X,101253
658,1,Y,101253
659,1,X,101029
659,1,Y,101029
660,1,X,101091
660,1,Y,101091
661,1,X,101137
661,1,Y,101137
662,1,X,101069
662,1,Y,101069
663,1,X,100940
663,1,Y,100940
664,1,X,100827
664,1,Y,100827
665,1,X,100595
665,1,Y,100595
666,1,X,100832
666,1,Y,100832
667,1,X,100580
667,1,Y,100580
668,1,X,100629
668,1,Y,100629
669,1,X,100569
669,1,Y,100569
670,1,X,100566
670,1,Y,100566
671,1,X,100575
671,1,Y,100575
672,1,X,100655
672,1,Y,100655
673,1,X,100917
673,1,Y,100917
674,1,X,100960
674,1,Y,100960
675,1,X,100781
675,1,Y,100781
676,1,X,100499
676,1,Y,100499
677,1,X,100792
677,1,Y,100792
678,1,X,100855
678,1,Y,100855
679,1,X,100757
679,1,Y,100757
680,1,X,100748
680,1,Y,100748
681,1,X,100636
681,1,Y,100636
682,1,X,100712
682,1,Y,100712
683,1,X,100770
683,1,Y,100770
684,1,X,100797
684,1,Y,100797
685,1,X,100879
685,1,Y,100879
686,1,X,100806
686,1,Y,100806
687,1,X,100789
687,1,Y,100789
688,1,X,100790
688,1,Y,100790
689,1,X,100807
689,1,Y,100807
690,1,X,100528
690,1,Y,100528
691,1,X,100708
691,1,Y,100708
692,1,X,100919
692,1,Y,100919
693,1,X,100611
693,1,Y,100611
694,1,X,100439
694,1,Y,100439
695,1,X,100506
695,1,Y,100506
696,1,X,100294
696,1,Y,100294
697,1,X,100442
697,1,Y,100442
698,1,X,100309
698,1,Y,100309
699,1,X,100234
699,1,Y,100234
700,1,X,100370
700,1,Y,100370
701,1,X,100198
701,1,Y,100198
702,1,X,100225
702,1,Y,100225
703,1,X,100156
703,1,Y,100156
704,1,X,100341
704,1,Y,100341
705,1,X,100531
705,1,Y,100531
706,1,X,100679
706,1,Y,100679
707,1,X,100833
707,1,Y,100833
708,1,X,100836
708,1,Y,100836
709,1,X,100850
709,1,Y,100850
710,1,X,100826
710,1,Y,100826
711,1,X,100896
711,1,Y,100896
712,1,X,101057
712,1,Y,101057
713,1,X,101006
713,1,Y,101006
714,1,X,100945
714,1,Y,100945
715,1,X,101103
715,1,Y,101103
716,1,X,101063
716,1,Y,101063
717,1,X,101139
717,1,Y,101139
718,1,X,100991
718,1,Y,100991
719,1,X,100714
719,1,Y,100714
720,1,X,100686
720,1,Y,100686
721,1,X,100746
721,1,Y,100746
722,1,X,100853
722,1,Y,100853
723,1,X,100597
723,1,Y,100597
724,1,X,100676
724,1,Y,100676
725,1,X,100703
725,1,Y,100703
726,1,X,100821
726,1,Y,100821
727,1,X,100650
727,1,Y,100650
728,1,X,100696
728,1,Y,100696
729,1,X,100798
729,1,Y,100798
730,1,X,100887
730,1,Y,100887
731,1,X,100935
731,1,Y,100935
732,1,X,100819
732,1,Y,100819
733,1,X,100800
733,1,Y,100800
