Year, NodeId, Gender, IP_Key:Adherence, HasHIV, On_Art_Dim, Population, Infected CD4 Under 200 (Not On ART), Infected CD4 200 To 349 (Not On ART), Infected CD4 350 To 499 (Not On ART), Infected CD4 500 Plus (Not On ART), Infected, Newly Infected, On_ART, Died, Died_from_HIV, Tested Past Year or On_ART, Tested Ever, Diagnosed, Newly Tested Positive, Newly Tested Negative,Num_TRANSITORY,Num_INFORMAL,Num_MARITAL,Num_COMMERCIAL,Num_Concordant_TRANSITORY,Num_Concordant_INFORMAL,Num_Concordant_MARITAL,Num_Concordant_COMMERCIAL
1960.58,1,0,LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.58,1,0,LOW,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.58,1,0,LOW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.58,1,0,LOW,1,1,4158,0,0,0,0,4158,0,4158,24,24,4158,0,0,0,0,89,90,4,0,89,90,4,0
1960.58,1,0,HIGH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.58,1,0,HIGH,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.58,1,0,HIGH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.58,1,0,HIGH,1,1,4343,0,0,0,0,4343,0,4343,25,25,4343,0,0,0,0,98,93,6,0,98,93,6,0
1960.58,1,1,LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.58,1,1,LOW,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.58,1,1,LOW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.58,1,1,LOW,1,1,4225,0,0,0,0,4225,0,4225,23,23,4225,0,0,0,0,97,81,5,0,97,81,5,0
1960.58,1,1,HIGH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.58,1,1,HIGH,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.58,1,1,HIGH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.58,1,1,HIGH,1,1,4275,0,0,0,0,4275,0,4275,7,7,4275,0,0,0,0,90,102,5,0,90,102,5,0
1960.62,1,0,LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.62,1,0,LOW,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.62,1,0,LOW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.62,1,0,LOW,1,1,4129,0,0,0,0,4129,0,4129,29,29,4129,0,0,0,0,124,145,10,0,124,145,10,0
1960.62,1,0,HIGH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.62,1,0,HIGH,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.62,1,0,HIGH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.62,1,0,HIGH,1,1,4327,0,0,0,0,4327,0,4327,18,18,4327,0,0,0,0,152,147,6,0,152,147,6,0
1960.62,1,1,LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.62,1,1,LOW,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.62,1,1,LOW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.62,1,1,LOW,1,1,4215,0,0,0,0,4215,0,4215,11,11,4215,0,0,0,0,143,143,8,0,143,143,8,0
1960.62,1,1,HIGH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.62,1,1,HIGH,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.62,1,1,HIGH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.62,1,1,HIGH,1,1,4261,0,0,0,0,4261,0,4261,17,17,4261,0,0,0,0,133,149,8,0,133,149,8,0
1960.66,1,0,LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.66,1,0,LOW,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.66,1,0,LOW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.66,1,0,LOW,1,1,4106,0,0,0,0,4106,0,4106,21,21,4106,0,0,0,0,170,194,12,0,170,194,12,0
1960.66,1,0,HIGH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.66,1,0,HIGH,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.66,1,0,HIGH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.66,1,0,HIGH,1,1,4302,0,0,0,0,4302,0,4302,25,25,4302,0,0,0,0,199,178,7,0,199,178,7,0
1960.66,1,1,LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.66,1,1,LOW,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.66,1,1,LOW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.66,1,1,LOW,1,1,4200,0,0,0,0,4200,0,4200,14,14,4200,0,0,0,0,194,184,9,0,194,184,9,0
1960.66,1,1,HIGH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.66,1,1,HIGH,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.66,1,1,HIGH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.66,1,1,HIGH,1,1,4231,0,0,0,0,4231,0,4231,27,27,4231,0,0,0,0,175,188,10,0,175,188,10,0
1960.71,1,0,LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.71,1,0,LOW,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.71,1,0,LOW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.71,1,0,LOW,1,1,4086,0,0,0,0,4086,0,4086,21,21,4086,0,0,0,0,211,229,15,0,211,229,15,0
1960.71,1,0,HIGH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.71,1,0,HIGH,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.71,1,0,HIGH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.71,1,0,HIGH,1,1,4277,0,0,0,0,4277,0,4277,23,23,4277,0,0,0,0,224,224,10,0,224,224,10,0
1960.71,1,1,LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.71,1,1,LOW,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.71,1,1,LOW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.71,1,1,LOW,1,1,4194,0,0,0,0,4194,0,4194,6,6,4194,0,0,0,0,223,224,11,0,223,224,11,0
1960.71,1,1,HIGH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.71,1,1,HIGH,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.71,1,1,HIGH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.71,1,1,HIGH,1,1,4217,0,0,0,0,4217,0,4217,14,14,4217,0,0,0,0,212,229,14,0,212,229,14,0
1960.75,1,0,LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.75,1,0,LOW,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.75,1,0,LOW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.75,1,0,LOW,1,1,4068,0,0,0,0,4068,0,4068,18,18,4068,0,0,0,0,232,266,17,0,232,266,17,0
1960.75,1,0,HIGH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.75,1,0,HIGH,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.75,1,0,HIGH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.75,1,0,HIGH,1,1,4254,0,0,0,0,4254,0,4254,24,24,4254,0,0,0,0,257,273,13,0,257,273,13,0
1960.75,1,1,LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.75,1,1,LOW,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.75,1,1,LOW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.75,1,1,LOW,1,1,4187,0,0,0,0,4187,0,4187,7,7,4187,0,0,0,0,244,259,13,0,244,259,13,0
1960.75,1,1,HIGH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.75,1,1,HIGH,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.75,1,1,HIGH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.75,1,1,HIGH,1,1,4198,0,0,0,0,4198,0,4198,19,19,4198,0,0,0,0,245,280,17,0,245,280,17,0
