Time,NodeID,Species,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor, VECTOR_WOLBACHIA_FREE, VECTOR_WOLBACHIA_A, VECTOR_WOLBACHIA_B, VECTOR_WOLBACHIA_AB,MigrationFromCountLocal,MigrationFromCountRegional,AvailableHabitat,EggCrowdingCorrection
11,340461476,gambiae,1000,1988,0,0,1988,3008,0,451554,150400,75200,709,0,0,0,0,0,203,73,0,1988,0,0,0,0,0,63969.9,0.406661
12,340461476,arabiensis,1000,1772,0,0,1772,2764,0,425329,127000,63500,312,0,285,0,0,0,176,30,34,1772,0,0,0,0,0,58150.3,0.411204
12,340461476,funestus,1000,1785,0,0,1785,2791,0,33341,112200,56100,528,0,0,0,0,0,168,49,0,1785,0,0,0,0,0,5422.01,0.0359882
12,340461476,gambiae,1000,1758,0,0,1758,2736,0,471914,122600,61300,571,0,0,0,0,0,179,51,0,1758,0,0,0,0,0,65285.2,0.425332
13,340461476,arabiensis,1000,1564,0,0,1564,2507,0,442769,111600,55800,263,0,266,0,0,0,161,29,18,1564,0,0,0,0,0,58567.5,0.457876
13,340461476,funestus,1000,1557,0,0,1557,2515,0,35635,116600,58300,543,0,0,0,0,0,168,60,0,1557,0,0,0,0,0,5693.66,0.0483245
13,340461476,gambiae,1000,1528,0,0,1528,2472,0,491998,105400,52700,496,0,0,0,0,0,191,39,0,1528,0,0,0,0,0,65042.6,0.532506
14,340461476,arabiensis,1000,1363,0,0,1363,2295,0,459168,95800,47900,254,0,207,0,0,0,155,25,21,1363,0,0,0,0,0,58013.8,0.524798
14,340461476,funestus,1000,1375,0,0,1375,2283,0,37899,106000,53000,505,0,0,0,0,0,147,35,0,1375,0,0,0,0,0,5969.65,0.0488307
14,340461476,gambiae,1000,1355,0,0,1355,2233,0,509904,101200,50600,482,0,0,0,0,0,121,52,0,1355,0,0,0,0,0,64742.5,0.617102
15,340461476,arabiensis,1000,1176,0,0,1176,2069,25911,447761,85400,42700,189,0,220,0,0,0,143,20,24,1176,0,0,0,0,0,84936.9,0.605572
15,340461476,funestus,1000,1206,0,0,1206,2054,1409,38879,74600,37300,352,0,0,0,0,0,129,40,0,1206,0,0,0,0,0,7504.24,0.0563174
15,340461476,gambiae,1000,1183,0,0,1183,2008,28772,497317,81200,40600,383,0,0,0,0,0,141,31,0,1183,0,0,0,0,0,94569.6,0.639748
16,340461476,arabiensis,1000,1021,0,0,1021,1878,34863,478820,74200,37100,179,0,177,0,0,0,123,22,10,1021,0,0,0,0,0,69279.8,0.994577
16,340461476,funestus,1000,1063,0,0,1063,1854,2004,42060,77600,38800,374,0,0,0,0,0,105,38,0,1063,0,0,0,0,0,6812.68,0.100593
16,340461476,gambiae,1000,1039,0,0,1039,1820,38549,518671,72200,36100,336,0,0,0,0,0,107,37,0,1039,0,0,0,0,0,90328.8,1
17,340461476,arabiensis,1000,874,0,0,874,1686,44611,489170,59400,29700,143,0,140,0,0,0,117,13,17,874,0,0,0,0,0,70857.6,0.933689
17,340461476,funestus,1000,916,0,0,916,1683,2696,43917,74600,37300,356,0,0,0,0,0,116,31,0,916,0,0,0,0,0,7420.23,0.0877923
17,340461476,gambiae,1000,886,0,0,886,1652,49701,527214,64800,32400,304,0,0,0,0,0,118,35,0,886,0,0,0,0,0,95038.9,1
18,340461476,arabiensis,1000,757,0,0,757,1535,53873,488606,55200,27600,137,0,122,0,0,0,92,12,13,757,0,0,0,0,0,82984.8,1
18,340461476,funestus,1000,805,0,0,805,1508,3280,46259,47600,23800,226,0,0,0,0,0,86,25,0,805,0,0,0,0,0,7518.14,0.0994669
18,340461476,gambiae,1000,767,0,0,767,1495,59987,526571,56200,28100,266,0,0,0,0,0,90,29,0,767,0,0,0,0,0,108530,1
19,340461476,arabiensis,1000,9353,0,0,9353,9961,44782,484185,48400,24200,120,0,110,0,8708,0,76,19,17,9353,0,0,0,0,0,98459.5,1
19,340461476,funestus,1000,1189,0,0,1189,1833,3004,48562,53400,26700,258,0,0,0,483,0,77,22,0,1189,0,0,0,0,0,7630.65,0.157944
19,340461476,gambiae,1000,10310,0,0,10310,11058,49877,517428,45200,22600,215,0,0,0,9629,0,64,22,0,10310,0,0,0,0,0,129955,1
20,340461476,arabiensis,1000,11570,0,0,11570,12934,46213,473253,39200,19600,3809,0,3863,0,3833,0,894,354,368,11570,0,0,0,0,0,120373,1
20,340461476,funestus,1000,1263,0,0,1263,1877,3267,50468,49400,24700,647,0,0,0,258,0,115,69,0,1263,0,0,0,0,0,8116,0.142896
20,340461476,gambiae,1000,12632,0,0,12632,14183,51624,498614,44400,22200,8526,0,0,0,4088,0,953,813,0,12632,0,0,0,0,0,160970,1
21,340461476,arabiensis,1000,14553,0,0,14553,16110,47342,453181,38200,19100,1767,0,1718,0,4387,0,1086,168,150,14553,0,0,0,0,0,150105,1
21,340461476,funestus,1000,1402,0,0,1402,1989,3416,52717,29400,14700,349,0,0,0,295,0,126,30,0,1402,0,0,0,0,0,8234.44,0.164292
21,340461476,gambiae,1000,16072,0,0,16072,17828,52273,479797,39000,19500,3730,0,0,0,4969,0,1157,372,0,16072,0,0,0,0,0,190520,1
22,340461476,arabiensis,1000,17300,0,0,17300,19123,47629,434524,30000,15000,1945,0,1979,0,4473,0,1362,183,181,17300,0,0,0,0,0,176929,1
22,340461476,funestus,1000,1505,0,0,1505,2115,3587,54769,34400,17200,421,0,0,0,283,0,135,45,0,1505,0,0,0,0,0,8526.2,0.280083
22,340461476,gambiae,1000,19145,0,0,19145,21139,52628,457453,28800,14400,4376,0,0,0,5038,0,1525,440,0,19145,0,0,0,0,0,221939,1
23,340461476,arabiensis,1000,19152,0,0,19152,21779,48549,408627,1085200,542600,4497,0,4438,0,4470,0,1702,473,443,19152,0,0,0,0,0,210933,1
23,340461476,funestus,1000,1620,0,0,1620,2230,3798,56845,91800,45900,684,0,0,0,334,0,149,70,0,1620,0,0,0,0,0,8770.52,0.247855
23,340461476,gambiae,1000,21150,0,0,21150,24176,53510,426757,1210200,605100,10050,0,0,0,4857,0,1861,991,0,21150,0,0,0,0,0,261643,1
24,340461476,arabiensis,1000,21194,0,0,21194,24189,48640,567509,494200,247100,3094,0,3086,0,4541,0,1884,321,294,21194,0,0,0,0,0,59567.6,0.194372
24,340461476,funestus,1000,1712,0,0,1712,2386,3965,58824,49400,24700,542,0,0,0,298,0,157,49,0,1712,0,0,0,0,0,9088.65,0.0955395
24,340461476,gambiae,1000,23476,0,0,23476,26732,53627,632144,519000,259500,6635,0,0,0,5100,0,2119,655,0,23476,0,0,0,0,0,64607.8,0.216198
25,340461476,arabiensis,1000,23466,0,0,23466,26572,48379,559039,550600,275300,3241,0,3271,0,4850,0,1947,318,313,23466,0,0,0,0,0,74006.3,0.120533
25,340461476,funestus,1000,1835,0,0,1835,2539,4071,61127,60200,30100,548,0,0,0,349,0,153,73,0,1835,0,0,0,0,0,9059.8,0.183981
25,340461476,gambiae,1000,25865,0,0,25865,29315,53705,620631,615400,307700,7305,0,0,0,5253,0,2130,734,0,25865,0,0,0,0,0,82752.8,0.124485
26,340461476,arabiensis,1000,24714,0,245,24469,28808,48824,565266,1275600,637800,5156,0,5046,0,4584,0,2292,514,530,24714,0,0,0,0,0,73805.8,0.13441
26,340461476,funestus,1000,1967,0,15,1952,2647,4297,63233,94000,47000,759,0,0,0,357,0,152,73,0,1967,0,0,0,0,0,9205.2,0.150495
26,340461476,gambiae,1000,27348,0,263,27085,31769,53914,628611,1426200,713100,11342,0,0,0,5082,0,2444,1155,0,27348,0,0,0,0,0,81468.9,0.13447
27,340461476,arabiensis,1000,26406,0,398,26008,30962,48813,571142,872600,436300,4041,0,3967,0,4829,0,2406,333,398,26406,0,0,0,0,0,75641.9,0.0578597
27,340461476,funestus,1000,2123,0,34,2089,2777,4409,65052,75000,37500,662,0,0,0,415,0,198,61,0,2123,0,0,0,0,0,9615.1,0.0979277
27,340461476,gambiae,1000,29226,0,431,28795,33995,54297,634396,933000,466500,8783,0,0,0,5376,0,2631,867,0,29226,0,0,0,0,0,84252.9,0.057123
28,340461476,arabiensis,1000,27703,0,582,27121,32615,49461,577480,921800,460900,4217,0,4332,0,4631,0,2493,393,448,27703,0,0,0,0,0,74297.8,0.0866857
28,340461476,funestus,1000,2259,0,45,2214,2888,4576,66991,73400,36700,712,0,0,0,419,0,215,68,0,2259,0,0,0,0,0,9882.71,0.128201
28,340461476,gambiae,1000,30539,0,618,29921,35952,55009,642021,1028800,514400,9534,0,0,0,4961,0,2704,944,0,30539,0,0,0,0,0,82176.6,0.0903032
29,340461476,arabiensis,1000,28600,0,772,27828,34123,49689,582090,1429360,714680,5416,0,5406,0,4633,0,2633,563,540,28600,0,0,0,0,0,74945.6,0.0806008
29,340461476,funestus,1000,2354,0,63,2291,3044,4812,68933,105400,52700,877,0,0,0,395,0,211,89,0,2354,0,0,0,0,0,10125.3,0.134642
29,340461476,gambiae,1000,31609,0,831,30778,37768,55184,647614,1598200,799100,11878,0,0,0,5243,0,2971,1202,0,31609,0,0,0,0,0,82425.6,0.0798762
30,340461476,arabiensis,1000,29724,0,914,28810,35603,56219,580237,1146920,573460,4741,0,4713,0,4762,0,2697,491,450,29724,0,0,0,0,0,81343.3,0.052433
30,340461476,funestus,1000,2515,0,70,2445,3175,5305,70486,90600,45300,762,0,0,0,451,0,222,68,0,2515,0,0,0,0,0,10734.9,0.096065
30,340461476,gambiae,1000,32794,0,993,31801,39380,59403,648488,1238080,619040,10477,0,0,0,5294,0,3040,1069,0,32794,0,0,0,0,0,86601.3,0.051574
31,340461476,arabiensis,1000,30655,0,1039,29616,37023,58223,589080,1191400,595700,4840,0,4941,0,4789,0,2871,491,496,30655,0,0,0,0,0,121880,0.0709233
31,340461476,funestus,1000,2650,0,80,2570,3320,5572,72733,101560,50780,870,0,0,0,443,0,234,74,0,2650,0,0,0,0,0,13118.9,0.118487
31,340461476,gambiae,1000,33935,0,1129,32806,40996,60846,656497,1325400,662700,10880,0,0,0,5355,0,3110,1104,0,33935,0,0,0,0,0,133458,0.069948
32,340461476,arabiensis,1000,31442,0,1136,30306,38313,57581,640614,1503760,751880,5642,0,5674,0,4787,0,2912,551,537,31442,0,0,0,0,0,116007,0.102299
32,340461476,funestus,1000,2799,0,94,2705,3496,5840,77056,124640,62320,980,0,0,0,476,0,242,85,0,2799,0,0,0,0,0,13380.6,0.129174
32,340461476,gambiae,1000,34861,0,1270,33591,42402,60443,711064,1644240,822120,12491,0,0,0,5379,0,3215,1238,0,34861,0,0,0,0,0,129626,0.100693
33,340461476,arabiensis,1000,32183,0,1226,30957,39316,56141,682663,1321840,660920,5158,0,5302,0,4714,0,2949,506,518,32183,0,0,0,0,0,115815,0.0771448
33,340461476,funestus,1000,2936,0,100,2836,3644,6156,81299,108960,54480,939,0,0,0,503,0,282,84,0,2936,0,0,0,0,0,13676.5,0.107354
33,340461476,gambiae,1000,35695,0,1384,34311,43625,57784,759837,1473160,736580,11666,0,0,0,5359,0,3341,1184,0,35695,0,0,0,0,0,127361,0.0788366
34,340461476,arabiensis,1000,35131,0,1331,33800,42497,48777,721779,1378280,689140,5306,0,5354,0,7052,0,3021,564,519,35131,0,0,0,0,0,116847,0.0876167
34,340461476,funestus,1000,3173,0,124,3049,3906,6112,85423,123840,61920,1028,0,0,0,601,0,279,85,0,3173,0,0,0,0,0,14045.9,0.125518
34,340461476,gambiae,1000,37879,0,1476,36403,46250,50157,802930,1525400,762700,11919,0,0,0,6690,0,3330,1176,0,37879,0,0,0,0,0,128876,0.0864543
35,340461476,arabiensis,1000,36018,0,1490,34528,44184,42417,760151,1599400,799700,6867,0,6816,0,5666,0,3394,703,682,36018,0,0,0,0,0,114962,0.0847771
35,340461476,funestus,1000,3287,0,141,3146,4117,6387,89485,139080,69540,1196,0,0,0,551,0,299,138,0,3287,0,0,0,0,0,14432.4,0.11342
35,340461476,gambiae,1000,38756,0,1644,37112,47833,44499,844091,1731320,865660,14074,0,0,0,5939,0,3611,1451,0,38756,0,0,0,0,0,128257,0.0844868
36,340461476,arabiensis,1000,36348,73,1525,34750,44942,37856,793197,1456640,728320,5843,0,6025,0,4880,0,3379,598,573,36348,0,0,0,0,0,116534,0.0718785
36,340461476,funestus,1000,3463,3,142,3318,4322,6604,93228,128840,64420,1077,0,0,0,608,0,320,112,0,3463,0,0,0,0,0,15093.4,0.103771
36,340461476,gambiae,1000,39203,63,1672,37468,48666,39080,882330,1644280,822140,12963,0,0,0,5477,0,3704,1326,0,39203,0,0,0,0,0,128482,0.0740807
37,340461476,arabiensis,1000,36370,118,1538,34714,45189,32606,827432,1480320,740160,5591,0,5669,0,4608,0,3460,565,561,36370,0,0,0,0,0,111034,0.0800017
37,340461476,funestus,1000,3603,9,155,3439,4533,6901,97323,145280,72640,1217,0,0,0,582,0,319,123,0,3603,0,0,0,0,0,15358.4,0.117149
37,340461476,gambiae,1000,38900,110,1707,37083,48735,33108,919993,1654800,827400,12578,0,0,0,4692,0,3758,1237,0,38900,0,0,0,0,0,122747,0.0781387
38,340461476,arabiensis,1000,35599,159,1587,33853,44931,73705,806920,1925800,962900,6530,10,6669,16,3973,0,3450,651,643,35599,0,0,0,0,0,157274,0.0750065
38,340461476,funestus,1000,3702,12,153,3537,4698,7264,101441,166720,83360,1294,2,0,0,597,0,360,138,0,3702,0,0,0,0,0,15556.8,0.105716
38,340461476,gambiae,1000,37642,149,1738,35755,47993,86826,891362,1970120,985060,13456,20,0,0,3744,0,3616,1386,0,37642,0,0,0,0,0,179965,0.0741761
39,340461476,arabiensis,1000,34270,198,1556,32516,43879,75073,873482,1666640,833320,5601,11,5787,12,3231,0,3459,527,574,34270,0,0,0,0,0,115057,0.0816668
39,340461476,funestus,1000,3913,19,154,3740,4911,7523,105073,149400,74700,1233,2,0,0,659,0,335,113,0,3913,0,0,0,0,0,16198,0.0933109
39,340461476,gambiae,1000,36698,203,1727,34768,47096,86953,970935,1818440,909220,11956,23,0,0,3702,0,3520,1126,0,36698,0,0,0,0,0,127442,0.091347
40,340461476,arabiensis,1000,32976,228,1527,31221,42678,80005,887059,1575600,787800,5124,9,5207,8,3064,0,3322,528,508,32976,0,0,0,0,0,126070,0.0690353
40,340461476,funestus,1000,4023,20,158,3845,5135,7720,108785,170360,85180,1381,2,0,0,645,0,378,157,0,4023,0,0,0,0,0,16716.5,0.10842
40,340461476,gambiae,1000,35269,229,1711,33329,45869,92509,985827,1785400,892700,11703,23,0,0,3202,0,3487,1144,0,35269,0,0,0,0,0,139872,0.070083
41,340461476,arabiensis,1000,31260,244,1524,29492,41122,85776,911069,1836680,918340,5713,18,5713,23,2535,0,3090,593,568,31260,0,0,0,0,0,119888,0.0800138
41,340461476,funestus,1000,4225,20,170,4035,5293,7784,113026,179400,89700,1406,1,0,0,739,0,398,139,0,4225,0,0,0,0,0,16663.7,0.0981246
41,340461476,gambiae,1000,33088,270,1689,31129,43933,99079,1011890,1888800,944400,11816,45,0,0,2352,0,3353,1180,0,33088,0,0,0,0,0,133618,0.0783419
42,340461476,arabiensis,1000,44995,277,1496,43222,54847,61048,926598,1598160,799080,4983,17,4894,22,17613,0,2878,514,486,44995,0,0,0,0,0,124781,0.0652743
42,340461476,funestus,1000,4444,26,186,4232,5548,7964,116577,176880,88440,1491,3,0,0,734,0,362,153,0,4444,0,0,0,0,0,17259,0.0928857
42,340461476,gambiae,1000,50343,321,1613,48409,61468,67264,1028453,1669200,834600,10026,32,0,0,21428,0,3174,999,0,50343,0,0,0,0,0,139746,0.0707421
43,340461476,arabiensis,1000,43216,288,1755,41173,54524,63496,945250,1441840,720920,10996,19,11004,16,4893,0,4420,1100,1152,43216,0,0,0,0,0,124151,0.0780779
43,340461476,funestus,1000,4610,29,193,4388,5796,8216,120257,196200,98100,1587,2,0,0,754,0,408,180,0,4610,0,0,0,0,0,17683.8,0.0975746
43,340461476,gambiae,1000,48205,342,1902,45961,60989,70454,1050681,1633960,816980,26307,42,0,0,5372,0,4863,2647,0,48205,0,0,0,0,0,137542,0.0837203
44,340461476,arabiensis,1000,44108,305,1722,42081,55491,63658,961190,1599360,799680,5969,27,5929,29,6021,0,3988,575,566,44108,0,0,0,0,0,124727,0.0861059
44,340461476,funestus,1000,4821,33,216,4572,5998,8344,123971,199760,99880,1621,2,0,0,786,0,432,143,0,4821,0,0,0,0,0,18033.6,0.0901317
44,340461476,gambiae,1000,49071,365,1885,46821,61898,70815,1067590,1653840,826920,12549,64,0,0,6719,0,4623,1230,0,49071,0,0,0,0,0,138985,0.0841772
45,340461476,arabiensis,1000,44801,355,1680,42766,56342,65671,974233,1367200,683600,5793,25,5940,23,6120,0,4231,590,606,44801,0,0,0,0,0,127405,0.0779858
45,340461476,funestus,1000,4866,35,220,4611,6144,8695,127465,207320,103660,1656,5,0,0,722,0,495,182,0,4866,0,0,0,0,0,18562.8,0.0902765
45,340461476,gambiae,1000,49908,408,1813,47687,62841,72109,1083361,1392680,696340,12495,61,0,0,6641,0,4538,1266,0,49908,0,0,0,0,0,140682,0.0840376
46,340461476,arabiensis,1000,44749,405,1809,42535,57301,76923,979133,3095560,1547780,10114,23,9972,23,6287,0,4307,1061,971,44749,0,0,0,0,0,139730,0.0931871
46,340461476,funestus,1000,5091,36,221,4834,6336,9408,130548,209480,104740,1628,5,0,0,826,0,440,161,0,5091,0,0,0,0,0,19462.7,0.0895369
46,340461476,gambiae,1000,49729,438,1955,47336,63653,83909,1088169,3676160,1838080,23268,49,0,0,6940,0,4779,2340,0,49729,0,0,0,0,0,155012,0.101015
47,340461476,arabiensis,1000,45247,406,1807,43034,57977,86315,997252,1669880,834940,6684,29,6792,38,6028,0,4178,670,682,45247,0,0,0,0,0,135987,0.0451387
47,340461476,funestus,1000,5243,42,215,4986,6608,9998,134128,228120,114060,1808,5,0,0,819,0,464,203,0,5243,0,0,0,0,0,19825.8,0.0929097
47,340461476,gambiae,1000,50457,461,1904,48092,64289,94288,1107877,1766080,883040,14476,88,0,0,6906,0,4754,1424,0,50457,0,0,0,0,0,151277,0.0421667
48,340461476,arabiensis,1000,45770,414,1803,43553,58687,94389,1009426,1643760,821880,6510,25,6556,29,6110,0,4278,665,644,45770,0,0,0,0,0,137400,0.0814351
48,340461476,funestus,1000,5384,41,228,5115,6770,10745,138244,231200,115600,1824,0,0,0,824,0,513,170,0,5384,0,0,0,0,0,19613.5,0.0869096
48,340461476,gambiae,1000,51000,496,1916,48588,65130,103083,1123139,1729160,864580,14262,63,0,0,6839,0,4807,1489,0,51000,0,0,0,0,0,151112,0.0856571
49,340461476,arabiensis,1000,46348,420,1900,44028,59833,100653,1023047,2820240,1410120,9342,30,9369,26,6810,0,4347,965,920,46348,0,0,0,0,0,136441,0.0835886
49,340461476,funestus,1000,5590,41,208,5341,6994,11426,141323,233240,116620,1841,8,0,0,894,0,506,182,0,5590,0,0,0,0,0,20399.1,0.0848333
49,340461476,gambiae,1000,50971,496,2032,48443,66340,110618,1136642,3264160,1632080,21530,63,0,0,7058,0,4866,2221,0,50971,0,0,0,0,0,151678,0.0873902
50,340461476,arabiensis,1000,50581,403,1904,48274,64301,99274,1034928,1868760,934380,7345,22,7515,31,10067,0,4329,752,753,50581,0,0,0,0,0,138411,0.0483791
50,340461476,funestus,1000,5897,45,214,5638,7394,11637,145034,250880,125440,1985,6,0,0,1009,0,496,206,0,5897,0,0,0,0,0,20514.1,0.0874597
50,340461476,gambiae,1000,55333,496,2051,52786,71178,110095,1147814,2019760,1009880,15722,87,0,0,10924,0,4987,1575,0,55333,0,0,0,0,0,155896,0.0464676
51,340461476,arabiensis,1000,53737,415,1960,51362,67880,99262,1046162,1840960,920480,8710,26,8729,29,9757,0,4865,892,844,53737,0,0,0,0,0,140383,0.0740659
51,340461476,funestus,1000,6140,46,228,5866,7784,12137,148057,254560,127280,2082,2,0,0,1047,0,582,222,0,6140,0,0,0,0,0,21278.8,0.0817685
51,340461476,gambiae,1000,58910,493,2108,56309,75320,109858,1162717,1988440,994220,18829,73,0,0,10753,0,5314,1862,0,58910,0,0,0,0,0,155666,0.0771856
52,340461476,arabiensis,1000,56457,355,2141,53961,70967,97996,1059811,2628840,1314420,10441,20,10494,25,9768,0,4968,1069,1011,56457,0,0,0,0,0,141244,0.0762553
52,340461476,funestus,1000,6451,42,241,6168,8115,12537,151471,255600,127800,2126,10,0,0,1118,0,585,222,0,6451,0,0,0,0,0,21614.6,0.0835905
52,340461476,gambiae,1000,61422,421,2321,58680,79006,108282,1177305,2986360,1493180,23559,70,0,0,10398,0,5512,2374,0,61422,0,0,0,0,0,157201,0.0782856
53,340461476,arabiensis,1000,59005,355,2216,56434,73636,108691,1061434,2069320,1034660,9050,36,9296,36,9676,0,5354,858,916,59005,0,0,0,0,0,149049,0.0537288
53,340461476,funestus,1000,6748,39,247,6462,8470,13060,154632,272120,136060,2254,9,0,0,1126,0,603,226,0,6748,0,0,0,0,0,22166,0.0845643
53,340461476,gambiae,1000,64285,408,2428,61449,81916,121464,1178680,2192560,1096280,19399,69,0,0,10686,0,5883,1940,0,64285,0,0,0,0,0,166301,0.0526396
54,340461476,arabiensis,1000,61061,412,2217,58432,76281,107900,1081552,2454680,1227340,10109,36,9981,31,9525,0,5525,964,980,61061,0,0,0,0,0,139323,0.0720278
