Year,Event_Name,Individual_ID,Age,Gender,Infectiousness
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1059,1097.36,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1061,1214.73,M,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1066,885.856,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1067,656.876,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1072,1232.23,M,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1081,1560.93,M,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1085,26.4418,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1087,1481.4,M,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1094,1364.27,M,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1099,662.492,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1134,231.858,M,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1145,877.988,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1155,599.057,M,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1157,12.4089,M,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1171,544.527,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1183,1612.24,M,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1190,1480.96,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1200,578.406,M,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1202,1311.49,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1207,1811.63,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1210,1493.25,M,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1214,1515.41,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1217,942.201,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1219,1030.21,M,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1229,35.5412,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1231,1232.64,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1237,1178.35,M,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1238,1011.46,M,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1239,1223.21,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1245,1810.82,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1257,30.8956,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1267,926.257,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1273,746.903,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1278,540.079,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1283,884.913,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1287,43.5532,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1295,691.576,M,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1301,1649.17,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1303,501.181,M,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1315,1091.69,M,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1328,455.012,M,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1334,1129.93,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1350,406.048,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1352,1591.55,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1356,48.6386,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1359,915.737,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1361,1005.94,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1364,335.142,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1366,1550.4,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1367,270.599,M,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1373,1310.07,M,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1383,678.801,F,0
