Year, NodeId, Gender, Age, Population, Infected, Newly Infected, On_ART, Died, Died_from_HIV, Tested Past Year or On_ART, Tested Ever HIVPos, Tested Ever HIVNeg, Tested Positive, Tested Negative,Reduced_Acquire_Lowest,Reduced_Acquire_Medium,Reduced_Acquire_Low,Reduced_Acquire_Highest_Not_Duplicated
1962.47,1,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,27,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,28,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,29,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,30,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,31,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,37,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,38,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,39,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,40,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,41,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,47,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,48,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,49,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,50,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,51,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,1,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
