Rel_ID,Rel_start_time,Rel_scheduled_end_time,Rel_type (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),Is_rel_outside_PFA,Original_node_ID,Current_node_ID,A_ID,A_is_infected,A_gender,A_age,A_IP='Accessibility',A_IP='CascadeState',A_IP='HasSTI',A_IP='OnDrug',A_IP='PrEPWilling',A_IP='Risk',A_IP='VMMC',A_IP='WillingToStartARTFromPrEPCampaign',A_is_circumcised,A_has_STI_coinfection,A_is_superspreader,B_ID,B_is_infected,B_gender,B_age,B_IP='Accessibility',B_IP='CascadeState',B_IP='HasSTI',B_IP='OnDrug',B_IP='PrEPWilling',B_IP='Risk',B_IP='VMMC',B_IP='WillingToStartARTFromPrEPCampaign',B_is_circumcised,B_has_STI_coinfection,B_is_superspreader
97,6600.41,8661.59,2,F,1,1,51,0,0,23.163,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,118,0,1,14.75,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
98,6661.24,7049.41,0,F,1,1,117,0,0,15,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,52,0,1,18.8526,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
99,6752.49,7094.83,0,F,1,1,76,0,0,47.0557,No,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,13,0,1,57.101,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
100,6874.16,6940.97,0,F,1,1,71,0,0,45.8178,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,17,0,1,37.6889,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
101,6874.16,11744,2,F,1,1,35,0,0,21.9561,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,106,0,1,17.8333,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
102,6934.99,7467.87,2,F,1,1,64,0,0,19.8356,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,134,0,1,13.8333,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
103,6965.41,7338.55,0,F,1,1,109,0,0,17.8333,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,77,0,1,21.3379,No,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
104,7117.49,8740.74,2,F,1,1,37,0,0,27.3495,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,123,0,1,15.5833,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
105,7117.49,9872.53,2,F,1,1,29,0,0,45.2954,No,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,17,0,1,38.3556,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
106,7147.9,7430.65,0,F,1,1,101,0,0,26.2708,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,75,0,1,24.4924,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
107,7178.32,11062.2,2,F,1,1,48,0,0,27.282,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,30,0,1,22.7989,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
108,7208.74,11622.5,2,F,1,1,59,0,0,47.725,No,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,53,0,1,53.6831,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
109,7208.74,13903.5,2,F,1,1,79,0,0,46.9336,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,50,0,1,39.3127,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
110,7239.15,13892.5,2,F,1,1,24,0,0,23.6125,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,73,0,1,21.8952,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
111,7299.99,7381.36,0,F,1,1,111,0,0,18.5833,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,8,0,1,22.1943,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
112,7330.4,8725.29,2,F,1,1,26,0,0,27.13,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,140,0,1,14.0833,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
113,7360.82,9241.28,2,F,1,1,104,0,0,19.9166,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,110,0,1,18.8333,No,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
114,7360.82,8505.15,2,F,1,1,103,0,0,20.0833,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,114,0,1,17.9166,No,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
115,7482.49,7811.32,0,F,1,1,64,0,0,21.3356,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,121,0,1,16.8333,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
116,7573.74,8548.02,2,F,1,1,119,0,0,17.25,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,134,0,1,15.5833,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
117,7604.15,7985.53,0,F,1,1,101,0,0,27.5208,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,42,0,1,28.9929,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
118,7725.82,7734.78,0,F,1,1,117,0,0,17.9166,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,122,0,1,17.4166,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
119,7756.23,12361,2,F,1,1,86,0,0,25.3974,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,107,0,1,20.25,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
