Time, NodeID, NumIndividuals, NumInfected, NodeProp=InterventionStatus, NodeProp=Place
52,5,50,12,1_VISIT,RURAL
52,4,40,5,1_VISIT,RURAL
52,3,30,2,1_VISIT,RURAL
52,2,20,0,1_VISIT,RURAL
52,1,10,0,1_VISIT,RURAL
53,10,100,10,STOP_VACCINATING,URBAN
53,9,90,13,STOP_VACCINATING,URBAN
53,8,80,18,STOP_VACCINATING,URBAN
53,7,70,23,1_VISIT,RURAL
53,6,60,8,1_VISIT,RURAL
53,5,50,13,1_VISIT,RURAL
53,4,40,6,1_VISIT,RURAL
53,3,30,1,1_VISIT,RURAL
53,2,20,0,1_VISIT,RURAL
53,1,10,0,1_VISIT,RURAL
54,10,100,11,STOP_VACCINATING,URBAN
54,9,90,12,STOP_VACCINATING,URBAN
54,8,80,18,STOP_VACCINATING,URBAN
54,7,70,24,1_VISIT,RURAL
54,6,60,9,1_VISIT,RURAL
54,5,50,13,1_VISIT,RURAL
54,4,40,8,1_VISIT,RURAL
54,3,30,1,1_VISIT,RURAL
54,2,20,0,1_VISIT,RURAL
54,1,10,0,1_VISIT,RURAL
55,10,100,10,STOP_VACCINATING,URBAN
55,9,90,14,STOP_VACCINATING,URBAN
55,8,80,16,STOP_VACCINATING,URBAN
55,7,70,26,1_VISIT,RURAL
55,6,60,9,1_VISIT,RURAL
55,5,50,14,1_VISIT,RURAL
55,4,40,9,1_VISIT,RURAL
55,3,30,1,1_VISIT,RURAL
55,2,20,0,1_VISIT,RURAL
55,1,10,0,1_VISIT,RURAL
56,10,100,11,STOP_VACCINATING,URBAN
56,9,90,12,STOP_VACCINATING,URBAN
56,8,80,13,STOP_VACCINATING,URBAN
56,7,70,28,1_VISIT,RURAL
56,6,60,12,1_VISIT,RURAL
56,5,50,17,1_VISIT,RURAL
56,4,40,9,1_VISIT,RURAL
56,3,30,1,1_VISIT,RURAL
56,2,20,0,1_VISIT,RURAL
56,1,10,0,1_VISIT,RURAL
57,10,100,12,STOP_VACCINATING,URBAN
57,9,90,12,STOP_VACCINATING,URBAN
57,8,80,14,STOP_VACCINATING,URBAN
57,7,70,26,1_VISIT,RURAL
57,6,60,13,1_VISIT,RURAL
57,5,50,20,1_VISIT,RURAL
57,4,40,9,1_VISIT,RURAL
57,3,30,2,1_VISIT,RURAL
57,2,20,0,1_VISIT,RURAL
57,1,10,0,1_VISIT,RURAL
58,10,100,11,STOP_VACCINATING,URBAN
58,9,90,12,STOP_VACCINATING,URBAN
58,8,80,15,STOP_VACCINATING,URBAN
58,7,70,23,1_VISIT,RURAL
58,6,60,13,1_VISIT,RURAL
58,5,50,22,1_VISIT,RURAL
58,4,40,13,1_VISIT,RURAL
58,3,30,1,1_VISIT,RURAL
58,2,20,0,1_VISIT,RURAL
58,1,10,0,1_VISIT,RURAL
59,10,100,11,STOP_VACCINATING,URBAN
59,9,90,11,STOP_VACCINATING,URBAN
59,8,80,13,STOP_VACCINATING,URBAN
59,7,70,23,1_VISIT,RURAL
59,6,60,12,1_VISIT,RURAL
59,5,50,21,1_VISIT,RURAL
59,4,40,13,1_VISIT,RURAL
59,3,30,1,1_VISIT,RURAL
59,2,20,0,1_VISIT,RURAL
59,1,10,0,1_VISIT,RURAL
60,10,100,10,STOP_VACCINATING,URBAN
60,9,90,10,STOP_VACCINATING,URBAN
60,8,80,14,STOP_VACCINATING,URBAN
60,7,70,25,1_VISIT,RURAL
60,6,60,13,1_VISIT,RURAL
60,5,50,22,1_VISIT,RURAL
60,4,40,12,1_VISIT,RURAL
60,3,30,1,1_VISIT,RURAL
60,2,20,0,1_VISIT,RURAL
