Year, NodeId, IP_Key:Accessibility, HasIntervention:Delayed_Intervention_Test_On_ANC, On_Art_Dim, Age, Population, Infected, Newly Infected, On_ART, Died, Died_from_HIV, Tested Past Year or On_ART, Tested Ever, Diagnosed, Newly Tested Positive, Newly Tested Negative,Transmitters
1995.5,3,Yes,1,1,70,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,3,Yes,1,1,80,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,3,Yes,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,3,No,0,0,0,27,12,22,0,12,12,0,0,0,0,0,0
1995.5,3,No,0,0,10,24,8,13,0,2,2,0,0,0,0,0,0
1995.5,3,No,0,0,20,13,9,11,0,0,0,0,0,0,0,0,0
1995.5,3,No,0,0,30,17,9,6,0,0,0,0,0,0,0,0,0
1995.5,3,No,0,0,40,12,5,8,0,0,0,0,0,0,0,0,0
1995.5,3,No,0,0,50,10,4,3,0,0,0,0,0,0,0,0,0
1995.5,3,No,0,0,60,3,1,0,0,0,0,0,0,0,0,0,0
1995.5,3,No,0,0,70,3,1,3,0,0,0,0,0,0,0,0,0
1995.5,3,No,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,3,No,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,3,No,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,3,No,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,3,No,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,3,No,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,3,No,0,1,40,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,3,No,0,1,50,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,3,No,0,1,60,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,3,No,0,1,70,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,3,No,0,1,80,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,3,No,0,1,90,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,3,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,3,No,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,3,No,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,3,No,1,0,30,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,3,No,1,0,40,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,3,No,1,0,50,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,3,No,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,3,No,1,0,70,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,3,No,1,0,80,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,3,No,1,0,90,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,3,No,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,3,No,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,3,No,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,3,No,1,1,30,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,3,No,1,1,40,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,3,No,1,1,50,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,3,No,1,1,60,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,3,No,1,1,70,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,3,No,1,1,80,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,3,No,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,2,Yes,0,0,0,133,43,72,0,24,22,20,20,14,37,11,0
1995.5,2,Yes,0,0,10,107,50,68,0,12,12,11,11,11,24,0,0
1995.5,2,Yes,0,0,20,90,45,50,0,0,0,6,6,6,3,3,2
1995.5,2,Yes,0,0,30,71,46,34,0,0,0,1,1,1,1,0,0
1995.5,2,Yes,0,0,40,42,20,30,0,0,0,0,0,0,1,0,1
1995.5,2,Yes,0,0,50,38,22,23,0,0,0,1,1,1,1,0,0
1995.5,2,Yes,0,0,60,16,8,11,0,1,0,1,1,1,2,0,0
1995.5,2,Yes,0,0,70,15,10,8,0,0,0,1,1,1,0,0,0
1995.5,2,Yes,0,0,80,2,0,2,0,0,0,0,0,0,0,0,0
1995.5,2,Yes,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,2,Yes,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,2,Yes,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0
