Year, NodeId, Gender, Age, Population, Infected, Newly Infected, On_ART, Died, Died_from_HIV, Tested Past Year or On_ART, Tested Ever, Diagnosed, Newly Tested Positive, Newly Tested Negative,Currently (TRANSITORY),Currently (INFORMAL),Currently (MARITAL),Currently (COMMERCIAL),Ever (TRANSITORY),Ever (INFORMAL),Ever (MARITAL),Ever (COMMERCIAL),Considering (TRANSITORY),Considering (INFORMAL),Considering (MARITAL),Considering (COMMERCIAL),Available for Relationship (TRANSITORY),Available for Relationship (INFORMAL),Available for Relationship (MARITAL),Available for Relationship (COMMERCIAL),Has Concurrent Partners,Current Partners,Lifetime Partners,Has Debuted,Had First Coital Act
1960.75,1,1,15,22,0,0,0,0,0,0,0,0,0,0,2,14,0,0,2,14,0,0,0,0,0,0,4,1,4,0,0,16,16,17,16
1960.75,1,1,20,17,0,0,0,1,0,0,0,0,0,0,8,8,0,0,8,10,0,0,0,0,0,0,9,7,8,0,1,16,18,17,17
1960.75,1,1,25,19,0,0,0,0,0,0,0,0,0,0,7,10,0,0,8,11,0,0,1,0,0,0,8,6,8,0,0,17,19,19,19
1960.75,1,1,30,10,0,0,0,0,0,0,0,0,0,0,3,6,0,0,3,7,0,0,0,1,0,0,2,1,2,0,0,9,12,10,10
1960.75,1,1,35,13,0,0,0,0,0,0,0,0,0,0,7,5,0,0,8,5,0,0,0,0,0,0,5,3,5,0,0,12,13,13,13
1960.75,1,1,40,13,0,0,0,0,0,0,0,0,0,0,6,6,0,0,7,6,0,0,0,0,0,0,2,2,2,0,0,12,13,13,13
1960.75,1,1,45,12,0,0,0,0,0,0,0,0,0,0,3,7,0,0,4,7,0,0,0,2,0,0,4,2,4,0,0,10,11,12,11
1960.75,1,1,50,30,0,0,0,0,0,0,0,0,0,0,2,4,6,0,2,4,7,0,1,2,14,0,5,4,4,0,0,12,13,30,13
1960.83,1,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.83,1,0,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.83,1,0,15,29,0,0,0,0,0,0,0,0,0,0,4,3,0,0,6,3,0,0,12,0,0,0,10,12,12,0,0,7,9,20,9
1960.83,1,0,20,16,0,0,0,0,0,0,0,0,0,0,3,8,0,0,3,10,0,0,2,1,0,0,7,5,5,0,0,11,13,16,13
1960.83,1,0,25,14,0,0,0,0,0,0,0,0,0,0,3,10,0,0,3,10,0,0,0,2,0,0,3,1,3,0,0,13,13,14,13
1960.83,1,0,30,18,0,0,0,0,0,0,0,0,0,0,3,11,0,0,3,12,0,0,0,3,0,0,6,5,7,0,0,14,15,18,15
1960.83,1,0,35,15,0,0,0,0,0,0,0,0,0,0,5,8,0,0,7,8,0,0,2,0,0,0,4,2,3,0,1,13,15,15,14
1960.83,1,0,40,7,0,0,0,0,0,0,0,0,0,0,4,2,0,0,5,2,0,0,1,0,0,0,3,4,4,0,0,6,7,7,7
1960.83,1,0,45,10,0,0,0,0,0,0,0,0,0,0,4,0,2,0,8,0,2,0,1,0,0,0,4,4,4,0,1,6,10,10,9
1960.83,1,0,50,35,0,0,0,0,0,0,0,0,0,0,11,18,5,0,12,18,5,0,2,0,0,0,17,15,15,0,1,34,35,35,34
1960.83,1,1,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.83,1,1,12,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.83,1,1,15,23,0,0,0,0,0,0,0,0,0,0,3,14,0,0,3,14,0,0,0,0,0,0,5,2,5,0,0,17,17,17,17
1960.83,1,1,20,16,0,0,0,0,0,0,0,0,0,0,7,8,0,0,8,9,0,0,0,0,0,0,8,7,7,0,1,15,17,16,16
1960.83,1,1,25,19,0,0,0,0,0,0,0,0,0,0,6,9,0,0,8,11,0,0,2,0,0,0,8,8,9,0,0,15,20,19,19
1960.83,1,1,30,9,0,0,0,0,0,0,0,0,0,0,2,6,0,0,2,7,0,0,0,1,0,0,1,1,1,0,0,8,10,9,9
1960.83,1,1,35,14,0,0,0,0,0,0,0,0,0,0,7,5,0,0,9,5,0,0,0,0,0,0,6,3,6,0,0,12,15,14,14
1960.83,1,1,40,12,0,0,0,0,0,0,0,0,0,0,6,6,0,0,7,6,0,0,0,0,0,0,1,1,1,0,1,13,14,12,12
1960.83,1,1,45,12,0,0,0,0,0,0,0,0,0,0,3,7,0,0,4,7,0,0,0,2,0,0,4,2,4,0,0,10,11,12,11
1960.83,1,1,50,31,0,0,0,0,0,0,0,0,0,0,2,5,7,0,2,5,8,0,1,2,13,0,5,4,4,0,0,14,15,31,15
1960.91,1,0,0,89,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.91,1,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.91,1,0,15,29,0,0,0,0,0,0,0,0,0,0,3,3,0,0,6,3,0,0,12,0,0,0,11,13,13,0,0,6,9,20,9
1960.91,1,0,20,16,0,0,0,0,0,0,0,0,0,0,3,8,0,0,3,10,0,0,2,2,0,0,8,5,6,0,0,11,13,16,13
1960.91,1,0,25,14,0,0,0,0,0,0,0,0,0,0,2,10,0,0,3,10,0,0,0,2,0,0,3,1,3,0,0,12,13,14,13
1960.91,1,0,30,18,0,0,0,0,0,0,0,0,0,0,3,11,0,0,3,12,0,0,0,3,0,0,6,5,7,0,0,14,15,18,15
1960.91,1,0,35,15,0,0,0,0,0,0,0,0,0,0,2,8,0,0,7,8,0,0,2,0,0,0,5,3,4,0,0,10,15,15,14
1960.91,1,0,40,7,0,0,0,0,0,0,0,0,0,0,4,2,0,0,5,2,0,0,1,0,0,0,3,4,4,0,0,6,7,7,7
1960.91,1,0,45,10,0,0,0,0,0,0,0,0,0,0,4,0,2,0,8,0,2,0,1,0,0,0,4,4,4,0,1,6,10,10,9
1960.91,1,0,50,35,0,0,0,0,0,0,0,0,0,0,12,17,5,0,13,18,5,0,1,0,0,0,17,15,15,0,1,34,36,35,35
1960.91,1,1,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.91,1,1,12,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.91,1,1,15,23,0,0,0,0,0,0,0,0,0,0,2,13,0,0,3,13,0,0,0,1,0,0,4,1,4,0,0,15,16,16,16
1960.91,1,1,20,17,0,0,0,0,0,0,0,0,0,0,7,9,0,0,8,10,0,0,0,0,0,0,8,7,7,0,1,16,18,17,17
1960.91,1,1,25,19,0,0,0,1,0,0,0,0,0,0,4,9,0,0,8,11,0,0,2,0,0,0,9,8,10,0,0,13,20,19,19
1960.91,1,1,30,9,0,0,0,0,0,0,0,0,0,0,2,6,0,0,2,7,0,0,0,1,0,0,1,1,1,0,0,8,10,9,9
1960.91,1,1,35,14,0,0,0,0,0,0,0,0,0,0,6,5,0,0,9,5,0,0,0,0,0,0,7,4,6,0,0,11,15,14,14
1960.91,1,1,40,12,0,0,0,0,0,0,0,0,0,0,5,6,0,0,7,6,0,0,0,0,0,0,2,2,2,0,1,12,14,12,12
1960.91,1,1,45,12,0,0,0,0,0,0,0,0,0,0,3,7,0,0,4,7,0,0,0,2,0,0,4,2,4,0,1,11,12,12,11
1960.91,1,1,50,31,0,0,0,0,0,0,0,0,0,0,2,4,7,0,2,5,8,0,2,2,13,0,6,5,5,0,0,13,15,31,15
1960.99,1,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.99,1,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.99,1,0,15,29,0,0,0,0,0,0,0,0,0,0,3,3,0,0,6,3,0,0,12,0,0,0,11,13,13,0,0,6,9,20,9
1960.99,1,0,20,15,0,0,0,0,0,0,0,0,0,0,3,9,0,0,3,10,0,0,2,1,0,0,6,4,4,0,1,12,13,15,12
1960.99,1,0,25,15,0,0,0,0,0,0,0,0,0,0,2,11,0,0,3,12,0,0,0,1,0,0,4,2,4,0,0,13,15,15,15
1960.99,1,0,30,17,0,0,0,0,0,0,0,0,0,0,3,13,0,0,3,14,0,0,0,0,0,0,6,5,7,0,0,16,17,17,17
1960.99,1,0,35,15,0,0,0,0,0,0,0,0,0,0,2,8,0,0,6,8,0,0,2,0,0,0,5,3,4,0,0,10,14,15,14
1960.99,1,0,40,8,0,0,0,0,0,0,0,0,0,0,4,3,0,0,6,3,0,0,1,0,0,0,4,5,5,0,0,7,9,8,8
1960.99,1,0,45,10,0,0,0,0,0,0,0,0,0,0,4,0,2,0,8,0,2,0,1,0,0,0,4,4,4,0,1,6,10,10,9
1960.99,1,0,50,35,0,0,0,1,0,0,0,0,0,0,12,17,5,0,14,18,5,0,0,0,0,0,17,15,15,0,2,34,37,35,35
1960.99,1,1,0,106,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.99,1,1,12,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.99,1,1,15,24,0,0,0,0,0,0,0,0,0,0,2,14,0,0,3,14,0,0,0,1,0,0,3,0,3,0,1,16,17,18,16
1960.99,1,1,20,15,0,0,0,0,0,0,0,0,0,0,7,9,0,0,8,9,0,0,0,0,0,0,6,5,5,0,2,16,17,15,15
1960.99,1,1,25,20,0,0,0,0,0,0,0,0,0,0,4,11,0,0,7,14,0,0,2,0,0,0,8,7,9,0,1,15,22,20,20
1960.99,1,1,30,9,0,0,0,0,0,0,0,0,0,0,2,7,0,0,2,8,0,0,0,0,0,0,1,1,1,0,1,9,11,9,9
1960.99,1,1,35,13,0,0,0,0,0,0,0,0,0,0,5,5,0,0,8,5,0,0,0,0,0,0,7,4,6,0,0,10,14,13,13
1960.99,1,1,40,13,0,0,0,0,0,0,0,0,0,0,6,6,0,0,8,6,0,0,0,0,0,0,2,2,2,0,1,13,15,13,13
1960.99,1,1,45,12,0,0,0,0,0,0,0,0,0,0,3,8,0,0,4,8,0,0,1,1,0,0,4,2,4,0,0,11,13,12,12
1960.99,1,1,50,31,0,0,0,0,0,0,0,0,0,0,3,4,7,0,3,5,8,0,1,2,13,0,6,5,5,0,1,14,16,31,15
1961.08,1,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.08,1,0,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.08,1,0,15,29,0,0,0,0,0,0,0,0,0,0,4,3,0,0,8,3,0,0,10,0,0,0,12,13,13,0,0,7,11,20,11
1961.08,1,0,20,15,0,0,0,0,0,0,0,0,0,0,2,9,0,0,3,11,0,0,2,0,0,0,7,5,5,0,1,11,14,15,13
1961.08,1,0,25,15,0,0,0,0,0,0,0,0,0,0,2,11,0,0,3,12,0,0,0,1,0,0,3,1,3,0,1,14,16,15,15
1961.08,1,0,30,16,0,0,0,0,0,0,0,0,0,0,3,13,0,0,3,13,0,0,0,2,0,0,4,2,5,0,0,16,16,16,16
1961.08,1,0,35,16,0,0,0,0,0,0,0,0,0,0,2,7,0,0,6,9,0,0,2,0,0,0,7,5,6,0,0,9,15,16,15
1961.08,1,0,40,8,0,0,0,0,0,0,0,0,0,0,3,4,0,0,6,4,0,0,1,1,0,0,4,3,5,0,0,7,10,8,8
1961.08,1,0,45,10,0,0,0,0,0,0,0,0,0,0,4,0,2,0,8,0,2,0,3,0,0,0,2,2,2,0,1,6,10,10,9
1961.08,1,0,50,34,0,0,0,0,0,0,0,0,0,0,12,17,5,0,13,18,5,0,0,0,0,0,16,13,14,0,3,35,37,34,34
1961.08,1,1,0,103,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.08,1,1,12,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.08,1,1,15,25,0,0,0,0,0,0,0,0,0,0,3,14,0,0,5,15,0,0,0,1,0,0,6,2,6,0,2,17,20,19,17
1961.08,1,1,20,14,0,0,0,0,0,0,0,0,0,0,6,9,0,0,8,9,0,0,0,0,0,0,5,4,5,0,2,15,17,14,14
1961.08,1,1,25,21,0,0,0,0,0,0,0,0,0,0,4,11,0,0,7,15,0,0,2,0,0,0,9,8,10,0,1,15,23,21,21
1961.08,1,1,30,8,0,0,0,0,0,0,0,0,0,0,2,6,0,0,2,7,0,0,0,0,0,0,1,1,1,0,1,8,10,8,8
1961.08,1,1,35,14,0,0,0,0,0,0,0,0,0,0,4,7,0,0,8,7,0,0,0,0,0,0,7,4,6,0,1,11,16,14,14
1961.08,1,1,40,12,0,0,0,0,0,0,0,0,0,0,6,5,0,0,8,5,0,0,0,0,0,0,2,2,2,0,1,12,14,12,12
1961.08,1,1,45,13,0,0,0,0,0,0,0,0,0,0,3,10,0,0,4,10,0,0,1,0,0,0,4,2,4,0,1,13,15,13,13
1961.08,1,1,50,31,0,0,0,0,0,0,0,0,0,0,3,4,7,0,3,5,8,0,1,2,13,0,6,5,5,0,1,14,16,31,15
1961.16,1,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.16,1,0,12,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.16,1,0,15,29,0,0,0,0,0,0,0,0,0,0,4,3,0,0,8,3,0,0,11,0,0,0,12,13,13,0,0,7,11,20,11
1961.16,1,0,20,15,0,0,0,0,0,0,0,0,0,0,4,9,0,0,5,11,0,0,0,0,0,0,7,5,5,0,1,13,16,15,15
1961.16,1,0,25,14,0,0,0,0,0,0,0,0,0,0,3,9,0,0,4,11,0,0,0,1,0,0,4,2,4,0,2,14,17,14,14
1961.16,1,0,30,17,0,0,0,0,0,0,0,0,0,0,3,14,0,0,3,14,0,0,0,2,0,0,4,2,5,0,0,17,17,17,17
1961.16,1,0,35,15,0,0,0,0,0,0,0,0,0,0,3,7,0,0,6,9,0,0,1,0,0,0,6,4,5,0,0,10,15,15,15
1961.16,1,0,40,8,0,0,0,0,0,0,0,0,0,0,4,3,0,0,8,3,0,0,1,2,0,0,5,3,6,0,1,7,11,8,8
1961.16,1,0,45,10,0,0,0,0,0,0,0,0,0,0,4,1,2,0,8,1,2,0,2,0,0,0,2,2,2,0,1,7,11,10,10
1961.16,1,0,50,35,0,0,0,0,0,0,0,0,0,0,10,17,5,0,14,18,5,0,0,0,0,0,16,13,14,0,3,33,38,35,35
1961.16,1,1,0,102,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.16,1,1,12,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.16,1,1,15,26,0,0,0,0,0,0,0,0,0,0,3,14,0,0,5,15,0,0,0,2,0,0,5,2,5,0,2,17,20,19,17
1961.16,1,1,20,14,0,0,0,0,0,0,0,0,0,0,6,9,0,0,8,9,0,0,0,0,0,0,5,4,5,0,3,16,18,14,14
1961.16,1,1,25,21,0,0,0,0,0,0,0,0,0,0,3,10,0,0,7,15,0,0,0,0,0,0,9,9,11,0,3,17,27,21,21
1961.16,1,1,30,8,0,0,0,0,0,0,0,0,0,0,3,6,0,0,3,7,0,0,0,0,0,0,1,1,1,0,1,9,11,8,8
1961.16,1,1,35,13,0,0,0,0,0,0,0,0,0,0,4,7,0,0,7,7,0,0,0,0,0,0,6,3,5,0,1,11,15,13,13
