Time, NodeID, NumIndividuals, NumInfected, NodeProp=InterventionStatus, NodeProp=Place, NodeProp=Risk
2,89,890,61,SPRAYED_B,RURAL,LOW
2,88,880,57,SPRAYED_A,RURAL,LOW
2,87,870,47,NONE,RURAL,LOW
2,86,860,58,SPRAYED_A,RURAL,LOW
2,85,850,70,SPRAYED_A,RURAL,LOW
2,84,840,58,NONE,RURAL,MED
2,83,830,34,NONE,RURAL,LOW
2,82,820,47,FENCE_AND_TRAP,URBAN,LOW
2,81,810,44,SPRAYED_A,RURAL,LOW
2,80,800,46,SPRAYED_B,RURAL,LOW
2,79,790,49,NONE,RURAL,MED
2,78,781,46,SPRAYED_B,URBAN,HIGH
2,77,770,53,NONE,RURAL,HIGH
2,76,760,48,NONE,RURAL,LOW
2,75,750,36,NONE,URBAN,LOW
2,74,740,43,NONE,RURAL,LOW
2,73,730,35,NONE,URBAN,LOW
2,72,720,47,NONE,RURAL,LOW
2,71,710,34,NONE,RURAL,MED
2,70,700,42,NONE,URBAN,LOW
2,69,690,32,NONE,URBAN,LOW
2,68,680,61,NONE,URBAN,LOW
2,67,670,38,NONE,RURAL,LOW
2,66,660,38,SPRAYED_B,RURAL,LOW
2,65,650,35,SPRAYED_B,RURAL,LOW
2,64,640,35,NONE,URBAN,LOW
2,63,630,45,SPRAYED_B,RURAL,HIGH
2,62,620,29,SPRAYED_B,URBAN,MED
2,61,610,33,NONE,URBAN,HIGH
2,60,600,27,SPRAYED_A,RURAL,LOW
2,59,590,44,SPRAYED_A,RURAL,LOW
2,58,580,21,FENCE_AND_TRAP,RURAL,LOW
2,57,570,32,SPRAYED_B,URBAN,LOW
2,56,560,36,SPRAYED_B,RURAL,LOW
2,55,550,27,NONE,RURAL,LOW
2,54,540,32,SPRAYED_B,RURAL,HIGH
2,53,530,33,NONE,URBAN,LOW
2,52,520,25,SPRAYED_B,URBAN,LOW
2,51,510,43,NONE,RURAL,HIGH
2,50,500,22,NONE,RURAL,LOW
2,49,490,29,SPRAYED_B,RURAL,MED
2,48,480,22,SPRAYED_A,RURAL,LOW
2,47,470,19,SPRAYED_B,URBAN,HIGH
2,46,460,30,SPRAYED_B,RURAL,LOW
2,45,450,33,SPRAYED_A,RURAL,MED
2,44,441,23,SPRAYED_B,RURAL,HIGH
2,43,430,28,SPRAYED_A,URBAN,LOW
2,42,420,18,SPRAYED_B,URBAN,LOW
2,41,410,30,NONE,URBAN,MED
2,40,400,19,FENCE_AND_TRAP,RURAL,LOW
2,39,390,20,FENCE_AND_TRAP,URBAN,LOW
2,38,380,26,SPRAYED_A,URBAN,LOW
2,37,370,23,NONE,RURAL,LOW
2,36,360,20,SPRAYED_B,RURAL,LOW
2,35,350,21,SPRAYED_B,URBAN,LOW
2,34,340,21,NONE,RURAL,LOW
2,33,330,14,NONE,URBAN,MED
2,32,320,15,NONE,URBAN,HIGH
2,31,310,13,SPRAYED_A,URBAN,LOW
2,30,300,22,SPRAYED_B,RURAL,LOW
2,29,290,30,FENCE_AND_TRAP,RURAL,LOW
2,28,280,19,SPRAYED_B,URBAN,MED
2,27,270,11,SPRAYED_A,URBAN,MED
