Year, NodeID, IndividualID, Gender, AgeYears, IndividualProperties,NumRels_Last6Months_TRANSITORY,NumRels_Last6Months_INFORMAL,NumRels_Last6Months_MARITAL,NumRels_Last6Months_COMMERCIAL,NumRels_Active_TRANSITORY,NumRels_Active_INFORMAL,NumRels_Active_MARITAL,NumRels_Active_COMMERCIAL,NumRels_Last12Months_TRANSITORY,NumRels_Last12Months_INFORMAL,NumRels_Last12Months_MARITAL,NumRels_Last12Months_COMMERCIAL,NumUniquePartners_Last-3-Months_TRANSITORY,NumUniquePartners_Last-3-Months_INFORMAL,NumUniquePartners_Last-3-Months_MARITAL,NumUniquePartners_Last-3-Months_COMMERCIAL,NumUniquePartners_Last-6-Months_TRANSITORY,NumUniquePartners_Last-6-Months_INFORMAL,NumUniquePartners_Last-6-Months_MARITAL,NumUniquePartners_Last-6-Months_COMMERCIAL,NumUniquePartners_Last-9-Months_TRANSITORY,NumUniquePartners_Last-9-Months_INFORMAL,NumUniquePartners_Last-9-Months_MARITAL,NumUniquePartners_Last-9-Months_COMMERCIAL,NumUniquePartners_Last-12-Months_TRANSITORY,NumUniquePartners_Last-12-Months_INFORMAL,NumUniquePartners_Last-12-Months_MARITAL,NumUniquePartners_Last-12-Months_COMMERCIAL
1962,1,43,M,9.46815,Risk:LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1,44,F,30.0159,Risk:LOW,0,0,15,0,0,0,0,0,0,0,30,0,0,0,8,0,0,0,15,0,0,0,23,0,0,0,30,0
1962,1,45,M,45.9274,Risk:LOW,0,0,26,0,0,0,0,0,0,0,63,0,0,0,14,0,0,0,25,0,0,0,38,0,0,0,50,0
1962,1,46,F,12.1162,Risk:LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1,47,F,54.8848,Risk:LOW,0,0,15,0,0,0,0,0,0,0,28,0,0,0,11,0,0,0,13,0,0,0,19,0,0,0,25,0
1962,1,48,M,4.01933,Risk:LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1,49,M,6.79679,Risk:LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1,50,F,5.23071,Risk:LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1,51,M,7.93743,Risk:LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1,52,M,15.2719,Risk:LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1,53,M,23.2894,Risk:LOW,0,0,2,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,3,0,0,0,4,0,0,0,4,0
1962,1,54,M,5.93987,Risk:LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1,55,F,8.9166,Risk:LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1,56,M,43.4588,Risk:LOW,0,0,23,0,0,0,0,0,0,0,49,0,0,0,15,0,0,0,22,0,0,0,32,0,0,0,44,0
1962,1,57,M,12.5111,Risk:LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1,58,F,37.5767,Risk:LOW,0,0,27,0,0,0,0,0,0,0,53,0,0,0,14,0,0,0,27,0,0,0,40,0,0,0,47,0
1962,1,59,M,74.4538,Risk:LOW,0,0,6,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,6,0,0,0,7,0,0,0,7,0
1962,1,60,F,6.29582,Risk:LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1,61,F,22.0932,Risk:LOW,0,0,6,0,0,0,0,0,0,0,10,0,0,0,3,0,0,0,6,0,0,0,10,0,0,0,10,0
1962,1,62,M,57.1112,Risk:LOW,0,0,42,0,0,0,1,0,0,0,68,0,0,0,18,0,0,0,35,0,0,0,44,0,0,0,56,0
1962,1,63,M,55.3064,Risk:LOW,0,0,31,0,0,0,1,0,0,0,71,0,0,0,18,0,0,0,30,0,0,0,43,0,0,0,58,0
1962,1,64,M,24.5448,Risk:LOW,0,0,5,0,0,0,0,0,0,0,7,0,0,0,2,0,0,0,5,0,0,0,6,0,0,0,6,0
1962,1,65,M,26.6052,Risk:LOW,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,4,0
1962,1,66,F,1.81136,Risk:LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1,67,F,8.17197,Risk:LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1,68,M,9.53819,Risk:LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1,69,M,34.0107,Risk:LOW,0,0,18,0,0,0,0,0,0,0,33,0,0,0,9,0,0,0,19,0,0,0,26,0,0,0,33,0
1962,1,70,F,33.6656,Risk:LOW,0,0,25,0,0,0,1,0,0,0,66,0,0,0,13,0,0,0,24,0,0,0,38,0,0,0,55,0
1962,1,71,F,13.1844,Risk:LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1,72,F,59.8255,Risk:LOW,0,0,18,0,0,0,0,0,0,0,31,0,0,0,10,0,0,0,15,0,0,0,20,0,0,0,24,0
1962,1,73,M,2.78755,Risk:LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1,74,M,54.6145,Risk:LOW,0,0,28,0,0,0,1,0,0,0,65,0,0,0,12,0,0,0,25,0,0,0,37,0,0,0,52,0
1962,1,75,M,34.9817,Risk:LOW,0,0,12,0,0,0,0,0,0,0,24,0,0,0,3,0,0,0,13,0,0,0,19,0,0,0,24,0
1962,1,76,F,29.1527,Risk:LOW,0,0,15,0,0,0,0,0,0,0,30,0,0,0,10,0,0,0,15,0,0,0,21,0,0,0,29,0
1962,1,77,M,20.4051,Risk:LOW,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0
1962,1,78,F,11.1147,Risk:LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1,79,F,4.24856,Risk:LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1,80,F,65.0062,Risk:LOW,0,0,3,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,3,0,0,0,6,0,0,0,7,0
1962,1,81,F,2.02546,Risk:LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1,82,F,3.65718,Risk:LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1,83,F,35.2763,Risk:LOW,0,0,22,0,0,0,0,0,0,0,47,0,0,0,12,0,0,0,22,0,0,0,33,0,0,0,43,0
1962,1,84,F,64.4018,Risk:LOW,0,0,1,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,6,0
